start_code,end_code,day,rush,count
S0001,S0236,2021-01-01,am,6
S0008,S0034,2021-01-01,am,3
S0014,S0478,2021-01-01,am,5
S0015,S0070,2021-01-01,am,4
S0015,S0248,2021-01-01,am,7
S0016,S0259,2021-01-01,am,4
S0023,S0395,2021-01-01,am,6
S0024,S0173,2021-01-01,am,3
S0027,S0285,2021-01-01,am,6
S0032,S0040,2021-01-01,am,6
S0043,S0337,2021-01-01,am,6
S0044,S0435,2021-01-01,am,2
S0050,S0426,2021-01-01,am,3
S0054,S0162,2021-01-01,am,1
S0054,S0227,2021-01-01,am,7
S0055,S0116,2021-01-01,am,4
S0073,S0044,2021-01-01,am,7
S0075,S0491,2021-01-01,am,6
S0079,S0015,2021-01-01,am,5
S0079,S0206,2021-01-01,am,5
S0081,S0108,2021-01-01,am,2
S0087,S0166,2021-01-01,am,2
S0089,S0381,2021-01-01,am,6
S0093,S0070,2021-01-01,am,1
S0110,S0494,2021-01-01,am,2
S0112,S0365,2021-01-01,am,5
S0114,S0120,2021-01-01,am,5
S0118,S0096,2021-01-01,am,5
S0120,S0275,2021-01-01,am,1
S0122,S0487,2021-01-01,am,4
S0123,S0029,2021-01-01,am,5
S0133,S0266,2021-01-01,am,6
S0137,S0077,2021-01-01,am,6
S0142,S0021,2021-01-01,am,3
S0148,S0290,2021-01-01,am,6
S0150,S0372,2021-01-01,am,1
S0153,S0147,2021-01-01,am,3
S0153,S0449,2021-01-01,am,1
S0156,S0230,2021-01-01,am,3
S0159,S0050,2021-01-01,am,1
S0160,S0341,2021-01-01,am,7
S0161,S0122,2021-01-01,am,3
S0168,S0188,2021-01-01,am,7
S0168,S0225,2021-01-01,am,6
S0170,S0217,2021-01-01,am,7
S0170,S0217,2021-01-01,am,2
S0170,S0272,2021-01-01,am,6
S0177,S0477,2021-01-01,am,6
S0180,S0011,2021-01-01,am,6
S0180,S0047,2021-01-01,am,1
S0181,S0197,2021-01-01,am,6
S0181,S0258,2021-01-01,am,3
S0182,S0463,2021-01-01,am,1
S0185,S0019,2021-01-01,am,2
S0187,S0316,2021-01-01,am,2
S0188,S0153,2021-01-01,am,2
S0189,S0293,2021-01-01,am,1
S0190,S0024,2021-01-01,am,5
S0192,S0474,2021-01-01,am,5
S0195,S0017,2021-01-01,am,6
S0201,S0039,2021-01-01,am,2
S0201,S0102,2021-01-01,am,3
S0201,S0219,2021-01-01,am,4
S0207,S0148,2021-01-01,am,7
S0212,S0129,2021-01-01,am,4
S0214,S0165,2021-01-01,am,6
S0218,S0131,2021-01-01,am,1
S0222,S0034,2021-01-01,am,1
S0222,S0059,2021-01-01,am,3
S0222,S0088,2021-01-01,am,7
S0223,S0065,2021-01-01,am,1
S0223,S0110,2021-01-01,am,6
S0231,S0140,2021-01-01,am,2
S0236,S0306,2021-01-01,am,4
S0236,S0394,2021-01-01,am,4
S0251,S0283,2021-01-01,am,5
S0252,S0271,2021-01-01,am,6
S0252,S0468,2021-01-01,am,4
S0253,S0077,2021-01-01,am,7
S0254,S0415,2021-01-01,am,4
S0258,S0385,2021-01-01,am,5
S0261,S0332,2021-01-01,am,3
S0262,S0270,2021-01-01,am,1
S0263,S0493,2021-01-01,am,4
S0264,S0081,2021-01-01,am,2
S0265,S0043,2021-01-01,am,3
S0268,S0254,2021-01-01,am,4
S0269,S0154,2021-01-01,am,1
S0270,S0067,2021-01-01,am,7
S0271,S0375,2021-01-01,am,3
S0273,S0226,2021-01-01,am,6
S0281,S0113,2021-01-01,am,3
S0283,S0016,2021-01-01,am,6
S0305,S0000,2021-01-01,am,7
S0305,S0156,2021-01-01,am,6
S0319,S0111,2021-01-01,am,4
S0321,S0459,2021-01-01,am,5
S0327,S0126,2021-01-01,am,5
S0328,S0271,2021-01-01,am,4
S0330,S0193,2021-01-01,am,3
S0336,S0285,2021-01-01,am,4
S0337,S0194,2021-01-01,am,5
S0340,S0387,2021-01-01,am,6
S0355,S0094,2021-01-01,am,4
S0362,S0230,2021-01-01,am,1
S0366,S0177,2021-01-01,am,4
S0369,S0390,2021-01-01,am,1
S0374,S0026,2021-01-01,am,4
S0375,S0126,2021-01-01,am,1
S0378,S0440,2021-01-01,am,6
S0380,S0217,2021-01-01,am,3
S0382,S0226,2021-01-01,am,7
S0386,S0116,2021-01-01,am,1
S0388,S0395,2021-01-01,am,3
S0391,S0272,2021-01-01,am,4
S0391,S0384,2021-01-01,am,5
S0395,S0140,2021-01-01,am,5
S0397,S0435,2021-01-01,am,4
S0405,S0113,2021-01-01,am,5
S0409,S0380,2021-01-01,am,5
S0410,S0071,2021-01-01,am,6
S0411,S0065,2021-01-01,am,1
S0411,S0196,2021-01-01,am,1
S0411,S0334,2021-01-01,am,6
S0412,S0398,2021-01-01,am,1
S0420,S0324,2021-01-01,am,2
S0424,S0366,2021-01-01,am,3
S0431,S0429,2021-01-01,am,4
S0437,S0415,2021-01-01,am,6
S0438,S0192,2021-01-01,am,2
S0439,S0293,2021-01-01,am,2
S0440,S0037,2021-01-01,am,4
S0444,S0003,2021-01-01,am,4
S0445,S0376,2021-01-01,am,2
S0445,S0454,2021-01-01,am,3
S0446,S0215,2021-01-01,am,2
S0449,S0398,2021-01-01,am,1
S0450,S0199,2021-01-01,am,4
S0458,S0066,2021-01-01,am,4
S0461,S0171,2021-01-01,am,4
S0464,S0232,2021-01-01,am,7
S0469,S0192,2021-01-01,am,7
S0483,S0457,2021-01-01,am,6
S0488,S0386,2021-01-01,am,1
