start_code,end_code,day,rush,count
S0010,S0224,2021-01-01,am,5
S0011,S0381,2021-01-01,am,5
S0025,S0227,2021-01-01,am,4
S0031,S0295,2021-01-01,am,3
S0038,S0210,2021-01-01,am,5
S0039,S0399,2021-01-01,am,4
S0051,S0141,2021-01-01,am,1
S0051,S0325,2021-01-01,am,3
S0052,S0196,2021-01-01,am,1
S0067,S0093,2021-01-01,am,4
S0067,S0267,2021-01-01,am,3
S0075,S0482,2021-01-01,am,1
S0082,S0242,2021-01-01,am,1
S0083,S0135,2021-01-01,am,2
S0090,S0353,2021-01-01,am,4
S0093,S0340,2021-01-01,am,4
S0095,S0412,2021-01-01,am,3
S0098,S0244,2021-01-01,am,5
S0105,S0013,2021-01-01,am,3
S0107,S0098,2021-01-01,am,1
S0108,S0281,2021-01-01,am,3
S0114,S0373,2021-01-01,am,5
S0117,S0242,2021-01-01,am,2
S0127,S0075,2021-01-01,am,5
S0129,S0322,2021-01-01,am,1
S0136,S0243,2021-01-01,am,2
S0137,S0278,2021-01-01,am,4
S0148,S0127,2021-01-01,am,3
S0153,S0076,2021-01-01,am,3
S0156,S0381,2021-01-01,am,4
S0163,S0027,2021-01-01,am,4
S0164,S0120,2021-01-01,am,5
S0179,S0350,2021-01-01,am,2
S0181,S0442,2021-01-01,am,4
S0185,S0234,2021-01-01,am,2
S0186,S0122,2021-01-01,am,4
S0189,S0189,2021-01-01,am,4
S0190,S0429,2021-01-01,am,2
S0198,S0318,2021-01-01,am,4
S0202,S0102,2021-01-01,am,2
S0205,S0402,2021-01-01,am,5
S0208,S0151,2021-01-01,am,1
S0213,S0187,2021-01-01,am,1
S0214,S0079,2021-01-01,am,3
S0219,S0024,2021-01-01,am,4
S0225,S0087,2021-01-01,am,1
S0232,S0061,2021-01-01,am,2
S0238,S0051,2021-01-01,am,1
S0239,S0102,2021-01-01,am,1
S0245,S0209,2021-01-01,am,1
S0247,S0198,2021-01-01,am,4
S0253,S0264,2021-01-01,am,3
S0268,S0310,2021-01-01,am,1
S0270,S0153,2021-01-01,am,1
S0270,S0463,2021-01-01,am,2
S0274,S0187,2021-01-01,am,2
S0275,S0470,2021-01-01,am,5
S0280,S0468,2021-01-01,am,2
S0285,S0144,2021-01-01,am,4
S0294,S0157,2021-01-01,am,4
S0294,S0455,2021-01-01,am,5
S0300,S0255,2021-01-01,am,4
S0307,S0053,2021-01-01,am,2
S0307,S0324,2021-01-01,am,1
S0311,S0406,2021-01-01,am,2
S0313,S0475,2021-01-01,am,5
S0319,S0148,2021-01-01,am,2
S0323,S0363,2021-01-01,am,3
S0324,S0485,2021-01-01,am,5
S0336,S0498,2021-01-01,am,1
S0337,S0063,2021-01-01,am,4
S0339,S0474,2021-01-01,am,4
S0340,S0084,2021-01-01,am,4
S0340,S0268,2021-01-01,am,2
S0343,S0353,2021-01-01,am,2
S0343,S0405,2021-01-01,am,1
S0349,S0098,2021-01-01,am,1
S0352,S0186,2021-01-01,am,5
S0355,S0347,2021-01-01,am,2
S0363,S0458,2021-01-01,am,3
S0365,S0033,2021-01-01,am,1
S0365,S0387,2021-01-01,am,5
S0366,S0030,2021-01-01,am,1
S0389,S0171,2021-01-01,am,5
S0389,S0372,2021-01-01,am,4
S0390,S0431,2021-01-01,am,4
S0396,S0384,2021-01-01,am,1
S0397,S0349,2021-01-01,am,5
S0399,S0428,2021-01-01,am,1
S0408,S0382,2021-01-01,am,5
S0422,S0488,2021-01-01,am,2
S0423,S0343,2021-01-01,am,5
S0432,S0206,2021-01-01,am,5
S0432,S0401,2021-01-01,am,3
S0434,S0204,2021-01-01,am,1
S0434,S0262,2021-01-01,am,5
S0435,S0462,2021-01-01,am,2
S0440,S0354,2021-01-01,am,1
S0442,S0100,2021-01-01,am,4
S0456,S0366,2021-01-01,am,5
S0465,S0122,2021-01-01,am,2
S0471,S0165,2021-01-01,am,3
S0471,S0202,2021-01-01,am,1
S0484,S0081,2021-01-01,am,3
S0489,S0467,2021-01-01,am,1
S0491,S0161,2021-01-01,am,5
S0493,S0192,2021-01-01,am,3
S0494,S0275,2021-01-01,am,5
S0497,S0494,2021-01-01,am,3
S0009,S0197,2021-01-02,am,2
S0011,S0273,2021-01-02,am,2
S0015,S0287,2021-01-02,am,4
S0028,S0139,2021-01-02,am,3
S0040,S0119,2021-01-02,am,1
S0041,S0153,2021-01-02,am,1
S0043,S0185,2021-01-02,am,2
S0047,S0124,2021-01-02,am,5
S0054,S0218,2021-01-02,am,4
S0058,S0265,2021-01-02,am,1
S0061,S0415,2021-01-02,am,4
S0062,S0139,2021-01-02,am,1
S0063,S0056,2021-01-02,am,4
S0066,S0039,2021-01-02,am,5
S0067,S0131,2021-01-02,am,3
S0072,S0238,2021-01-02,am,2
S0074,S0256,2021-01-02,am,2
S0077,S0134,2021-01-02,am,3
S0077,S0168,2021-01-02,am,5
S0077,S0326,2021-01-02,am,1
S0083,S0134,2021-01-02,am,5
S0083,S0313,2021-01-02,am,3
S0088,S0028,2021-01-02,am,4
S0089,S0387,2021-01-02,am,4
S0094,S0192,2021-01-02,am,5
S0094,S0344,2021-01-02,am,3
S0097,S0007,2021-01-02,am,3
S0097,S0067,2021-01-02,am,3
S0102,S0475,2021-01-02,am,4
S0120,S0434,2021-01-02,am,1
S0124,S0124,2021-01-02,am,2
S0129,S0311,2021-01-02,am,1
S0129,S0315,2021-01-02,am,3
