from,to
S0000,S0005
S0000,S0168
S0000,S0383
S0000,S0498
S0001,S0297
S0001,S0304
S0002,S0122
S0002,S0320
S0003,S0092
S0003,S0364
S0003,S0398
S0004,S0023
S0005,S0436
S0006,S0347
S0007,S0020
S0007,S0222
S0008,S0261
S0008,S0279
S0009,S0055
S0009,S0127
S0009,S0217
S0009,S0296
S0010,S0027
S0010,S0304
S0010,S0338
S0011,S0029
S0011,S0369
S0011,S0462
S0011,S0487
S0012,S0065
S0012,S0260
S0012,S0367
S0012,S0404
S0013,S0101
S0013,S0231
S0013,S0413
S0014,S0321
S0014,S0476
S0015,S0135
S0015,S0261
S0016,S0023
S0016,S0095
S0016,S0393
S0017,S0123
S0017,S0218
S0017,S0378
S0018,S0293
S0018,S0443
S0019,S0032
S0019,S0038
S0019,S0383
S0020,S0139
S0020,S0189
S0020,S0216
S0021,S0160
S0021,S0268
S0022,S0232
S0022,S0468
S0023,S0003
S0023,S0100
S0023,S0215
S0023,S0373
S0024,S0107
S0024,S0159
S0024,S0262
S0025,S0207
S0025,S0417
S0026,S0150
S0026,S0204
S0026,S0278
S0026,S0324
S0027,S0008
S0027,S0228
S0027,S0309
S0027,S0443
S0028,S0059
S0028,S0060
S0028,S0108
S0028,S0438
S0029,S0264
S0029,S0268
S0030,S0081
S0031,S0047
S0032,S0155
S0032,S0274
S0033,S0166
S0033,S0274
S0034,S0012
S0034,S0246
S0035,S0054
S0035,S0353
S0036,S0074
S0037,S0284
S0037,S0308
S0037,S0323
S0037,S0487
S0038,S0044
S0038,S0196
S0038,S0487
S0039,S0063
S0039,S0210
S0039,S0280
S0039,S0310
S0040,S0075
S0040,S0214
S0041,S0189
S0041,S0333
S0042,S0296
S0042,S0483
S0043,S0197
S0043,S0460
S0044,S0075
S0044,S0351
S0044,S0435
S0045,S0337
S0046,S0228
S0047,S0078
S0047,S0411
S0048,S0426
S0048,S0438
S0049,S0354
S0049,S0389
S0050,S0003
S0050,S0081
S0050,S0436
S0051,S0029
S0051,S0085
S0051,S0295
S0052,S0238
S0052,S0293
S0053,S0257
S0053,S0348
S0054,S0104
S0054,S0282
S0054,S0455
S0055,S0235
S0055,S0331
S0055,S0369
S0055,S0392
S0056,S0005
S0056,S0078
S0056,S0122
S0056,S0327
S0057,S0407
S0058,S0084
S0058,S0142
S0058,S0330
S0058,S0372
S0059,S0010
S0059,S0397
S0059,S0478
S0060,S0046
S0060,S0077
S0060,S0094
S0060,S0387
S0061,S0098
S0061,S0168
S0061,S0257
S0061,S0344
S0062,S0124
S0062,S0340
S0063,S0398
S0064,S0050
S0064,S0454
S0064,S0482
S0065,S0129
S0066,S0160
S0066,S0169
S0066,S0270
S0066,S0419
S0067,S0091
S0067,S0100
S0067,S0127
S0067,S0234
S0068,S0464
S0068,S0467
S0069,S0097
S0069,S0409
S0070,S0109
S0070,S0353
S0070,S0358
S0071,S0307
S0072,S0049
S0072,S0138
S0072,S0359
S0072,S0370
S0073,S0030
S0073,S0120
S0073,S0248
S0074,S0080
S0074,S0103
S0074,S0302
S0074,S0304
S0075,S0155
S0076,S0024
S0076,S0273
S0076,S0281
S0076,S0431
S0077,S0105
S0078,S0048
S0078,S0309
S0078,S0375
S0078,S0486
S0079,S0122
S0079,S0141
S0080,S0042
S0081,S0328
S0081,S0386
S0082,S0039
S0082,S0055
S0082,S0166
S0083,S0146
S0083,S0159
S0084,S0224
S0084,S0380
S0085,S0139
S0085,S0354
S0085,S0437
S0086,S0045
S0087,S0118
S0087,S0163
S0087,S0218
S0088,S0296
S0088,S0370
S0089,S0285
S0090,S0157
S0091,S0070
S0091,S0195
S0092,S0002
S0092,S0301
S0092,S0320
S0092,S0427
S0093,S0032
S0093,S0186
S0094,S0074
S0094,S0115
S0095,S0353
S0096,S0002
S0096,S0308
S0096,S0454
