from,to
C000,C009
C000,C022
C000,C025
C000,C064
C000,C086
C000,C098
C000,C099
C000,C108
C000,C123
C000,C129
C000,C135
C000,C147
C000,C161
C001,C055
C001,C069
C001,C075
C001,C083
C001,C102
C001,C148
C001,C170
C001,C173
C001,C175
C001,C177
C001,C179
C001,C183
C001,C195
C001,C196
C002,C032
C002,C051
C002,C054
C002,C056
C002,C089
C002,C108
C002,C111
C002,C115
C002,C117
C002,C137
C002,C142
C002,C144
C002,C166
C002,C179
C002,C184
C003,C002
C003,C004
C003,C006
C003,C026
C003,C028
C003,C037
C003,C043
C003,C053
C003,C057
C003,C059
C003,C060
C003,C073
C003,C074
C003,C088
C003,C090
C003,C103
C003,C134
C003,C148
C003,C170
C003,C172
C003,C183
C003,C189
C004,C003
C004,C017
C004,C026
C004,C043
C004,C061
C004,C069
C004,C108
C004,C132
C004,C157
C004,C164
C004,C168
C004,C170
C004,C173
C004,C196
C005,C010
C005,C022
C005,C034
C005,C042
C005,C047
C005,C061
C005,C069
C005,C084
C005,C085
C005,C136
C005,C140
C005,C162
C005,C164
C005,C178
C005,C182
C005,C187
C005,C193
C006,C021
C006,C035
C006,C051
C006,C059
C006,C107
C006,C120
C006,C121
C006,C122
C006,C176
C006,C197
C007,C000
C007,C034
C007,C082
C007,C083
C007,C091
C007,C108
C007,C119
C007,C123
C007,C135
C007,C150
C007,C152
C007,C163
C007,C187
C008,C010
C008,C028
C008,C081
C008,C104
C008,C138
C008,C161
C008,C167
C008,C169
C008,C178
C008,C191
C008,C194
C008,C196
C009,C017
C009,C020
C009,C048
C009,C066
C009,C077
C009,C091
C009,C099
C009,C106
C009,C120
C009,C128
C009,C149
C009,C159
C009,C165
C009,C183
C009,C188
C009,C198
C010,C005
C010,C058
C010,C074
C010,C118
C010,C155
C010,C164
C010,C168
C010,C185
C010,C186
C010,C193
C011,C016
C011,C020
C011,C021
C011,C054
C011,C064
C011,C112
C011,C171
C012,C004
C012,C009
C012,C020
C012,C028
C012,C042
C012,C052
C012,C054
C012,C056
C012,C065
C012,C109
C012,C133
C012,C179
C012,C184
C012,C190
C013,C002
C013,C005
C013,C087
C013,C136
C013,C145
C013,C152
C013,C159
C013,C162
C013,C194
C014,C012
C014,C018
C014,C031
C014,C055
C014,C062
C014,C081
C014,C092
C014,C094
C014,C111
C014,C131
C014,C138
C014,C144
C014,C194
