supplier_id,week,disrupted
S0000,0,1
S0000,1,0
S0000,2,0
S0000,3,0
S0000,4,0
S0000,5,0
S0000,6,0
S0000,7,0
S0000,8,0
S0000,9,0
S0000,10,0
S0000,11,0
S0000,12,0
S0000,13,0
S0000,14,0
S0000,15,0
S0000,16,1
S0000,17,0
S0000,18,0
S0000,19,0
S0000,20,0
S0000,21,0
S0000,22,0
S0000,23,0
S0000,24,0
S0000,25,0
S0000,26,0
S0000,27,0
S0000,28,1
S0000,29,0
S0000,30,0
S0000,31,0
S0000,32,0
S0000,33,0
S0000,34,0
S0000,35,0
S0000,36,0
S0000,37,0
S0000,38,0
S0000,39,1
S0000,40,0
S0000,41,0
S0000,42,0
S0000,43,0
S0000,44,0
S0000,45,0
S0000,46,0
S0000,47,0
S0000,48,0
S0000,49,0
S0000,50,0
S0000,51,0
S0001,0,0
S0001,1,0
S0001,2,0
S0001,3,0
S0001,4,1
S0001,5,0
S0001,6,1
S0001,7,0
S0001,8,1
S0001,9,0
S0001,10,0
S0001,11,0
S0001,12,0
S0001,13,0
S0001,14,0
S0001,15,0
S0001,16,0
S0001,17,0
S0001,18,0
S0001,19,1
S0001,20,0
S0001,21,0
S0001,22,0
S0001,23,0
S0001,24,0
S0001,25,1
S0001,26,0
S0001,27,0
S0001,28,1
S0001,29,0
S0001,30,1
S0001,31,0
S0001,32,1
S0001,33,0
S0001,34,0
S0001,35,0
S0001,36,0
S0001,37,0
S0001,38,0
S0001,39,1
S0001,40,0
S0001,41,0
S0001,42,1
S0001,43,0
S0001,44,0
S0001,45,0
S0001,46,0
S0001,47,0
S0001,48,0
S0001,49,0
S0001,50,0
S0001,51,1
S0002,0,0
S0002,1,0
S0002,2,0
S0002,3,0
S0002,4,1
S0002,5,0
S0002,6,0
S0002,7,0
S0002,8,0
S0002,9,0
S0002,10,0
S0002,11,0
S0002,12,0
S0002,13,0
S0002,14,0
S0002,15,0
S0002,16,1
S0002,17,0
S0002,18,0
S0002,19,0
S0002,20,0
S0002,21,0
S0002,22,0
S0002,23,0
S0002,24,0
S0002,25,0
S0002,26,1
S0002,27,0
S0002,28,0
S0002,29,0
S0002,30,0
S0002,31,0
S0002,32,0
S0002,33,0
S0002,34,0
S0002,35,0
S0002,36,0
S0002,37,0
S0002,38,0
S0002,39,1
S0002,40,0
S0002,41,0
S0002,42,0
S0002,43,0
S0002,44,0
S0002,45,0
S0002,46,0
S0002,47,0
S0002,48,0
S0002,49,0
S0002,50,0
S0002,51,0
S0003,0,0
S0003,1,0
S0003,2,0
S0003,3,0
S0003,4,0
S0003,5,0
S0003,6,0
S0003,7,0
S0003,8,0
S0003,9,0
S0003,10,0
S0003,11,0
S0003,12,0
S0003,13,1
S0003,14,0
S0003,15,0
S0003,16,0
S0003,17,0
S0003,18,0
S0003,19,0
S0003,20,0
S0003,21,0
S0003,22,0
S0003,23,0
S0003,24,1
S0003,25,0
S0003,26,0
S0003,27,0
S0003,28,0
S0003,29,0
S0003,30,0
S0003,31,1
S0003,32,0
S0003,33,0
S0003,34,0
S0003,35,0
S0003,36,1
S0003,37,0
S0003,38,0
S0003,39,0
S0003,40,0
S0003,41,0
S0003,42,0
S0003,43,0
S0003,44,0
S0003,45,0
S0003,46,0
S0003,47,0
S0003,48,0
S0003,49,0
S0003,50,0
S0003,51,0
S0004,0,0
S0004,1,1
S0004,2,0
S0004,3,1
S0004,4,0
S0004,5,0
S0004,6,1
S0004,7,0
S0004,8,0
S0004,9,1
S0004,10,0
S0004,11,0
S0004,12,0
S0004,13,0
S0004,14,1
S0004,15,0
S0004,16,0
S0004,17,1
S0004,18,0
S0004,19,1
S0004,20,1
S0004,21,1
S0004,22,0
S0004,23,0
S0004,24,0
S0004,25,1
S0004,26,1
S0004,27,1
S0004,28,1
S0004,29,0
S0004,30,1
S0004,31,1
S0004,32,1
S0004,33,0
S0004,34,0
S0004,35,0
S0004,36,1
S0004,37,1
S0004,38,0
S0004,39,1
S0004,40,1
S0004,41,0
S0004,42,1
S0004,43,0
S0004,44,1
S0004,45,1
S0004,46,0
S0004,47,0
S0004,48,1
S0004,49,0
S0004,50,0
S0004,51,1
S0005,0,1
S0005,1,0
S0005,2,0
S0005,3,1
S0005,4,0
S0005,5,1
S0005,6,1
S0005,7,0
S0005,8,0
S0005,9,0
S0005,10,0
S0005,11,0
S0005,12,0
S0005,13,0
S0005,14,1
S0005,15,0
S0005,16,0
S0005,17,1
S0005,18,0
S0005,19,0
S0005,20,0
S0005,21,1
S0005,22,1
S0005,23,0
S0005,24,0
S0005,25,0
S0005,26,0
S0005,27,0
S0005,28,0
S0005,29,0
S0005,30,1
S0005,31,0
S0005,32,0
S0005,33,0
S0005,34,0
S0005,35,0
S0005,36,0
S0005,37,0
S0005,38,0
S0005,39,0
S0005,40,1
S0005,41,0
S0005,42,1
S0005,43,1
S0005,44,0
S0005,45,0
S0005,46,0
S0005,47,0
S0005,48,1
S0005,49,0
S0005,50,1
S0005,51,1
S0006,0,0
S0006,1,0
S0006,2,0
S0006,3,0
S0006,4,0
S0006,5,0
S0006,6,0
S0006,7,1
S0006,8,0
S0006,9,0
S0006,10,0
S0006,11,0
S0006,12,0
S0006,13,0
S0006,14,0
S0006,15,0
S0006,16,0
S0006,17,0
S0006,18,0
S0006,19,0
S0006,20,0
S0006,21,0
S0006,22,0
S0006,23,0
S0006,24,0
S0006,25,0
S0006,26,0
S0006,27,0
S0006,28,0
S0006,29,0
S0006,30,0
S0006,31,0
S0006,32,0
S0006,33,0
S0006,34,0
S0006,35,0
S0006,36,0
S0006,37,0
S0006,38,0
S0006,39,0
S0006,40,0
S0006,41,0
S0006,42,0
S0006,43,0
S0006,44,0
S0006,45,0
S0006,46,0
S0006,47,0
S0006,48,0
S0006,49,0
S0006,50,0
S0006,51,0
S0007,0,0
