from_id,to_id,qty_per_aircraft,relation
A2001,A101,1,is_part_of
A2002,A117,1,is_part_of
A2003,A113,2,is_part_of
A2004,A105,2,is_part_of
A2005,A111,3,is_part_of
A2006,A117,4,is_part_of
A2007,A112,4,is_part_of
A2008,A115,3,is_part_of
A2009,A105,3,is_part_of
A2010,A116,2,is_part_of
A2011,A115,3,is_part_of
A2012,A108,2,is_part_of
A2013,A118,1,is_part_of
A2014,A105,3,is_part_of
A2015,A111,3,is_part_of
A2016,A103,2,is_part_of
A2017,A105,3,is_part_of
A2018,A111,3,is_part_of
A2019,A109,4,is_part_of
A2020,A107,4,is_part_of
A2021,A112,4,is_part_of
A2022,A111,2,is_part_of
A2023,A106,4,is_part_of
A2024,A109,3,is_part_of
A2025,A103,3,is_part_of
A2026,A107,4,is_part_of
A2027,A110,2,is_part_of
A2028,A117,3,is_part_of
A2029,A116,4,is_part_of
A2030,A111,5,is_part_of
A2031,A103,5,is_part_of
A2032,A117,3,is_part_of
A2033,A114,3,is_part_of
A2034,A105,4,is_part_of
A2035,A105,2,is_part_of
A2036,A107,5,is_part_of
A2037,A109,3,is_part_of
A2038,A105,1,is_part_of
A2039,A104,1,is_part_of
A2040,A116,5,is_part_of
A2041,A115,1,is_part_of
A2042,A105,2,is_part_of
A2043,A107,2,is_part_of
A2044,A111,1,is_part_of
A2045,A113,2,is_part_of
A2046,A104,4,is_part_of
A2047,A115,1,is_part_of
A2048,A109,5,is_part_of
A2049,A118,5,is_part_of
A2050,A112,2,is_part_of
A2051,A118,1,is_part_of
A2052,A102,4,is_part_of
A2053,A113,1,is_part_of
A2054,A110,2,is_part_of
A2055,A109,5,is_part_of
A2056,A103,5,is_part_of
A2057,A109,4,is_part_of
A2058,A107,2,is_part_of
A2059,A117,4,is_part_of
A2060,A103,4,is_part_of
C3001,A2021,4,is_part_of
C3001,A2051,1,is_part_of
C3002,A2003,6,is_part_of
C3002,A2045,2,is_part_of
C3003,A2003,11,is_part_of
C3003,A2026,11,is_part_of
C3004,A2037,9,is_part_of
C3004,A2019,11,is_part_of
C3005,A2039,10,is_part_of
C3005,A2010,5,is_part_of
C3006,A2011,10,is_part_of
C3007,A2031,6,is_part_of
C3007,A2008,11,is_part_of
C3008,A2021,2,is_part_of
C3009,A2057,11,is_part_of
C3010,A2033,3,is_part_of
C3011,A2012,3,is_part_of
C3012,A2059,7,is_part_of
C3013,A2001,3,is_part_of
C3013,A2026,3,is_part_of
C3014,A2045,7,is_part_of
C3014,A2053,8,is_part_of
C3015,A2032,9,is_part_of
C3016,A2033,5,is_part_of
C3016,A2012,9,is_part_of
C3017,A2046,10,is_part_of
C3017,A2029,4,is_part_of
C3018,A2033,9,is_part_of
C3019,A2055,5,is_part_of
C3019,A2025,11,is_part_of
C3020,A2030,2,is_part_of
C3021,A2026,6,is_part_of
C3021,A2058,10,is_part_of
C3022,A2010,5,is_part_of
C3022,A2039,11,is_part_of
C3023,A2059,2,is_part_of
C3023,A2030,1,is_part_of
C3024,A2024,3,is_part_of
C3025,A2012,7,is_part_of
C3026,A2052,4,is_part_of
C3026,A2033,2,is_part_of
C3027,A2012,4,is_part_of
C3027,A2033,2,is_part_of
C3028,A2039,11,is_part_of
C3028,A2040,9,is_part_of
C3029,A2050,9,is_part_of
C3029,A2023,8,is_part_of
C3030,A2046,11,is_part_of
C3030,A2039,7,is_part_of
