node_id,kind,tier,system,safety_critical,single_source,supplier_region,defect_rate,cert_level,label
A101,part,1,engine,1,0,,0.0017,AS9100,Engine Major Assy 01
A102,part,1,avionics,0,0,,0.0243,AS9100,Avionics Major Assy 02
A103,part,1,fuselage,0,0,,0.0184,DO-178C,Fuselage Major Assy 03
A104,part,1,landing_gear,1,0,,0.0145,AS9100,Landing_Gear Major Assy 04
A105,part,1,hydraulics,1,0,,0.0657,NADCAP,Hydraulics Major Assy 05
A106,part,1,interior,1,0,,0.001,AS9100,Interior Major Assy 06
A107,part,1,engine,1,0,,0.0067,NADCAP,Engine Major Assy 07
A108,part,1,avionics,0,0,,0.0161,DO-178C,Avionics Major Assy 08
A109,part,1,fuselage,1,0,,0.0807,NADCAP,Fuselage Major Assy 09
A110,part,1,landing_gear,1,0,,0.014,AS9100,Landing_Gear Major Assy 10
A111,part,1,hydraulics,1,0,,0.0071,AS9100,Hydraulics Major Assy 11
A112,part,1,interior,1,0,,0.001,AS9100,Interior Major Assy 12
A113,part,1,engine,1,0,,0.031,AS9100,Engine Major Assy 13
A114,part,1,avionics,1,0,,0.0146,NADCAP,Avionics Major Assy 14
A115,part,1,fuselage,1,0,,0.0104,AS9100,Fuselage Major Assy 15
A116,part,1,landing_gear,1,0,,0.001,AS9100,Landing_Gear Major Assy 16
A117,part,1,hydraulics,1,0,,0.0109,AS9100,Hydraulics Major Assy 17
A118,part,1,interior,1,0,,0.0133,AS9100,Interior Major Assy 18
A2001,part,2,engine,0,0,,0.0107,AS9100,Engine Sub-Assy 001
A2002,part,2,hydraulics,0,0,,0.0026,AS9100,Hydraulics Sub-Assy 002
A2003,part,2,engine,1,0,,0.002,NADCAP,Engine Sub-Assy 003
A2004,part,2,hydraulics,0,0,,0.0352,AS9100,Hydraulics Sub-Assy 004
A2005,part,2,hydraulics,0,0,,0.017,DO-178C,Hydraulics Sub-Assy 005
A2006,part,2,hydraulics,1,0,,0.0107,AS9100,Hydraulics Sub-Assy 006
A2007,part,2,interior,0,0,,0.0164,DO-178C,Interior Sub-Assy 007
A2008,part,2,fuselage,0,0,,0.0157,DO-178C,Fuselage Sub-Assy 008
A2009,part,2,hydraulics,0,0,,0.0016,DO-178C,Hydraulics Sub-Assy 009
A2010,part,2,landing_gear,0,0,,0.0251,DO-178C,Landing_Gear Sub-Assy 010
A2011,part,2,fuselage,0,0,,0.0141,DO-178C,Fuselage Sub-Assy 011
A2012,part,2,avionics,1,0,,0.0171,NADCAP,Avionics Sub-Assy 012
A2013,part,2,interior,0,0,,0.0308,DO-178C,Interior Sub-Assy 013
A2014,part,2,hydraulics,0,0,,0.0029,DO-178C,Hydraulics Sub-Assy 014
A2015,part,2,hydraulics,1,0,,0.0083,NADCAP,Hydraulics Sub-Assy 015
A2016,part,2,fuselage,0,0,,0.0191,DO-178C,Fuselage Sub-Assy 016
A2017,part,2,hydraulics,1,0,,0.0249,AS9100,Hydraulics Sub-Assy 017
A2018,part,2,hydraulics,1,0,,0.0098,NADCAP,Hydraulics Sub-Assy 018
A2019,part,2,fuselage,1,0,,0.0103,NADCAP,Fuselage Sub-Assy 019
A2020,part,2,engine,0,0,,0.0673,DO-178C,Engine Sub-Assy 020
A2021,part,2,interior,0,0,,0.0387,DO-178C,Interior Sub-Assy 021
A2022,part,2,hydraulics,1,0,,0.0167,AS9100,Hydraulics Sub-Assy 022
A2023,part,2,interior,0,0,,0.0082,DO-178C,Interior Sub-Assy 023
A2024,part,2,fuselage,0,0,,0.0054,DO-178C,Fuselage Sub-Assy 024
A2025,part,2,fuselage,0,0,,0.0146,AS9100,Fuselage Sub-Assy 025
A2026,part,2,engine,1,0,,0.0244,AS9100,Engine Sub-Assy 026
A2027,part,2,landing_gear,0,0,,0.0441,AS9100,Landing_Gear Sub-Assy 027
A2028,part,2,hydraulics,0,0,,0.0129,DO-178C,Hydraulics Sub-Assy 028
A2029,part,2,landing_gear,1,0,,0.0617,AS9100,Landing_Gear Sub-Assy 029
A2030,part,2,hydraulics,0,0,,0.0331,DO-178C,Hydraulics Sub-Assy 030
A2031,part,2,fuselage,0,0,,0.019,DO-178C,Fuselage Sub-Assy 031
A2032,part,2,hydraulics,1,0,,0.0181,AS9100,Hydraulics Sub-Assy 032
A2033,part,2,avionics,1,0,,0.0756,NADCAP,Avionics Sub-Assy 033
A2034,part,2,hydraulics,1,0,,0.017,AS9100,Hydraulics Sub-Assy 034
A2035,part,2,hydraulics,0,0,,0.0062,DO-178C,Hydraulics Sub-Assy 035
A2036,part,2,engine,1,0,,0.0281,AS9100,Engine Sub-Assy 036
A2037,part,2,fuselage,1,0,,0.001,NADCAP,Fuselage Sub-Assy 037
A2038,part,2,hydraulics,0,0,,0.0262,AS9100,Hydraulics Sub-Assy 038
A2039,part,2,landing_gear,1,0,,0.0159,AS9100,Landing_Gear Sub-Assy 039
A2040,part,2,landing_gear,1,0,,0.013,AS9100,Landing_Gear Sub-Assy 040
A2041,part,2,fuselage,0,0,,0.0127,DO-178C,Fuselage Sub-Assy 041
A2042,part,2,hydraulics,0,0,,0.0145,DO-178C,Hydraulics Sub-Assy 042
A2043,part,2,engine,0,0,,0.0566,DO-178C,Engine Sub-Assy 043
A2044,part,2,hydraulics,0,0,,0.0204,DO-178C,Hydraulics Sub-Assy 044
A2045,part,2,engine,1,0,,0.0119,AS9100,Engine Sub-Assy 045
A2046,part,2,landing_gear,1,0,,0.001,AS9100,Landing_Gear Sub-Assy 046
A2047,part,2,fuselage,0,0,,0.016,DO-178C,Fuselage Sub-Assy 047
A2048,part,2,fuselage,0,0,,0.0256,DO-178C,Fuselage Sub-Assy 048
A2049,part,2,interior,0,0,,0.001,AS9100,Interior Sub-Assy 049
A2050,part,2,interior,1,0,,0.0609,NADCAP,Interior Sub-Assy 050
A2051,part,2,interior,0,0,,0.0114,DO-178C,Interior Sub-Assy 051
A2052,part,2,avionics,0,0,,0.0253,DO-178C,Avionics Sub-Assy 052
A2053,part,2,engine,0,0,,0.0134,DO-178C,Engine Sub-Assy 053
A2054,part,2,landing_gear,0,0,,0.0237,AS9100,Landing_Gear Sub-Assy 054
A2055,part,2,fuselage,0,0,,0.0224,DO-178C,Fuselage Sub-Assy 055
A2056,part,2,fuselage,0,0,,0.0227,DO-178C,Fuselage Sub-Assy 056
A2057,part,2,fuselage,0,0,,0.0316,DO-178C,Fuselage Sub-Assy 057
A2058,part,2,engine,0,0,,0.0137,DO-178C,Engine Sub-Assy 058
A2059,part,2,hydraulics,1,0,,0.0166,AS9100,Hydraulics Sub-Assy 059
A2060,part,2,fuselage,0,0,,0.0201,DO-178C,Fuselage Sub-Assy 060
C3001,part,3,interior,1,0,,0.0209,NADCAP,Interior Component 001
C3002,part,3,engine,0,0,,0.0624,standard,Engine Component 002
C3003,part,3,engine,0,0,,0.011,standard,Engine Component 003
C3004,part,3,fuselage,0,0,,0.0201,DO-178C,Fuselage Component 004
C3005,part,3,landing_gear,1,0,,0.005,DO-178C,Landing_Gear Component 005
C3006,part,3,fuselage,1,0,,0.001,DO-178C,Fuselage Component 006
C3007,part,3,fuselage,0,0,,0.0538,DO-178C,Fuselage Component 007
C3008,part,3,interior,0,1,,0.0266,DO-178C,Interior Component 008
C3009,part,3,fuselage,0,1,,0.0223,DO-178C,Fuselage Component 009
C3010,part,3,avionics,0,1,,0.0267,DO-178C,Avionics Component 010
C3011,part,3,avionics,0,0,,0.0131,DO-178C,Avionics Component 011
C3012,part,3,hydraulics,0,0,,0.0754,DO-178C,Hydraulics Component 012
C3013,part,3,engine,0,0,,0.006,standard,Engine Component 013
C3014,part,3,engine,0,0,,0.0092,DO-178C,Engine Component 014
C3015,part,3,hydraulics,0,0,,0.0302,standard,Hydraulics Component 015
C3016,part,3,avionics,0,0,,0.0216,DO-178C,Avionics Component 016
C3017,part,3,landing_gear,0,0,,0.0268,standard,Landing_Gear Component 017
C3018,part,3,avionics,0,0,,0.0224,DO-178C,Avionics Component 018
C3019,part,3,fuselage,0,0,,0.0144,standard,Fuselage Component 019
C3020,part,3,hydraulics,0,0,,0.0081,standard,Hydraulics Component 020
C3021,part,3,engine,0,0,,0.0017,standard,Engine Component 021
C3022,part,3,landing_gear,1,0,,0.0381,DO-178C,Landing_Gear Component 022
C3023,part,3,hydraulics,1,0,,0.0037,AS9100,Hydraulics Component 023
C3024,part,3,fuselage,0,0,,0.0792,standard,Fuselage Component 024
C3025,part,3,avionics,1,0,,0.021,DO-178C,Avionics Component 025
C3026,part,3,avionics,1,0,,0.0227,DO-178C,Avionics Component 026
C3027,part,3,avionics,1,0,,0.022,DO-178C,Avionics Component 027
C3028,part,3,landing_gear,0,0,,0.0254,DO-178C,Landing_Gear Component 028
C3029,part,3,interior,0,0,,0.0122,standard,Interior Component 029
C3030,part,3,landing_gear,0,0,,0.0434,DO-178C,Landing_Gear Component 030
C3031,part,3,avionics,0,0,,0.0142,standard,Avionics Component 031
