from_id,to_id,units_per_year,value_musd,lead_time_days
M005,C002,238,23.543,175
M005,C001,124,36.125,175
M005,C007,68,29.398,175
M005,C008,129,70.453,175
M005,C011,85,33.167,175
M005,C012,93,20.661,175
M005,C014,76,19.166,175
M005,C016,134,57.231,175
M005,C017,79,27.18,175
M005,C019,80,33.464,175
M005,C020,98,49.62,175
M005,C021,90,24.936,175
M005,C022,58,13.973,175
M005,C023,104,28.271,175
M005,C024,86,11.965,175
M005,C025,84,10.341,175
M005,C026,72,27.943,175
M005,C029,106,41.506,175
M005,C030,70,16.343,175
M005,C034,41,7.092,175
M005,C035,56,27.132,175
M005,C036,117,22.925,175
M005,C037,131,18.445,175
M005,C039,106,22.188,175
M005,C040,116,24.738,175
M005,C041,53,21.048,175
M005,C043,131,22.949,175
M005,C045,131,43.856,175
M005,C047,94,49.62,175
M005,C055,110,40.34,175
M005,C060,114,42.633,175
M005,C062,65,14.991,175
M005,C063,111,29.731,175
M005,C065,137,55.095,175
M005,C066,94,25.195,175
M005,C067,42,20.635,175
M005,C068,136,39.257,175
M005,C069,101,52.509,175
M005,C070,124,28.699,175
M005,C072,125,41.992,175
M005,C076,110,41.485,175
M005,C083,88,20.859,175
M005,C085,120,61.075,175
C002,S001,199,102.33,252
C002,S002,210,113.349,252
C002,S006,89,38.283,252
C002,S009,319,139.855,252
C002,S011,282,86.26,252
C002,S012,260,50.156,252
C002,S014,233,89.254,252
C002,S015,261,52.505,252
C002,S021,50,17.77,252
C002,S022,218,39.864,252
C002,S023,225,104.298,252
C002,S024,206,32.717,252
C002,S026,297,24.808,252
C002,S028,166,75.502,252
C002,S029,53,25.144,252
C002,S031,197,87.456,252
C002,S032,39,5.241,252
C002,S033,178,97.784,252
C002,S037,222,37.855,252
C002,S038,96,26.757,252
C002,S044,184,68.309,252
C002,S045,300,162.296,252
C002,S047,309,34.834,252
C002,S056,95,42.906,252
C001,I013,32,15.868,131
C007,I026,44,20.737,172
C008,I023,26,7.255,147
C011,I022,34,13.15,111
C011,I013,59,32.229,111
C012,I040,17,2.121,138
C014,I034,78,17.91,65
C014,I026,34,9.508,65
C016,I010,18,7.127,141
C017,I015,59,27.493,72
C017,I040,69,19.032,72
C019,I015,30,13.7,85
C020,I019,73,10.778,171
C020,I008,52,6.509,171
C021,I008,49,5.475,153
C021,I014,48,3.852,153
C022,I003,43,19.095,114
C023,I002,36,16.807,159
C024,I008,24,11.63,136
C024,I015,32,10.666,136
C025,I037,21,5.574,137
C025,I018,50,10.05,137
C026,I034,47,20.333,105
C026,I014,61,15.428,105
C029,I018,29,5.16,100
C030,I040,64,10.423,126
C030,I027,20,3.248,126
C034,I037,18,9.819,130
C035,I037,23,8.905,153
C036,I018,74,36.355,153
C037,I039,78,38.239,195
C039,I010,55,21.36,174
C040,I039,33,14.036,117
C041,I023,63,29.573,166
C043,I027,16,1.652,85
C043,I015,75,23.138,85
C045,I013,42,18.321,144
C045,I025,21,7.219,144
C047,I008,32,10.41,65
C047,I017,25,8.628,65
C055,I026,58,6.441,124
C060,I002,15,7.506,153
C062,I035,57,9.167,88
C063,I004,68,35.34,111
C063,I037,45,4.858,111
C065,I010,45,7.735,135
C066,I026,28,3.545,160
C066,I014,41,11.426,160
C067,I022,26,3.726,128
C068,I008,37,3.921,167
C068,I037,38,9.423,167
C069,I013,75,13.24,106
C070,I038,75,9.519,113
C070,I034,63,8.455,113
C072,I019,55,7.553,119
C076,I037,77,35.829,143
C083,I022,79,7.96,140
C083,I026,28,6.503,140
C085,I019,76,26.685,88
S047,I001,102,55.076,140
S024,I005,163,87.419,172
S037,I006,145,51.451,172
S028,I007,131,22.376,172
S037,I009,234,83.535,172
S031,I011,147,41.574,172
S015,I012,246,127.528,172
S033,I016,132,38.543,172
S015,I020,157,61.169,172
S015,I021,130,31.524,172
S024,I024,87,13.75,172
S047,I028,143,25.859,172
S033,I029,213,42.811,172
S056,I030,246,88.751,130
S047,I031,79,41.427,172
S002,I032,245,86.269,172
S028,I033,77,30.784,172
S002,I036,75,32.207,172
S012,I041,164,49.021,169
S026,I042,219,51.561,172
S056,I043,140,48.382,130
S031,I044,100,44.421,172
I024,P001,95,50.706,53
I005,P002,262,44.062,50
I044,P002,282,138.95,76
I020,P003,66,30.436,48
I029,P003,171,59.04,43
I031,P004,295,107.79,54
I043,P008,73,9.902,45
I020,P008,148,67.123,48
I041,P009,57,12.699,45
I033,P010,267,24.368,23
I028,P012,152,23.833,53
I024,P012,219,86.311,53
I020,P013,245,24.217,48
