node_id,kind,label,region,hub,runways,weather_exposure,x,y
AAA,airport,AAA Regional,West,0,3,0.614,19.79,46.45
AAB,airport,AAB International,Midwest,1,5,0.642,53.95,58.53
AAC,airport,AAC Regional,Mountain,0,1,0.688,37.04,52.67
AAD,airport,AAD Regional,West,0,1,0.609,14.82,55.8
AAE,airport,AAE Regional,Northeast,0,3,0.591,63.55,77.56
AAF,airport,AAF Regional,Mountain,0,3,0.732,26.41,29.03
AAG,airport,AAG Regional,West,0,3,0.854,6.1,46.99
AAH,airport,AAH Regional,West,0,1,0.769,22.24,38.06
AAI,airport,AAI Regional,Northeast,0,1,0.521,82.28,73.64
AAJ,airport,AAJ Regional,Midwest,0,1,0.566,51.05,69.02
AAK,airport,AAK Regional,Southeast,0,1,0.366,78.84,34.04
AAL,airport,AAL Regional,Mountain,0,1,0.665,32.61,33.74
AAM,airport,AAM Regional,West,0,2,0.787,11.99,52.18
AAN,airport,AAN Regional,West,0,1,0.821,15.59,40.24
AAO,airport,AAO Regional,Midwest,0,3,0.693,54.81,62.05
AAP,airport,AAP Regional,Southeast,0,2,0.381,96.66,38.89
AAQ,airport,AAQ Regional,Midwest,0,1,0.53,46.32,57.41
AAR,airport,AAR Regional,Northeast,0,2,0.545,68.83,72.68
AAS,airport,AAS Regional,West,0,3,0.772,16.84,60.85
AAT,airport,AAT Regional,Midwest,0,1,0.602,47.44,54.11
AAU,airport,AAU Regional,West,0,1,0.751,0.0,48.54
AAV,airport,AAV Regional,Southeast,0,1,0.497,64.44,17.24
AAW,airport,AAW Regional,Mountain,0,3,0.634,26.11,39.15
AAX,airport,AAX Regional,Mountain,0,1,0.631,18.18,26.8
AAY,airport,AAY Regional,West,0,2,0.669,33.16,38.41
AAZ,airport,AAZ Regional,Northeast,0,2,0.568,72.13,94.53
ABA,airport,ABA Regional,Midwest,0,3,0.498,80.15,49.46
ABB,airport,ABB Regional,Northeast,0,1,0.569,78.69,81.07
ABC,airport,ABC Regional,Northeast,0,3,0.357,97.56,69.12
ABD,airport,ABD Regional,West,0,3,0.728,11.79,57.0
ABE,airport,ABE Regional,West,0,2,0.837,17.91,46.61
ABF,airport,ABF Regional,Mountain,0,1,0.531,32.8,27.63
ABG,airport,ABG Regional,Southeast,0,3,0.282,71.86,19.6
ABH,airport,ABH Regional,Southeast,0,1,0.281,76.09,17.0
ABI,airport,ABI Regional,Midwest,0,2,0.608,58.24,69.11
ABJ,airport,ABJ Regional,Northeast,0,2,0.531,83.4,81.17
ABK,airport,ABK International,Northeast,1,4,0.517,82.48,78.0
