from_id,to_id,day,packages,on_time_rate,distance_km,service
H03,S01,1,3827,,15.79,line_haul
H03,S01,2,3705,,15.79,line_haul
H03,S01,3,3720,,15.79,line_haul
H03,S01,4,3617,,15.79,line_haul
H03,S01,5,4015,,15.79,line_haul
H03,S01,6,7170,,15.79,line_haul
H03,S01,7,2479,,15.79,line_haul
H04,S02,1,2073,,9.43,line_haul
H04,S02,2,1906,,9.43,line_haul
H04,S02,3,1968,,9.43,line_haul
H04,S02,4,1997,,9.43,line_haul
H04,S02,5,2131,,9.43,line_haul
H04,S02,6,4048,,9.43,line_haul
H04,S02,7,1410,,9.43,line_haul
H01,S03,1,942,,28.46,line_haul
H01,S03,2,852,,28.46,line_haul
H01,S03,3,915,,28.46,line_haul
H01,S03,4,911,,28.46,line_haul
H01,S03,5,921,,28.46,line_haul
H01,S03,6,1739,,28.46,line_haul
H01,S03,7,566,,28.46,line_haul
H01,S04,1,117,,34.0,line_haul
H01,S04,2,131,,34.0,line_haul
H01,S04,3,127,,34.0,line_haul
H01,S04,4,126,,34.0,line_haul
H01,S04,5,109,,34.0,line_haul
H01,S04,6,245,,34.0,line_haul
H01,S04,7,72,,34.0,line_haul
H02,S05,1,1690,,4.32,line_haul
H02,S05,2,1530,,4.32,line_haul
H02,S05,3,1572,,4.32,line_haul
H02,S05,4,1611,,4.32,line_haul
H02,S05,5,1736,,4.32,line_haul
H02,S05,6,3091,,4.32,line_haul
H02,S05,7,1142,,4.32,line_haul
H02,S07,1,2220,,24.86,line_haul
H02,S07,2,2121,,24.86,line_haul
H02,S07,3,2110,,24.86,line_haul
H02,S07,4,2143,,24.86,line_haul
H02,S07,5,2394,,24.86,line_haul
H02,S07,6,4223,,24.86,line_haul
H02,S07,7,1519,,24.86,line_haul
H01,S08,1,10451,,21.54,line_haul
H01,S08,2,10190,,21.54,line_haul
H01,S08,3,10096,,21.54,line_haul
H01,S08,4,7207,,21.54,line_haul
H01,S08,5,7647,,21.54,line_haul
H01,S08,6,14102,,21.54,line_haul
H01,S08,7,4995,,21.54,line_haul
H01,S09,1,1298,,38.65,line_haul
H01,S09,2,1327,,38.65,line_haul
H01,S09,3,1234,,38.65,line_haul
H01,S09,4,4509,,38.65,line_haul
H01,S09,5,4992,,38.65,line_haul
H01,S09,6,8806,,38.65,line_haul
H01,S09,7,3072,,38.65,line_haul
H03,S10,1,5867,,15.33,line_haul
H03,S10,2,5796,,15.33,line_haul
H03,S10,3,5786,,15.33,line_haul
H03,S10,4,5773,,15.33,line_haul
H03,S10,5,6377,,15.33,line_haul
H03,S10,6,11678,,15.33,line_haul
H03,S10,7,3950,,15.33,line_haul
H04,S11,1,1403,,20.13,line_haul
H04,S11,2,1347,,20.13,line_haul
H04,S11,3,1342,,20.13,line_haul
H04,S11,4,1391,,20.13,line_haul
H04,S11,5,1451,,20.13,line_haul
H04,S11,6,2703,,20.13,line_haul
H04,S11,7,963,,20.13,line_haul
H01,S12,1,1655,,32.06,line_haul
H01,S12,2,1665,,32.06,line_haul
H01,S12,3,1630,,32.06,line_haul
H01,S12,4,1704,,32.06,line_haul
H01,S12,5,1772,,32.06,line_haul
H01,S12,6,3319,,32.06,line_haul
H01,S12,7,1168,,32.06,line_haul
H01,S13,1,314,,29.03,line_haul
H01,S13,2,290,,29.03,line_haul
H01,S13,3,314,,29.03,line_haul
H01,S13,4,275,,29.03,line_haul
H01,S13,5,330,,29.03,line_haul
H01,S13,6,647,,29.03,line_haul
H01,S13,7,183,,29.03,line_haul
H03,S14,1,5142,,32.24,line_haul
H03,S14,2,4892,,32.24,line_haul
H03,S14,3,4995,,32.24,line_haul
H03,S14,4,4908,,32.24,line_haul
H03,S14,5,5494,,32.24,line_haul
H03,S14,6,9610,,32.24,line_haul
H03,S14,7,3454,,32.24,line_haul
H03,S15,1,1313,,16.57,line_haul
H03,S15,2,1329,,16.57,line_haul
H03,S15,3,1353,,16.57,line_haul
H03,S15,4,1371,,16.57,line_haul
