from_id,to_id,dep_type,coupling_strength
accel,bec5v,power,3
accel,imu_a,data,2
accel,mag,data,1
accel,sw004,data,2
ant_telem,datalink,data,5
ant_telem,hw003,data,5
ant_telem,hw009,data,5
ant_telem,hw011,data,5
ant_telem,lidar,data,3
ant_telem,rtk,data,4
ant_telem,rx,data,5
baro,bec5v,power,3
baro,drv_baro,data,3
baro,gyro,data,2
baro,harness,power,2
baro,hw083,data,1
bec12v,pdb,power,5
bec5v,pdb,power,5
camera,bec12v,power,4
camera,bec5v,power,3
camera,frame,mechanical,2
controller,drv_core,software,4
controller,ekf,software,5
controller,paramstore,software,2
controller,sw039,software,2
datalink,ant_telem,data,4
datalink,harness,power,3
datalink,hw003,data,4
datalink,hw009,data,4
datalink,hw011,data,3
datalink,hw012,data,4
datalink,hw028,data,5
datalink,rx,data,4
datalink,telem,data,4
drv_baro,drv_core,software,5
drv_baro,ekf,software,1
drv_baro,flightstack,software,2
drv_baro,sw007,software,2
drv_baro,sw017,software,3
drv_core,firmware,software,4
drv_core,hw011,data,2
drv_core,sw021,software,3
drv_core,sw030,software,2
drv_gps,drv_core,software,5
drv_gps,ekf,software,3
drv_gps,sw003,software,1
drv_gps,sw022,software,2
drv_gps,sw026,software,2
drv_imu,drv_core,software,5
drv_imu,mixer,software,1
drv_imu,sw008,software,1
drv_imu,sw017,software,3
drv_imu,sw019,software,1
drv_imu,sw029,software,3
ekf,controller,software,3
ekf,drv_baro,software,3
ekf,drv_core,software,3
ekf,drv_gps,software,4
ekf,drv_imu,software,5
ekf,gps,data,4
ekf,imu_a,data,5
ekf,imu_b,data,5
ekf,optflow,data,3
ekf,paramstore,software,2
ekf,rtk,data,4
ekf,sw020,software,3
esc1,fc,control,2
esc1,mixer,data,4
esc1,pdb,power,5
esc2,mixer,data,4
esc2,pdb,power,5
esc3,bec12v,power,2
esc3,hw034,control,2
esc3,mixer,data,4
esc3,pdb,power,5
esc4,hw018,control,2
esc4,mixer,data,4
esc4,pdb,power,5
failsafe,controller,software,3
failsafe,ekf,software,4
failsafe,paramstore,software,3
failsafe,rx,data,3
failsafe,sw005,software,3
failsafe,sw006,software,3
failsafe,sw016,software,2
failsafe,sw027,software,1
failsafe,sw035,software,1
fc,bec5v,power,5
fc,esc1,control,2
fc,firmware,data,5
fc,flightstack,data,5
fc,hw084,data,1
fc,rx,data,4
