node_id,kind,subsystem,component_type,vendor,criticality,redundant,mass_g,power_draw_w,label
mot1,hardware,propulsion,motor,Aerex,5,1,14.3,1.82,Motor FL
mot2,hardware,propulsion,motor,NaviCore,3,0,29.4,4.46,Motor FR
mot3,hardware,propulsion,motor,SkyLink,3,0,14.5,2.47,Motor RL
mot4,hardware,propulsion,motor,Voltspan,3,0,3.0,0.52,Motor RR
esc1,hardware,propulsion,esc,SkyLink,1,0,20.6,0.83,ESC FL
esc2,hardware,propulsion,esc,Voltspan,5,0,101.3,1.31,ESC FR
esc3,hardware,propulsion,esc,SkyLink,1,0,12.7,6.53,ESC RL
esc4,hardware,propulsion,esc,PixHawk,1,0,21.5,6.79,ESC RR
prop1,hardware,propulsion,propeller,PixHawk,2,0,34.5,6.22,Prop FL
prop2,hardware,propulsion,propeller,Voltspan,2,0,22.8,1.99,Prop FR
prop3,hardware,propulsion,propeller,NaviCore,1,0,10.5,12.98,Prop RL
prop4,hardware,propulsion,propeller,GimbalWorks,1,0,139.9,0.88,Prop RR
mount1,hardware,propulsion,motor_mount,Aerex,4,0,77.1,1.26,Mount FL
mount2,hardware,propulsion,motor_mount,SkyLink,5,0,45.6,3.62,Mount FR
mount3,hardware,propulsion,motor_mount,NaviCore,1,0,26.2,2.25,Mount RL
mount4,hardware,propulsion,motor_mount,SkyLink,2,0,41.2,2.36,Mount RR
battery,hardware,power,battery,Voltspan,5,0,320.0,0.0,LiPo Battery
pdb,hardware,power,power_distribution,Voltspan,3,0,42.0,1.2,Power Dist Board
bec5v,hardware,power,regulator,Voltspan,4,0,41.8,0.89,BEC 5V Rail
bec12v,hardware,power,regulator,PixHawk,4,0,57.4,0.39,BEC 12V Rail
harness,hardware,power,wiring_harness,Aerex,3,0,22.9,1.0,Wiring Harness
fc,hardware,flight_control,autopilot,PixHawk,5,0,38.0,2.5,Autopilot FC
imu_a,hardware,flight_control,imu,PixHawk,4,1,4.0,0.3,IMU A
imu_b,hardware,flight_control,imu,Aerex,4,1,4.0,0.3,IMU B
accel,hardware,flight_control,accelerometer,PixHawk,5,0,19.1,1.75,Accelerometer
