from_id,to_id,quarter,instrument,invested_usd,pledged_usd
I006,P001,2024Q4,equity,2679000,7862000
I006,P001,2025Q1,equity,4379000,6163000
I006,P001,2025Q2,equity,5513000,5029000
I006,P001,2025Q3,equity,6339000,4203000
I006,P001,2025Q4,equity,6590000,3952000
I006,P001,2026Q1,equity,6832000,3709000
I006,P001,2026Q2,equity,7238000,3303000
I006,P001,2026Q3,equity,7279000,3263000
I006,P001,2026Q4,equity,7167000,3375000
B16,P001,2024Q3,debt,5518000,6797000
B16,P001,2024Q4,debt,8290000,4025000
B16,P001,2025Q1,debt,9688000,2627000
B16,P001,2025Q2,debt,7639000,4677000
B16,P001,2025Q3,debt,8424000,3892000
B16,P001,2025Q4,debt,9140000,3176000
B16,P001,2026Q1,debt,9564000,2751000
B16,P001,2026Q2,debt,9949000,2366000
B16,P001,2026Q3,debt,10448000,1867000
B16,P001,2026Q4,debt,10456000,1860000
B15,P001,2024Q4,debt,1817000,2340000
B15,P001,2025Q1,debt,2761000,1395000
B15,P001,2025Q2,debt,2288000,1868000
B15,P001,2025Q3,debt,2681000,1475000
B15,P001,2025Q4,debt,2891000,1265000
B15,P001,2026Q1,debt,3150000,1006000
B15,P001,2026Q2,debt,3436000,720000
B15,P001,2026Q3,debt,3400000,756000
B15,P001,2026Q4,debt,3434000,723000
I001,P002,2024Q4,equity,3073000,6986000
I001,P002,2025Q1,equity,5059000,4999000
I001,P002,2025Q2,equity,5035000,3517000
I001,P002,2025Q3,equity,5047000,3508000
I001,P002,2025Q4,equity,4904000,3608000
I001,P002,2026Q1,equity,4953000,3574000
I001,P002,2026Q2,equity,5035000,3517000
I001,P002,2026Q3,equity,5033000,3518000
I001,P002,2026Q4,equity,4993000,3546000
I053,P002,2025Q3,equity,1673000,2645000
I053,P002,2025Q4,equity,1701000,2625000
I053,P002,2026Q1,equity,1668000,2649000
I053,P002,2026Q2,equity,1685000,2637000
I053,P002,2026Q3,equity,1653000,2659000
I053,P002,2026Q4,equity,1690000,2633000
B05,P002,2024Q1,mezzanine,1304000,2469000
B05,P002,2024Q2,mezzanine,2099000,1673000
B05,P002,2024Q3,mezzanine,2557000,1216000
B05,P002,2024Q4,mezzanine,2826000,947000
B05,P002,2025Q1,mezzanine,2949000,824000
B05,P002,2025Q2,mezzanine,2212000,1093000
B05,P002,2025Q3,mezzanine,2248000,1067000
B05,P002,2025Q4,mezzanine,2172000,1120000
B05,P002,2026Q1,mezzanine,2174000,1120000
B05,P002,2026Q2,mezzanine,2209000,1095000
B05,P002,2026Q3,mezzanine,2219000,1087000
B05,P002,2026Q4,mezzanine,2165000,1126000
B15,P002,2024Q3,debt,7284000,8039000
B15,P002,2024Q4,debt,10437000,4886000
B15,P002,2025Q1,debt,12665000,2658000
B15,P002,2025Q2,debt,8834000,4543000
B15,P002,2025Q3,debt,8833000,4543000
B15,P002,2025Q4,debt,9112000,4347000
B15,P002,2026Q1,debt,8646000,4674000
B15,P002,2026Q2,debt,8715000,4625000
B15,P002,2026Q3,debt,8399000,4847000
B15,P002,2026Q4,debt,8776000,4583000
I051,P003,2024Q4,equity,1248000,4611000
I051,P003,2025Q1,equity,2039000,3820000
I051,P003,2025Q2,equity,2105000,2628000
I051,P003,2025Q3,equity,2095000,2635000
I051,P003,2025Q4,equity,2063000,2657000
I051,P003,2026Q1,equity,2045000,2670000
I051,P003,2026Q2,equity,2102000,2630000
I051,P003,2026Q3,equity,2059000,2660000
I051,P003,2026Q4,equity,2026000,2683000
B02,P003,2024Q3,debt,998000,1546000
B02,P003,2024Q4,debt,1529000,1015000
B02,P003,2025Q1,debt,1834000,709000
B02,P003,2025Q2,debt,1224000,924000
B02,P003,2025Q3,debt,1204000,938000
B02,P003,2025Q4,debt,1193000,945000
B02,P003,2026Q1,debt,1236000,916000
B02,P003,2026Q2,debt,1179000,955000
B02,P003,2026Q3,debt,1236000,916000
B02,P003,2026Q4,debt,1242000,911000
B05,P003,2024Q4,mezzanine,2649000,6792000
B05,P003,2025Q1,mezzanine,4169000,5272000
B05,P003,2025Q2,mezzanine,2448000,4895000
B05,P003,2025Q3,mezzanine,2429000,4909000
B05,P003,2025Q4,mezzanine,2383000,4941000
B05,P003,2026Q1,mezzanine,2510000,4852000
B05,P003,2026Q2,mezzanine,2404000,4926000
B05,P003,2026Q3,mezzanine,2458000,4888000
B05,P003,2026Q4,mezzanine,2304000,4996000
I026,P004,2024Q1,equity,6625000,13874000
I026,P004,2024Q2,equity,10546000,9953000
I026,P004,2024Q3,equity,13303000,7196000
I026,P004,2024Q4,equity,14990000,5509000
I026,P004,2025Q1,equity,15684000,4815000
I026,P004,2025Q2,equity,16748000,3751000
I026,P004,2025Q3,equity,16724000,3775000
I026,P004,2025Q4,equity,17065000,3434000
I026,P004,2026Q1,equity,17844000,2655000
I026,P004,2026Q2,equity,17905000,2594000
I026,P004,2026Q3,equity,17385000,3114000
I026,P004,2026Q4,equity,17421000,3078000
B15,P004,2025Q1,debt,17053000,24494000
B15,P004,2025Q2,debt,16276000,25272000
B15,P004,2025Q3,debt,20560000,20988000
B15,P004,2025Q4,debt,24759000,16788000
B15,P004,2026Q1,debt,27621000,13927000
B15,P004,2026Q2,debt,29082000,12465000
B15,P004,2026Q3,debt,31152000,10396000
B15,P004,2026Q4,debt,31365000,10183000
I030,P005,2025Q3,equity,3531000,6507000
I030,P005,2025Q4,equity,6017000,4021000
I030,P005,2026Q1,equity,7249000,2790000
I030,P005,2026Q2,equity,8353000,1685000
I030,P005,2026Q3,equity,8878000,1160000
I030,P005,2026Q4,equity,9075000,963000
I016,P005,2024Q2,equity,14052000,33335000
I016,P005,2024Q3,equity,23940000,23447000
I016,P005,2024Q4,equity,29196000,18191000
I016,P005,2025Q1,equity,32105000,15282000
I016,P005,2025Q2,equity,35332000,12055000
I016,P005,2025Q3,equity,36510000,10877000
I016,P005,2025Q4,equity,40169000,7218000
I016,P005,2026Q1,equity,38400000,8986000
I016,P005,2026Q2,equity,38278000,9109000
I016,P005,2026Q3,equity,39922000,7465000
I016,P005,2026Q4,equity,37542000,9845000
B06,P005,2024Q4,debt,59466000,55276000
B06,P005,2025Q1,debt,85383000,29358000
B06,P005,2025Q2,debt,67035000,47706000
B06,P005,2025Q3,debt,80728000,34013000
B06,P005,2025Q4,debt,92700000,22042000
B06,P005,2026Q1,debt,97159000,17583000
B06,P005,2026Q2,debt,99375000,15367000
B06,P005,2026Q3,debt,103023000,11719000
B06,P005,2026Q4,debt,105727000,9014000
I051,P006,2025Q1,equity,227000,770000
I051,P006,2025Q2,equity,379000,618000
I051,P006,2025Q3,equity,471000,526000
I051,P006,2025Q4,equity,525000,473000
I051,P006,2026Q1,equity,542000,455000
I051,P006,2026Q2,equity,565000,432000
I051,P006,2026Q3,equity,602000,395000
I051,P006,2026Q4,equity,589000,408000
I063,P006,2025Q2,equity,198000,434000
I063,P006,2025Q3,equity,314000,317000
I063,P006,2025Q4,equity,393000,238000
I063,P006,2026Q1,equity,452000,180000
I063,P006,2026Q2,equity,490000,142000
I063,P006,2026Q3,equity,516000,115000
I063,P006,2026Q4,equity,525000,106000
I055,P006,2025Q4,equity,4803000,10615000
I055,P006,2026Q1,equity,7737000,7681000
I055,P006,2026Q2,equity,9594000,5824000
I055,P006,2026Q3,equity,10934000,4484000
I055,P006,2026Q4,equity,11937000,3481000
B05,P006,2025Q1,mezzanine,8425000,21782000
B05,P006,2025Q2,mezzanine,7979000,22228000
B05,P006,2025Q3,mezzanine,11203000,19004000
B05,P006,2025Q4,mezzanine,13203000,17004000
B05,P006,2026Q1,mezzanine,14533000,15674000
B05,P006,2026Q2,mezzanine,17132000,13074000
B05,P006,2026Q3,mezzanine,17463000,12744000
B05,P006,2026Q4,mezzanine,18494000,11713000
I045,P007,2024Q4,equity,1472000,3942000
I045,P007,2025Q1,equity,2374000,3040000
I045,P007,2025Q2,equity,2942000,2472000
I045,P007,2025Q3,equity,3507000,1907000
I045,P007,2025Q4,equity,3678000,1736000
I045,P007,2026Q1,equity,3822000,1593000
I045,P007,2026Q2,equity,3902000,1512000
I045,P007,2026Q3,equity,3842000,1573000
I045,P007,2026Q4,equity,4062000,1353000
I004,P007,2025Q1,equity,135000,362000
I004,P007,2025Q2,equity,212000,284000
I004,P007,2025Q3,equity,262000,234000
I004,P007,2025Q4,equity,310000,186000
I004,P007,2026Q1,equity,325000,171000
I004,P007,2026Q2,equity,331000,165000
I004,P007,2026Q3,equity,357000,139000
I004,P007,2026Q4,equity,375000,122000
B04,P007,2025Q3,debt,3296000,10865000
B04,P007,2025Q4,debt,5518000,8642000
B04,P007,2026Q1,debt,7255000,6905000
B04,P007,2026Q2,debt,8651000,5509000
B04,P007,2026Q3,debt,9621000,4539000
B04,P007,2026Q4,debt,10004000,4156000
I057,P008,2024Q1,equity,343000,667000
I057,P008,2024Q2,equity,564000,446000
I057,P008,2024Q3,equity,694000,316000
I057,P008,2024Q4,equity,782000,227000
I057,P008,2025Q1,equity,864000,146000
