node_id,label,borough,neighborhood,property_type,building_class,year_built,sqft,stories,appraised_value,occupancy_rate,x,y
P001,Astoria Mixed Use 1,Queens,Astoria,mixed_use,C,2025,48821,7,30370000,0.838,6.401,9.739
P002,Williamsburg Industrial 2,Brooklyn,Williamsburg,industrial,A,1990,88849,5,47110000,0.99,6.516,7.631
P003,Jamaica Multifamily 3,Queens,Jamaica,multifamily,A,1946,51553,1,20620000,0.926,8.606,7.513
P004,Sunset Park Multifamily 4,Brooklyn,Sunset Park,multifamily,C,1995,140558,7,67910000,0.781,6.144,6.232
P005,FiDi Office 5,Manhattan,FiDi,office,C,2001,131826,6,180560000,0.843,4.437,7.294
P006,St. George Office 6,Staten Island,St. George,office,C,1961,153112,5,57710000,0.831,3.905,4.842
P007,Long Island City Retail 7,Queens,Long Island City,retail,A,1951,44228,8,23270000,0.786,7.123,8.889
P008,Astoria Retail 8,Queens,Astoria,retail,A,2025,114780,8,63850000,0.954,6.532,9.876
P009,Hudson Yards Office 9,Manhattan,Hudson Yards,office,A,1989,113653,9,102180000,0.979,4.328,9.063
P010,DUMBO Multifamily 10,Brooklyn,DUMBO,multifamily,A,1973,115386,11,87350000,0.99,6.069,7.563
P011,Washington Hts Multifamily 11,Manhattan,Washington Hts,multifamily,C,1951,93955,1,46100000,0.892,5.167,12.382
P012,Fordham Hotel 12,Bronx,Fordham,hotel,C,1983,60128,3,27110000,0.818,5.627,13.865
P013,Brownsville Multifamily 13,Brooklyn,Brownsville,multifamily,B,1979,64445,5,21260000,0.643,7.911,6.324
P014,Flushing Multifamily 14,Queens,Flushing,multifamily,B,1982,78884,6,42780000,0.99,8.712,9.812
P015,Williamsburg Multifamily 15,Brooklyn,Williamsburg,multifamily,B,2001,258840,12,174910000,0.905,6.578,7.788
P016,SoHo Retail 16,Manhattan,SoHo,retail,A,2025,117321,2,134750000,0.99,4.788,7.989
P017,Bushwick Industrial 17,Brooklyn,Bushwick,industrial,C,2000,193225,7,62480000,0.866,6.979,8.156
P018,FiDi Retail 18,Manhattan,FiDi,retail,A,1936,170822,14,139670000,0.97,4.329,7.294
P019,Flushing Office 19,Queens,Flushing,office,B,2022,42158,5,32520000,0.811,8.592,9.642
P020,Bed-Stuy Industrial 20,Brooklyn,Bed-Stuy,industrial,A,1960,102249,9,37600000,0.898,6.609,7.577
P021,Long Island City Industrial 21,Queens,Long Island City,industrial,B,1968,73438,8,41800000,0.896,6.754,9.252
P022,Washington Hts Office 22,Manhattan,Washington Hts,office,A,1974,264032,15,189670000,0.798,5.236,12.012
P023,St. George Multifamily 23,Staten Island,St. George,multifamily,B,1959,37622,1,19940000,0.875,3.584,5.01
P024,Jamaica Multifamily 24,Queens,Jamaica,multifamily,C,1996,98883,8,37280000,0.848,8.641,7.695
P025,Astoria Office 25,Queens,Astoria,office,A,1991,88450,4,57990000,0.928,6.579,10.049
P026,SoHo Retail 26,Manhattan,SoHo,retail,B,1958,67491,3,49440000,0.99,4.836,8.396
P027,DUMBO Industrial 27,Brooklyn,DUMBO,industrial,B,2025,111461,2,51700000,0.852,5.84,7.636
P028,Midtown Retail 28,Manhattan,Midtown,retail,A,1961,307547,17,212810000,0.983,4.67,9.367
P029,Hudson Yards Office 29,Manhattan,Hudson Yards,office,A,1968,98032,6,105200000,0.913,4.365,9.238
P030,Sunset Park Multifamily 30,Brooklyn,Sunset Park,multifamily,B,2008,40683,2,24700000,0.889,6.163,6.551
P031,Long Island City Office 31,Queens,Long Island City,office,A,1993,110270,6,76060000,0.929,6.657,8.95
P032,St. George Office 32,Staten Island,St. George,office,A,1951,29718,5,15640000,0.99,3.827,5.063
P033,Harlem Retail 33,Manhattan,Harlem,retail,A,1986,75043,1,34280000,0.96,5.201,11.868
P034,Washington Hts Multifamily 34,Manhattan,Washington Hts,multifamily,C,1982,168823,7,78210000,0.827,5.077,12.147
P035,DUMBO Multifamily 35,Brooklyn,DUMBO,multifamily,B,2009,156724,10,128970000,0.883,5.944,7.868
P036,SoHo Industrial 36,Manhattan,SoHo,industrial,B,1945,109119,4,85060000,0.99,4.53,7.666
P037,Hudson Yards Mixed Use 37,Manhattan,Hudson Yards,mixed_use,A,2007,429427,23,423590000,0.776,4.318,8.985
P038,DUMBO Office 38,Brooklyn,DUMBO,office,A,2009,137080,5,142750000,0.99,5.84,7.94
P039,SoHo Office 39,Manhattan,SoHo,office,A,1985,260383,19,267120000,0.959,4.735,8.031
P040,Brownsville Mixed Use 40,Brooklyn,Brownsville,mixed_use,B,1934,90959,1,30580000,0.933,7.458,6.296
P041,Williamsburg Mixed Use 41,Brooklyn,Williamsburg,mixed_use,B,1985,122495,4,89090000,0.919,6.527,8.119
P042,Flushing Mixed Use 42,Queens,Flushing,mixed_use,C,1992,122794,5,73110000,0.837,8.214,9.376
P043,Sunset Park Multifamily 43,Brooklyn,Sunset Park,multifamily,B,1958,65848,1,34740000,0.856,6.262,6.333
P044,Harlem Office 44,Manhattan,Harlem,office,A,1996,62413,4,28270000,0.847,5.038,11.434
P045,Flushing Hotel 45,Queens,Flushing,hotel,C,2016,181333,7,133810000,0.627,8.347,9.407
P046,Astoria Office 46,Queens,Astoria,office,B,1955,262668,11,192870000,0.99,6.645,10.228
P047,Washington Hts Industrial 47,Manhattan,Washington Hts,industrial,A,1937,66705,6,20250000,0.792,5.043,11.981
P048,Upper East Side Multifamily 48,Manhattan,Upper East Side,multifamily,A,2025,92155,7,68040000,0.978,5.481,9.797
P049,Sunset Park Office 49,Brooklyn,Sunset Park,office,C,1987,50759,1,31430000,0.77,6.228,6.243
P050,Hudson Yards Office 50,Manhattan,Hudson Yards,office,A,1985,264498,16,275840000,0.87,4.204,8.926
P051,SoHo Retail 51,Manhattan,SoHo,retail,A,1934,76703,1,100450000,0.893,4.744,8.148
P052,Midtown Mixed Use 52,Manhattan,Midtown,mixed_use,A,2012,74556,10,52550000,0.99,5.031,9.139
P053,Astoria Office 53,Queens,Astoria,office,A,1941,131613,7,86340000,0.99,6.9,9.701
P054,Brownsville Office 54,Brooklyn,Brownsville,office,C,1952,85110,1,42950000,0.786,7.597,6.438
P055,Sunset Park Multifamily 55,Brooklyn,Sunset Park,multifamily,B,1936,81732,1,44290000,0.798,6.241,6.249
P056,Astoria Multifamily 56,Queens,Astoria,multifamily,A,2007,50090,4,47070000,0.918,6.57,10.047
P057,DUMBO Multifamily 57,Brooklyn,DUMBO,multifamily,B,1979,215747,11,151880000,0.868,6.142,7.97
P058,Bushwick Retail 58,Brooklyn,Bushwick,retail,B,1991,73395,2,45880000,0.638,6.959,7.682
P059,Hudson Yards Office 59,Manhattan,Hudson Yards,office,A,1991,81017,4,77020000,0.829,4.489,8.824
P060,FiDi Office 60,Manhattan,FiDi,office,A,1990,166587,6,162360000,0.99,4.698,7.362
P061,Brownsville Multifamily 61,Brooklyn,Brownsville,multifamily,C,1993,33198,5,9740000,0.809,7.189,6.331
P062,DUMBO Retail 62,Brooklyn,DUMBO,retail,B,1999,239567,15,142800000,0.799,6.01,7.799
P063,Bushwick Office 63,Brooklyn,Bushwick,office,A,1987,104304,1,76900000,0.701,7.28,8.314
P064,Long Island City Retail 64,Queens,Long Island City,retail,B,1992,42027,1,38540000,0.947,6.439,9.102
P065,Bed-Stuy Mixed Use 65,Brooklyn,Bed-Stuy,mixed_use,C,2025,53769,6,37400000,0.768,6.915,7.68
P066,Bushwick Office 66,Brooklyn,Bushwick,office,A,2002,124702,7,84530000,0.685,7.0,7.87
P067,Bushwick Retail 67,Brooklyn,Bushwick,retail,C,2018,215452,13,144700000,0.864,6.903,8.171
P068,Upper East Side Multifamily 68,Manhattan,Upper East Side,multifamily,A,1993,64130,4,73390000,0.99,5.445,10.108
P069,Midtown Multifamily 69,Manhattan,Midtown,multifamily,A,1993,75719,5,53110000,0.986,4.678,9.178
P070,Williamsburg Retail 70,Brooklyn,Williamsburg,retail,A,2016,183801,11,106900000,0.79,6.468,8.232
P071,SoHo Retail 71,Manhattan,SoHo,retail,A,1964,120799,5,103960000,0.913,4.846,8.109
P072,Williamsburg Office 72,Brooklyn,Williamsburg,office,B,1979,126465,6,108890000,0.784,6.659,7.791
P073,Flushing Multifamily 73,Queens,Flushing,multifamily,A,1985,36646,1,20670000,0.989,8.471,9.881
P074,SoHo Office 74,Manhattan,SoHo,office,B,1977,106734,11,100840000,0.99,4.74,8.543
