from_id,to_id,link_type,capacity_gbps,latency_ms,band
SAT0001,SAT0002,intra_isl,8.04,17.03,optical
SAT0002,SAT0003,intra_isl,8.04,17.04,optical
SAT0003,SAT0004,intra_isl,15.36,17.03,optical
SAT0004,SAT0005,intra_isl,15.01,17.0,optical
SAT0005,SAT0006,intra_isl,8.69,17.28,optical
SAT0006,SAT0007,intra_isl,8.69,17.02,optical
SAT0007,SAT0008,intra_isl,8.78,17.02,optical
SAT0008,SAT0009,intra_isl,8.81,16.99,optical
SAT0009,SAT0010,intra_isl,8.5,16.81,optical
SAT0010,SAT0011,intra_isl,8.5,17.08,optical
SAT0011,SAT0012,intra_isl,14.97,16.89,optical
SAT0001,SAT0012,intra_isl,13.59,17.1,optical
SAT0013,SAT0014,intra_isl,8.37,16.8,optical
SAT0014,SAT0015,intra_isl,8.37,17.27,optical
SAT0015,SAT0016,intra_isl,8.54,17.01,optical
SAT0016,SAT0017,intra_isl,7.87,17.23,optical
SAT0017,SAT0018,intra_isl,7.87,17.02,optical
SAT0018,SAT0019,intra_isl,9.88,16.81,optical
SAT0019,SAT0020,intra_isl,13.85,17.19,optical
SAT0020,SAT0021,intra_isl,14.53,17.1,optical
SAT0021,SAT0022,intra_isl,7.59,17.17,optical
SAT0022,SAT0023,intra_isl,7.59,16.99,optical
SAT0023,SAT0024,intra_isl,15.47,17.1,optical
SAT0013,SAT0024,intra_isl,17.25,17.21,optical
SAT0025,SAT0026,intra_isl,9.09,17.09,optical
SAT0026,SAT0027,intra_isl,9.09,16.95,optical
SAT0027,SAT0028,intra_isl,11.31,17.11,optical
SAT0028,SAT0029,intra_isl,8.05,17.12,optical
SAT0029,SAT0030,intra_isl,8.05,17.26,optical
SAT0030,SAT0031,intra_isl,15.34,16.96,optical
SAT0031,SAT0032,intra_isl,15.34,16.99,optical
SAT0032,SAT0033,intra_isl,16.25,17.19,optical
SAT0033,SAT0034,intra_isl,17.46,17.03,optical
SAT0034,SAT0035,intra_isl,8.89,17.15,optical
SAT0035,SAT0036,intra_isl,8.89,17.01,optical
SAT0025,SAT0036,intra_isl,10.11,16.89,optical
SAT0037,SAT0038,intra_isl,9.87,17.15,optical
SAT0038,SAT0039,intra_isl,10.58,16.84,optical
SAT0039,SAT0040,intra_isl,16.34,16.88,optical
SAT0040,SAT0041,intra_isl,17.19,17.09,optical
SAT0041,SAT0042,intra_isl,9.44,17.15,optical
SAT0042,SAT0043,intra_isl,9.44,17.23,optical
SAT0043,SAT0044,intra_isl,11.1,16.92,optical
SAT0044,SAT0045,intra_isl,19.81,16.83,optical
SAT0045,SAT0046,intra_isl,19.81,17.26,optical
SAT0046,SAT0047,intra_isl,17.84,16.86,optical
SAT0047,SAT0048,intra_isl,9.53,16.88,optical
SAT0037,SAT0048,intra_isl,9.53,16.92,optical
SAT0049,SAT0050,intra_isl,17.53,17.04,optical
SAT0050,SAT0051,intra_isl,11.9,17.22,optical
SAT0051,SAT0052,intra_isl,10.54,17.16,optical
SAT0052,SAT0053,intra_isl,10.54,17.13,optical
SAT0053,SAT0054,intra_isl,10.93,16.87,optical
SAT0054,SAT0055,intra_isl,10.72,16.96,optical
SAT0055,SAT0056,intra_isl,10.07,17.02,optical
SAT0056,SAT0057,intra_isl,10.07,16.85,optical
SAT0057,SAT0058,intra_isl,11.38,16.92,optical
SAT0058,SAT0059,intra_isl,19.66,16.93,optical
SAT0059,SAT0060,intra_isl,10.54,16.84,optical
SAT0049,SAT0060,intra_isl,10.54,17.05,optical
SAT0061,SAT0062,intra_isl,11.62,17.13,optical
SAT0062,SAT0063,intra_isl,11.62,16.81,optical
SAT0063,SAT0064,intra_isl,20.79,17.02,optical
SAT0064,SAT0065,intra_isl,20.79,17.17,optical
SAT0065,SAT0066,intra_isl,10.81,17.15,optical
SAT0066,SAT0067,intra_isl,10.81,17.19,optical
SAT0067,SAT0068,intra_isl,20.83,17.0,optical
SAT0068,SAT0069,intra_isl,20.83,17.19,optical
SAT0069,SAT0070,intra_isl,20.93,16.9,optical
SAT0070,SAT0071,intra_isl,20.93,16.96,optical
SAT0071,SAT0072,intra_isl,22.01,16.87,optical
SAT0061,SAT0072,intra_isl,22.01,17.01,optical
SAT0073,SAT0074,intra_isl,12.21,16.98,optical
SAT0074,SAT0075,intra_isl,20.73,16.9,optical
SAT0075,SAT0076,intra_isl,21.43,17.16,optical
SAT0076,SAT0077,intra_isl,21.43,16.94,optical
SAT0077,SAT0078,intra_isl,22.27,16.92,optical
SAT0078,SAT0079,intra_isl,21.77,16.84,optical
SAT0079,SAT0080,intra_isl,21.77,17.0,optical
SAT0080,SAT0081,intra_isl,20.78,16.93,optical
SAT0081,SAT0082,intra_isl,20.78,16.96,optical
SAT0082,SAT0083,intra_isl,21.95,16.9,optical
SAT0083,SAT0084,intra_isl,21.34,17.16,optical
SAT0073,SAT0084,intra_isl,12.21,17.24,optical
SAT0085,SAT0086,intra_isl,10.88,17.03,optical
SAT0086,SAT0087,intra_isl,10.88,17.1,optical
SAT0087,SAT0088,intra_isl,21.18,17.21,optical
SAT0088,SAT0089,intra_isl,21.18,17.28,optical
SAT0089,SAT0090,intra_isl,14.13,17.09,optical
SAT0090,SAT0091,intra_isl,14.13,17.22,optical
SAT0091,SAT0092,intra_isl,25.4,17.23,optical
SAT0092,SAT0093,intra_isl,24.28,17.17,optical
SAT0093,SAT0094,intra_isl,10.44,17.01,optical
SAT0094,SAT0095,intra_isl,10.44,16.82,optical
SAT0095,SAT0096,intra_isl,24.07,16.79,optical
SAT0085,SAT0096,intra_isl,12.49,17.02,optical
SAT0097,SAT0098,intra_isl,25.91,17.03,optical
SAT0098,SAT0099,intra_isl,22.58,16.98,optical
SAT0099,SAT0100,intra_isl,22.58,17.06,optical
SAT0100,SAT0101,intra_isl,20.96,17.06,optical
SAT0101,SAT0102,intra_isl,20.96,17.2,optical
SAT0102,SAT0103,intra_isl,23.56,16.83,optical
SAT0103,SAT0104,intra_isl,23.67,16.89,optical
SAT0104,SAT0105,intra_isl,23.67,17.18,optical
SAT0105,SAT0106,intra_isl,23.52,17.2,optical
SAT0106,SAT0107,intra_isl,23.52,17.28,optical
SAT0107,SAT0108,intra_isl,24.44,17.22,optical
SAT0097,SAT0108,intra_isl,24.44,17.22,optical
SAT0109,SAT0110,intra_isl,22.18,16.94,optical
SAT0110,SAT0111,intra_isl,25.62,16.98,optical
SAT0111,SAT0112,intra_isl,26.99,16.91,optical
SAT0112,SAT0113,intra_isl,23.97,17.08,optical
SAT0113,SAT0114,intra_isl,23.97,17.25,optical
SAT0114,SAT0115,intra_isl,24.71,16.95,optical
SAT0115,SAT0116,intra_isl,24.5,17.06,optical
SAT0116,SAT0117,intra_isl,24.5,16.93,optical
SAT0117,SAT0118,intra_isl,22.27,16.86,optical
SAT0118,SAT0119,intra_isl,22.27,16.88,optical
