node_id,kind,operator,plane,slot,altitude_km,inclination_deg,raan_deg,region,lat,lon,x,y,band,isl_capable,launch_year,status,capacity_gbps,label
SAT0001,satellite,Helios,0,0,546.9,53.02,0.0,,0.0,0.0,0.0,0.0,optical,1,2019,active,9.71,Helios 00-00
SAT0002,satellite,Helios,0,1,550.4,52.93,0.0,,23.5142,19.187,19.187,23.5142,optical,1,2019,degraded,5.74,Helios 00-01
SAT0003,satellite,Helios,0,2,552.3,53.04,0.0,,43.7917,46.1594,46.1594,43.7917,optical,1,2019,active,11.31,Helios 00-02
SAT0004,satellite,Helios,0,3,551.1,52.96,0.0,,52.957,90.0,90.0,52.957,optical,1,2019,active,10.97,Helios 00-03
SAT0005,satellite,Helios,0,4,548.0,52.99,0.0,,43.7533,133.8053,133.8053,43.7533,optical,1,2019,active,10.72,Helios 00-04
SAT0006,satellite,Helios,0,5,551.6,52.98,0.0,,23.5298,160.8326,160.8326,23.5298,optical,1,2019,degraded,6.21,Helios 00-05
SAT0007,satellite,Helios,0,6,548.8,53.11,0.0,,0.0,-180.0,-180.0,0.0,optical,1,2019,degraded,6.27,Helios 00-06
SAT0008,satellite,Helios,0,7,549.7,53.06,0.0,,-23.5541,-160.863,-160.863,-23.5541,optical,1,2019,degraded,6.29,Helios 00-07
SAT0009,satellite,Helios,0,8,551.6,53.04,0.0,,-43.7868,-133.8361,-133.8361,-43.7868,optical,1,2019,active,11.08,Helios 00-08
SAT0010,satellite,Helios,0,9,552.6,53.01,0.0,,-53.0109,-90.0,-90.0,-53.0109,optical,1,2019,degraded,6.07,Helios 00-09
SAT0011,satellite,Helios,0,10,551.9,53.01,0.0,,-43.7704,-46.179,-46.179,-43.7704,optical,1,2019,active,10.69,Helios 00-10
SAT0012,satellite,Helios,0,11,549.2,52.97,0.0,,-23.525,-19.1733,-19.1733,-23.525,optical,1,2020,active,13.23,Helios 00-11
SAT0013,satellite,Helios,1,0,549.0,52.92,30.0,,1.9941,31.5081,31.5081,1.9941,optical,1,2020,active,13.03,Helios 01-00
SAT0014,satellite,Helios,1,1,549.0,53.04,30.0,,25.4251,50.9591,50.9591,25.4251,optical,1,2019,degraded,5.98,Helios 01-01
SAT0015,satellite,Helios,1,2,546.6,52.94,30.0,,45.0565,79.1822,79.1822,45.0565,optical,1,2019,degraded,6.1,Helios 01-02
SAT0016,satellite,Helios,1,3,548.7,53.03,30.0,,52.9621,124.1528,124.1528,52.9621,optical,1,2020,active,12.27,Helios 01-03
SAT0017,satellite,Helios,1,4,548.0,53.02,30.0,,42.3583,166.6452,166.6452,42.3583,optical,1,2019,degraded,5.62,Helios 01-04
SAT0018,satellite,Helios,1,5,548.6,53.02,30.0,,21.647,-167.3858,-167.3858,21.647,optical,1,2020,degraded,7.06,Helios 01-05
SAT0019,satellite,Helios,1,6,549.7,53.03,30.0,,-1.9972,-148.496,-148.496,-1.9972,optical,1,2019,active,9.89,Helios 01-06
SAT0020,satellite,Helios,1,7,546.0,52.93,30.0,,-25.385,-128.9912,-128.9912,-25.385,optical,1,2019,active,10.4,Helios 01-07
SAT0021,satellite,Helios,1,8,553.9,52.98,30.0,,-45.0904,-100.8472,-100.8472,-45.0904,optical,1,2019,active,10.38,Helios 01-08
SAT0022,satellite,Helios,1,9,547.1,52.99,30.0,,-52.9174,-55.8515,-55.8515,-52.9174,optical,1,2019,degraded,5.42,Helios 01-09
SAT0023,satellite,Helios,1,10,550.7,53.02,30.0,,-42.3575,-13.3556,-13.3556,-42.3575,optical,1,2019,active,11.05,Helios 01-10
SAT0024,satellite,Helios,1,11,550.7,52.97,30.0,,-21.6318,12.595,12.595,-21.6318,optical,1,2020,active,12.32,Helios 01-11
SAT0025,satellite,Helios,2,0,550.5,52.95,60.0,,3.9886,63.0175,63.0175,3.9886,optical,1,2020,degraded,7.22,Helios 02-00
SAT0026,satellite,Helios,2,1,554.4,53.02,60.0,,27.2701,82.8419,82.8419,27.2701,optical,1,2020,degraded,6.49,Helios 02-01
SAT0027,satellite,Helios,2,2,545.9,52.98,60.0,,46.3545,112.2427,112.2427,46.3545,optical,1,2020,spare,11.4,Helios 02-02
SAT0028,satellite,Helios,2,3,550.9,52.95,60.0,,52.6614,158.2618,158.2618,52.6614,optical,1,2020,degraded,8.08,Helios 02-03
SAT0029,satellite,Helios,2,4,547.0,53.02,60.0,,40.8728,-160.6648,-160.6648,40.8728,optical,1,2019,degraded,5.75,Helios 02-04
SAT0030,satellite,Helios,2,5,548.2,52.98,60.0,,19.7201,-135.6829,-135.6829,19.7201,optical,1,2020,active,12.62,Helios 02-05
SAT0031,satellite,Helios,2,6,546.9,52.99,60.0,,-3.9909,-116.9855,-116.9855,-3.9909,optical,1,2019,active,10.96,Helios 02-06
SAT0032,satellite,Helios,2,7,550.4,53.09,60.0,,-27.2975,-97.1917,-97.1917,-27.2975,optical,1,2020,active,11.61,Helios 02-07
SAT0033,satellite,Helios,2,8,547.8,52.95,60.0,,-46.3318,-67.7388,-67.7388,-46.3318,optical,1,2021,active,14.7,Helios 02-08
SAT0034,satellite,Helios,2,9,552.8,52.95,60.0,,-52.667,-21.7371,-21.7371,-52.667,optical,1,2020,active,12.47,Helios 02-09
