line_id,mode,kind,label,n_stations
M1,metro,radial,Metro Line M1,7
M2,metro,radial,Metro Line M2,7
M3,metro,radial,Metro Line M3,7
M4,metro,radial,Metro Line M4,7
M5,metro,radial,Metro Line M5,7
M6,metro,radial,Metro Line M6,7
Ring,metro,inner_ring,Inner Ring Line,22
OuterArc,metro,outer_ring_partial,Outer Ring (partial),26
B001,bus,local,Bus Route B001,2
B002,bus,local,Bus Route B002,2
B003,bus,local,Bus Route B003,2
B004,bus,local,Bus Route B004,2
B005,bus,local,Bus Route B005,2
B006,bus,local,Bus Route B006,2
B007,bus,local,Bus Route B007,2
B008,bus,local,Bus Route B008,2
B009,bus,local,Bus Route B009,2
B010,bus,local,Bus Route B010,2
B011,bus,local,Bus Route B011,2
B014,bus,local,Bus Route B014,2
B016,bus,local,Bus Route B016,2
B018,bus,local,Bus Route B018,2
B024,bus,local,Bus Route B024,2
B025,bus,local,Bus Route B025,2
B026,bus,local,Bus Route B026,2
B027,bus,local,Bus Route B027,2
B028,bus,local,Bus Route B028,2
B030,bus,local,Bus Route B030,2
B031,bus,local,Bus Route B031,2
B033,bus,local,Bus Route B033,2
B034,bus,local,Bus Route B034,2
B035,bus,local,Bus Route B035,2
B036,bus,local,Bus Route B036,2
B038,bus,local,Bus Route B038,2
B040,bus,local,Bus Route B040,2
B041,bus,local,Bus Route B041,2
B043,bus,local,Bus Route B043,2
B045,bus,local,Bus Route B045,2
B046,bus,local,Bus Route B046,2
B047,bus,local,Bus Route B047,2
B050,bus,local,Bus Route B050,2
B053,bus,local,Bus Route B053,2
B054,bus,local,Bus Route B054,2
B057,bus,local,Bus Route B057,2
B058,bus,local,Bus Route B058,2
B059,bus,local,Bus Route B059,2
B061,bus,local,Bus Route B061,2
B062,bus,local,Bus Route B062,2
B063,bus,local,Bus Route B063,2
B064,bus,local,Bus Route B064,2
B066,bus,local,Bus Route B066,2
B067,bus,local,Bus Route B067,2
B068,bus,local,Bus Route B068,2
B070,bus,local,Bus Route B070,2
B071,bus,local,Bus Route B071,2
B073,bus,local,Bus Route B073,2
B074,bus,local,Bus Route B074,2
B077,bus,local,Bus Route B077,2
B078,bus,local,Bus Route B078,2
B081,bus,local,Bus Route B081,2
B082,bus,local,Bus Route B082,2
B083,bus,local,Bus Route B083,2
B084,bus,local,Bus Route B084,2
B086,bus,local,Bus Route B086,2
B090,bus,local,Bus Route B090,2
B093,bus,local,Bus Route B093,2
B095,bus,local,Bus Route B095,2
B097,bus,local,Bus Route B097,2
B100,bus,local,Bus Route B100,2
B101,bus,local,Bus Route B101,2
B102,bus,local,Bus Route B102,2
B104,bus,local,Bus Route B104,2
B105,bus,local,Bus Route B105,2
B107,bus,local,Bus Route B107,2
B108,bus,local,Bus Route B108,2
B110,bus,local,Bus Route B110,2
B114,bus,local,Bus Route B114,2
B115,bus,local,Bus Route B115,2
B116,bus,local,Bus Route B116,2
B119,bus,local,Bus Route B119,2
B120,bus,local,Bus Route B120,2
B122,bus,local,Bus Route B122,2
B123,bus,local,Bus Route B123,2
B124,bus,local,Bus Route B124,2
B125,bus,local,Bus Route B125,2
B126,bus,local,Bus Route B126,2
B128,bus,local,Bus Route B128,2
B129,bus,local,Bus Route B129,2
B130,bus,local,Bus Route B130,2
B131,bus,local,Bus Route B131,2
B133,bus,local,Bus Route B133,2
B134,bus,local,Bus Route B134,2
B135,bus,local,Bus Route B135,2
B137,bus,local,Bus Route B137,2
B139,bus,local,Bus Route B139,2
B142,bus,local,Bus Route B142,2
B144,bus,local,Bus Route B144,2
B146,bus,local,Bus Route B146,2
B148,bus,local,Bus Route B148,2
B149,bus,local,Bus Route B149,2
B150,bus,local,Bus Route B150,2
B152,bus,local,Bus Route B152,2
B154,bus,local,Bus Route B154,2
B156,bus,local,Bus Route B156,2
B157,bus,local,Bus Route B157,2
B159,bus,local,Bus Route B159,2
B160,bus,local,Bus Route B160,2
B166,bus,local,Bus Route B166,2
B167,bus,local,Bus Route B167,2
B168,bus,local,Bus Route B168,2
B171,bus,local,Bus Route B171,2
B175,bus,local,Bus Route B175,2
B176,bus,local,Bus Route B176,2
B177,bus,local,Bus Route B177,2
B179,bus,local,Bus Route B179,2
B181,bus,local,Bus Route B181,2
B184,bus,local,Bus Route B184,2
B186,bus,local,Bus Route B186,2
B187,bus,local,Bus Route B187,2
B188,bus,local,Bus Route B188,2
B189,bus,local,Bus Route B189,2
B191,bus,local,Bus Route B191,2
B192,bus,local,Bus Route B192,2
B193,bus,local,Bus Route B193,2
B194,bus,local,Bus Route B194,2
B195,bus,local,Bus Route B195,2
B196,bus,local,Bus Route B196,2
B198,bus,local,Bus Route B198,2
B200,bus,local,Bus Route B200,2
B203,bus,local,Bus Route B203,2
B206,bus,local,Bus Route B206,2
B208,bus,local,Bus Route B208,2
B209,bus,local,Bus Route B209,2
B211,bus,local,Bus Route B211,2
B212,bus,local,Bus Route B212,2
B213,bus,local,Bus Route B213,2
B214,bus,local,Bus Route B214,2
B215,bus,local,Bus Route B215,2
B216,bus,local,Bus Route B216,2
B217,bus,local,Bus Route B217,2
B219,bus,local,Bus Route B219,2
B220,bus,local,Bus Route B220,2
B221,bus,local,Bus Route B221,2
B222,bus,local,Bus Route B222,2
B223,bus,local,Bus Route B223,2
B226,bus,local,Bus Route B226,2
B227,bus,local,Bus Route B227,2
B228,bus,local,Bus Route B228,2
B230,bus,local,Bus Route B230,2
B231,bus,local,Bus Route B231,2
B232,bus,local,Bus Route B232,2
B236,bus,local,Bus Route B236,2
B237,bus,local,Bus Route B237,2
B238,bus,local,Bus Route B238,2
B239,bus,local,Bus Route B239,2
B241,bus,local,Bus Route B241,2
B242,bus,local,Bus Route B242,2
B243,bus,local,Bus Route B243,2
B245,bus,local,Bus Route B245,2
B246,bus,local,Bus Route B246,2
B247,bus,local,Bus Route B247,2
B248,bus,local,Bus Route B248,2
B249,bus,local,Bus Route B249,2
B250,bus,local,Bus Route B250,2
B257,bus,local,Bus Route B257,2
B258,bus,local,Bus Route B258,2
B259,bus,local,Bus Route B259,2
B262,bus,local,Bus Route B262,2
B266,bus,local,Bus Route B266,2
B268,bus,local,Bus Route B268,2
B269,bus,local,Bus Route B269,2
B271,bus,local,Bus Route B271,2
B272,bus,local,Bus Route B272,2
B277,bus,local,Bus Route B277,2
B278,bus,local,Bus Route B278,2
B279,bus,local,Bus Route B279,2
B280,bus,local,Bus Route B280,2
B281,bus,local,Bus Route B281,2
B284,bus,local,Bus Route B284,2
B285,bus,local,Bus Route B285,2
B286,bus,local,Bus Route B286,2
B288,bus,local,Bus Route B288,2
B289,bus,local,Bus Route B289,2
B290,bus,local,Bus Route B290,2
B292,bus,local,Bus Route B292,2
B293,bus,local,Bus Route B293,2
B295,bus,local,Bus Route B295,2
B297,bus,local,Bus Route B297,2
B298,bus,local,Bus Route B298,2
B300,bus,local,Bus Route B300,2
B301,bus,local,Bus Route B301,2
B303,bus,local,Bus Route B303,2
B304,bus,local,Bus Route B304,2
B305,bus,local,Bus Route B305,2
B307,bus,local,Bus Route B307,2
B308,bus,local,Bus Route B308,2
B312,bus,local,Bus Route B312,2
B313,bus,local,Bus Route B313,2
B314,bus,local,Bus Route B314,2
B315,bus,local,Bus Route B315,2
B316,bus,local,Bus Route B316,2
B317,bus,local,Bus Route B317,2
B318,bus,local,Bus Route B318,2
B319,bus,local,Bus Route B319,2
B322,bus,local,Bus Route B322,2
B323,bus,local,Bus Route B323,2
B325,bus,local,Bus Route B325,2
B330,bus,local,Bus Route B330,2
B331,bus,local,Bus Route B331,2
B332,bus,local,Bus Route B332,2
B333,bus,local,Bus Route B333,2
B336,bus,local,Bus Route B336,2
B337,bus,local,Bus Route B337,2
B340,bus,local,Bus Route B340,2
B341,bus,local,Bus Route B341,2
B344,bus,local,Bus Route B344,2
B346,bus,local,Bus Route B346,2
B347,bus,local,Bus Route B347,2
B348,bus,local,Bus Route B348,2
B349,bus,local,Bus Route B349,2
B353,bus,local,Bus Route B353,2
B355,bus,local,Bus Route B355,2
B356,bus,local,Bus Route B356,2
B357,bus,local,Bus Route B357,2
B359,bus,local,Bus Route B359,2
B361,bus,local,Bus Route B361,2
B362,bus,local,Bus Route B362,2
B363,bus,local,Bus Route B363,2
B365,bus,local,Bus Route B365,2
B366,bus,local,Bus Route B366,2
B367,bus,local,Bus Route B367,2
B368,bus,local,Bus Route B368,2
B373,bus,local,Bus Route B373,2
B375,bus,local,Bus Route B375,2
B376,bus,local,Bus Route B376,2
B379,bus,local,Bus Route B379,2
B380,bus,local,Bus Route B380,2
B381,bus,local,Bus Route B381,2
B382,bus,local,Bus Route B382,2
B383,bus,local,Bus Route B383,2
B385,bus,local,Bus Route B385,2
B386,bus,local,Bus Route B386,2
B390,bus,local,Bus Route B390,2
B391,bus,local,Bus Route B391,2
B393,bus,local,Bus Route B393,2
B395,bus,local,Bus Route B395,2
B397,bus,local,Bus Route B397,2
B398,bus,local,Bus Route B398,2
B399,bus,local,Bus Route B399,2
B402,bus,local,Bus Route B402,2
B405,bus,local,Bus Route B405,2
B406,bus,local,Bus Route B406,2
B408,bus,local,Bus Route B408,2
B410,bus,local,Bus Route B410,2
B411,bus,local,Bus Route B411,2
B412,bus,local,Bus Route B412,2
B414,bus,local,Bus Route B414,2
B415,bus,local,Bus Route B415,2
B418,bus,local,Bus Route B418,2
B419,bus,local,Bus Route B419,2
B420,bus,local,Bus Route B420,2
B421,bus,local,Bus Route B421,2
B423,bus,local,Bus Route B423,2
B425,bus,local,Bus Route B425,2
B429,bus,local,Bus Route B429,2
