node_id,label,district,x,y,population,median_income,jobs,has_metro
N001,CBD 001,CBD,-0.395,0.159,4539,129919,61381,0
N002,CBD 002,CBD,-0.153,-0.447,2899,62631,60990,0
N003,CBD 003,CBD,0.051,-0.008,6168,91935,66400,1
N004,CBD 004,CBD,0.094,-0.408,4547,93178,60631,0
N005,CBD 005,CBD,-0.067,0.022,6263,118352,66517,0
N006,CBD 006,CBD,0.183,-0.091,5340,89074,64843,0
N007,East 007,East,1.18,0.047,5838,65071,38163,1
N008,East 008,East,0.801,0.277,6125,91099,48987,0
N009,CBD 009,CBD,0.571,0.495,8409,107952,52062,0
N010,NorthEast 010,NorthEast,0.45,0.975,9011,72306,41690,1
N011,North 011,North,0.094,0.914,5798,105972,47557,0
N012,North 012,North,-0.368,1.163,6326,100983,37499,0
N013,NorthWest 013,NorthWest,-0.469,0.684,7192,113622,49642,1
N014,CBD 014,CBD,-0.566,0.484,4199,104490,53647,0
N015,NorthWest 015,NorthWest,-0.995,0.475,6433,105385,40859,0
N016,West 016,West,-1.259,-0.086,3602,126488,35031,1
N017,West 017,West,-0.886,-0.274,6177,98831,45823,0
N018,SouthWest 018,SouthWest,-0.637,-0.526,4324,108138,50380,0
N019,SouthWest 019,SouthWest,-0.579,-0.799,3398,99583,43976,1
N020,South 020,South,-0.272,-1.061,2814,90048,39741,0
N021,South 021,South,0.185,-1.172,4366,103512,37625,0
N022,SouthEast 022,SouthEast,0.49,-0.749,4975,91775,47850,1
N023,SouthEast 023,SouthEast,0.963,-0.666,5582,93572,37394,0
N024,East 024,East,0.818,-0.327,8552,83806,49046,0
N025,East 025,East,1.696,0.087,8367,80470,20079,1
N026,East 026,East,1.591,0.326,5168,72767,22510,1
N027,NorthEast 027,NorthEast,1.584,1.208,7612,88524,13262,1
N028,NorthEast 028,NorthEast,1.256,1.629,6564,65249,11418,1
N029,NorthEast 029,NorthEast,0.825,1.754,6593,89905,14604,1
N030,North 030,North,0.406,1.635,6967,84526,20645,1
N031,North 031,North,-0.355,1.85,5378,126337,17887,1
N032,NorthWest 032,NorthWest,-0.885,1.847,4154,126833,21115,1
N033,NorthWest 033,NorthWest,-1.318,1.41,6105,143614,24850,1
