driver_id,rider_id,hour,pickup_zone,dropoff_zone,wait_min,distance_km,fare,surge_mult,tip
D015,R012,8,Z23,Z04,4.7,6.92,16.03,1.0,4.61
D015,R012,18,Z04,Z23,6.8,6.92,16.07,1.0,4.52
D015,R012,8,Z23,Z04,5.0,6.92,14.06,1.0,2.95
D015,R012,18,Z04,Z23,7.4,6.92,15.8,1.0,3.63
D015,R012,8,Z23,Z04,5.6,6.92,16.09,1.0,4.55
D015,R012,18,Z04,Z23,8.9,6.92,16.94,1.0,3.8
D011,R113,8,Z16,Z24,8.9,2.68,6.92,1.0,2.08
D011,R113,18,Z24,Z16,6.9,2.68,7.06,1.0,0.4
D011,R113,8,Z16,Z24,7.1,2.68,5.68,1.0,1.77
D011,R113,18,Z24,Z16,8.3,2.68,6.6,1.0,1.57
D011,R113,8,Z16,Z24,6.5,2.68,6.8,1.0,1.89
D011,R113,18,Z24,Z16,6.8,2.68,9.64,1.0,1.74
D019,R061,8,Z21,Z13,5.6,3.75,10.49,1.0,1.41
D019,R061,18,Z13,Z21,3.7,3.75,9.4,1.0,1.0
D019,R061,8,Z21,Z13,6.1,3.75,10.32,1.0,2.01
D019,R061,18,Z13,Z21,5.3,3.75,11.28,1.0,1.58
D019,R061,8,Z21,Z13,5.8,3.75,8.79,1.0,1.42
D019,R061,18,Z13,Z21,3.2,3.75,11.48,1.0,2.06
D029,R197,8,Z13,Z18,3.6,2.26,8.2,1.0,0.42
D029,R197,18,Z18,Z13,2.3,2.26,7.73,1.0,1.66
D029,R197,8,Z13,Z18,4.0,2.26,5.18,1.0,1.07
D029,R197,18,Z18,Z13,6.3,2.26,7.76,1.0,1.73
D029,R197,8,Z13,Z18,3.3,2.26,6.3,1.0,0.05
D029,R197,18,Z18,Z13,4.6,2.26,7.79,1.0,0.69
D107,R079,8,Z07,Z20,7.4,3.79,8.46,1.0,2.23
D107,R079,18,Z20,Z07,2.2,3.79,10.36,1.0,3.15
D107,R079,8,Z07,Z20,8.3,3.79,6.64,1.0,1.13
D107,R079,18,Z20,Z07,5.5,3.79,6.29,1.0,1.43
D107,R079,8,Z07,Z20,7.4,3.79,10.59,1.0,2.35
D107,R079,18,Z20,Z07,4.6,3.79,10.3,1.0,3.78
D007,R025,8,Z07,Z21,8.4,4.15,10.73,1.0,0.83
D007,R025,18,Z21,Z07,6.7,4.15,9.37,1.0,1.16
D007,R025,8,Z07,Z21,8.5,4.15,8.41,1.0,1.48
