from_id,to_id,package_id,service_level,weight_kg,distance_km,transit_hours,promised_hours,on_time,damaged
C054,C010,PKG000001,ground,1.21,361.4,30.23,30.6,1,0
C052,C047,PKG000002,two_day,1.22,398.2,30.85,48.0,1,0
C092,C058,PKG000003,two_day,3.18,2441.2,32.08,48.0,1,1
C047,C048,PKG000004,ground,4.59,115.6,18.73,26.1,1,0
C038,C101,PKG000005,ground,6.88,4093.4,82.4,98.4,1,0
C065,C064,PKG000006,ground,0.97,34.7,29.08,24.6,0,0
C025,C022,PKG000007,two_day,5.52,327.1,25.65,48.0,1,0
C013,C066,PKG000008,ground,1.57,2346.9,54.1,66.7,1,0
C049,C035,PKG000009,ground,0.42,495.8,33.7,33.0,0,0
C042,C049,PKG000010,ground,3.25,1511.0,49.29,51.5,1,0
C022,C068,PKG000011,ground,2.71,2088.3,56.45,62.0,1,0
C036,C054,PKG000012,ground,2.31,729.6,33.78,37.3,1,0
C036,C005,PKG000013,ground,0.78,1185.5,40.98,45.6,1,0
C032,C065,PKG000014,overnight,0.82,1473.1,27.45,30.0,1,0
C038,C027,PKG000015,ground,5.72,1319.1,45.87,48.0,1,0
C070,C092,PKG000016,ground,0.65,1796.7,53.22,56.7,1,0
C028,C011,PKG000017,ground,3.27,628.1,48.18,35.4,0,0
C102,C098,PKG000018,ground,2.82,257.1,27.67,28.7,1,0
C100,C079,PKG000019,ground,3.8,1614.0,50.73,53.3,1,0
C049,C051,PKG000020,ground,1.03,79.1,9.12,25.4,1,0
C032,C021,PKG000021,ground,7.35,671.3,39.63,36.2,0,0
C054,C018,PKG000022,two_day,2.04,790.8,36.99,48.0,1,0
C092,C101,PKG000023,ground,1.99,1241.8,31.16,46.6,1,0
C066,C018,PKG000024,overnight,5.22,2269.2,17.12,30.0,1,0
C086,C089,PKG000025,ground,0.44,550.2,36.62,34.0,0,0
C054,C050,PKG000026,ground,0.97,227.0,25.92,28.1,1,0
C064,C058,PKG000027,overnight,4.36,1073.8,19.21,30.0,1,0
C027,C036,PKG000028,two_day,3.97,1002.1,30.9,48.0,1,0
C077,C036,PKG000029,ground,5.32,916.7,33.75,40.7,1,0
C019,C082,PKG000030,two_day,6.28,3083.4,36.93,48.0,1,0
C072,C066,PKG000031,ground,0.56,253.2,23.42,28.6,1,0
C092,C039,PKG000032,ground,4.23,3414.3,71.88,86.1,1,0
C013,C016,PKG000033,two_day,1.01,192.6,26.42,48.0,1,0
C063,C061,PKG000034,two_day,4.97,61.5,18.75,48.0,1,0
C009,C004,PKG000035,ground,2.35,158.7,14.86,26.9,1,0
C075,C034,PKG000036,ground,3.54,832.8,37.69,39.1,1,0
C008,C032,PKG000037,ground,8.52,1017.6,49.49,42.5,0,0
C101,C089,PKG000038,ground,0.26,1710.1,49.87,55.1,1,0
C013,C032,PKG000039,overnight,4.41,1006.1,13.02,30.0,1,0
C103,C106,PKG000040,ground,0.38,589.6,29.78,34.7,1,0
C085,C084,PKG000041,ground,1.35,799.7,25.79,38.5,1,0
C061,C046,PKG000042,ground,3.24,684.4,34.17,36.4,1,0
C083,C080,PKG000043,ground,0.69,542.8,36.61,33.9,0,0
C085,C082,PKG000044,ground,6.13,788.2,28.96,38.3,1,0
C102,C100,PKG000045,overnight,3.32,74.9,15.02,30.0,1,0
C024,C027,PKG000046,two_day,4.04,351.8,20.49,48.0,1,0
C060,C058,PKG000047,two_day,2.82,47.9,16.53,48.0,1,0
C009,C025,PKG000048,ground,2.4,490.1,39.43,32.9,0,0
C063,C060,PKG000049,ground,2.46,395.0,21.83,31.2,1,0
C016,C025,PKG000050,ground,0.95,311.1,18.09,29.7,1,0
C058,C060,PKG000051,ground,0.74,47.9,1.0,24.9,1,0
C059,C054,PKG000052,ground,7.67,678.4,27.81,36.3,1,0
C047,C061,PKG000053,two_day,0.7,773.8,25.83,48.0,1,0
C053,C058,PKG000054,two_day,1.39,650.1,23.83,48.0,1,0
C081,C027,PKG000055,ground,3.06,2421.3,61.62,68.0,1,0
C085,C101,PKG000056,ground,1.15,1615.4,46.08,53.4,1,0
C050,C027,PKG000057,two_day,2.0,589.1,36.07,48.0,1,0
C061,C071,PKG000058,ground,3.8,1012.9,45.47,42.4,0,0
C101,C107,PKG000059,overnight,1.77,765.3,14.87,30.0,1,0
C012,C057,PKG000060,ground,2.7,1089.0,52.04,43.8,0,0
C012,C081,PKG000061,ground,4.13,2192.1,70.78,63.9,0,0
C008,C055,PKG000062,ground,3.35,1583.4,43.74,52.8,1,0
C067,C087,PKG000063,overnight,1.34,1291.2,21.31,30.0,1,0
C042,C079,PKG000064,ground,1.2,2727.7,61.32,73.6,1,0
C082,C056,PKG000065,two_day,0.99,1556.9,40.55,48.0,1,0
C069,C101,PKG000066,ground,9.94,2733.1,60.84,73.7,1,0
C032,C008,PKG000067,ground,2.21,1017.6,39.55,42.5,1,0
C098,C056,PKG000068,two_day,4.25,2224.5,39.54,48.0,1,0
C080,C095,PKG000069,ground,0.87,1472.3,51.22,50.8,0,0
C025,C003,PKG000070,ground,3.43,636.7,38.2,35.6,0,0
C036,C069,PKG000071,ground,0.94,1307.9,41.79,47.8,1,0
C030,C051,PKG000072,two_day,5.08,486.5,29.82,48.0,1,0
C015,C004,PKG000073,ground,3.18,368.9,23.32,30.7,1,0
C014,C018,PKG000074,ground,2.15,97.2,37.27,25.8,0,0
C101,C107,PKG000075,overnight,3.24,765.3,14.72,30.0,1,0
C044,C069,PKG000076,two_day,0.64,985.8,20.83,48.0,1,0
C038,C077,PKG000077,two_day,6.45,1716.3,38.18,48.0,1,0
C076,C045,PKG000078,two_day,0.87,724.2,22.5,48.0,1,0
C056,C006,PKG000079,two_day,5.54,1456.2,33.48,48.0,1,0
C101,C100,PKG000080,ground,4.37,54.5,11.74,25.0,1,0
C083,C047,PKG000081,ground,1.55,2126.8,56.54,62.7,1,0
C049,C060,PKG000082,two_day,4.38,551.6,15.59,48.0,1,0
C037,C061,PKG000083,two_day,2.45,1690.8,40.68,48.0,1,0
C107,C092,PKG000084,overnight,4.84,554.5,18.1,30.0,1,0
C074,C034,PKG000085,ground,1.4,779.1,44.97,38.2,0,0
C103,C107,PKG000086,ground,1.88,566.9,22.05,34.3,1,0
C012,C006,PKG000087,ground,0.97,248.9,21.09,28.5,1,0
C092,C007,PKG000088,ground,1.21,3767.7,67.99,92.5,1,0
C065,C069,PKG000089,ground,2.41,305.9,18.38,29.6,1,0
C012,C036,PKG000090,two_day,0.39,1047.8,27.8,48.0,1,0
C060,C011,PKG000091,ground,1.09,1093.8,47.04,43.9,0,0
C070,C076,PKG000092,ground,0.22,464.2,30.35,32.4,1,0
C002,C005,PKG000093,ground,3.6,424.6,17.1,31.7,1,0
C046,C058,PKG000094,two_day,1.05,303.1,30.33,48.0,1,0
C089,C087,PKG000095,overnight,4.18,609.1,13.95,30.0,1,0
C028,C008,PKG000096,ground,3.0,596.6,27.06,34.8,1,0
C046,C040,PKG000097,ground,7.93,1586.4,47.88,52.8,1,0
C044,C068,PKG000098,ground,7.45,962.1,47.16,41.5,0,0
C029,C020,PKG000099,ground,9.29,376.7,19.03,30.8,1,0
C100,C096,PKG000100,ground,2.26,898.3,27.76,40.3,1,0
C083,C091,PKG000101,overnight,1.27,1154.2,18.85,30.0,1,0
C011,C010,PKG000102,overnight,1.15,32.2,11.4,30.0,1,0
C108,C087,PKG000103,ground,4.51,1093.7,37.1,43.9,1,0
C095,C107,PKG000104,ground,3.61,79.4,24.97,25.4,1,0
C027,C012,PKG000105,ground,5.95,494.8,30.5,33.0,1,0
C090,C094,PKG000106,ground,5.73,1467.9,50.69,50.7,1,0
C010,C099,PKG000107,ground,2.34,3383.7,77.72,85.5,1,0
C108,C105,PKG000108,two_day,2.17,559.6,27.04,48.0,1,0
C068,C067,PKG000109,ground,2.08,147.7,18.26,26.7,1,0
C066,C004,PKG000110,two_day,3.36,2229.8,27.59,48.0,1,0
C009,C052,PKG000111,ground,2.32,726.9,38.21,37.2,0,0
C098,C107,PKG000112,two_day,4.28,1043.9,28.13,48.0,1,0
C003,C004,PKG000113,two_day,2.33,418.1,26.25,48.0,1,0
C023,C013,PKG000114,ground,4.35,585.3,27.54,34.6,1,0
C014,C021,PKG000115,ground,5.73,331.5,28.2,30.0,1,0
C082,C079,PKG000116,two_day,1.35,635.0,17.32,48.0,1,0
C019,C024,PKG000117,ground,2.18,416.1,28.76,31.6,1,0
C099,C091,PKG000118,ground,1.62,1649.4,42.24,54.0,1,0
C067,C036,PKG000119,ground,3.0,1324.4,53.46,48.1,0,0
C004,C007,PKG000120,ground,0.94,164.1,19.43,27.0,1,0
C001,C013,PKG000121,two_day,0.59,234.2,20.66,48.0,1,0
C005,C020,PKG000122,ground,1.42,296.6,24.66,29.4,1,0
C061,C025,PKG000123,ground,2.65,1551.0,39.19,52.2,1,0
C085,C102,PKG000124,ground,1.38,1603.5,54.79,53.2,0,0
C022,C051,PKG000125,two_day,1.36,287.1,30.0,48.0,1,0
C092,C095,PKG000126,two_day,0.6,594.6,24.82,48.0,1,0
C006,C004,PKG000127,ground,4.3,61.7,17.56,25.1,1,0
C085,C093,PKG000128,ground,2.02,576.0,59.28,34.5,0,0
C101,C099,PKG000129,ground,23.55,319.9,26.39,29.8,1,0
C082,C045,PKG000130,ground,0.62,2046.2,55.22,61.2,1,0
C072,C081,PKG000131,ground,2.37,1244.9,49.36,46.6,0,0
C090,C094,PKG000132,ground,5.68,1467.9,36.05,50.7,1,0
C004,C002,PKG000133,ground,1.46,398.0,20.79,31.2,1,0
C019,C051,PKG000134,two_day,2.57,656.2,24.64,48.0,1,0
C012,C004,PKG000135,ground,1.16,234.5,10.14,28.3,1,0
C051,C048,PKG000136,two_day,1.3,187.7,32.86,48.0,1,0
C078,C051,PKG000137,ground,0.72,1378.7,45.69,49.1,1,0
C064,C018,PKG000138,ground,3.97,2311.9,53.05,66.0,1,0
C092,C103,PKG000139,ground,0.53,209.2,29.01,27.8,0,0
C015,C011,PKG000140,two_day,1.41,583.9,29.29,48.0,1,0
C077,C072,PKG000141,two_day,2.34,512.9,16.0,48.0,1,0
C018,C030,PKG000142,ground,0.93,547.3,8.66,34.0,1,0
C025,C020,PKG000143,two_day,1.43,198.0,17.96,48.0,1,0
C073,C077,PKG000144,ground,1.43,846.2,28.29,39.4,1,0
C107,C082,PKG000145,ground,1.26,845.6,41.51,39.4,0,0
C062,C046,PKG000146,ground,1.34,729.5,31.51,37.3,1,0
C005,C018,PKG000147,ground,2.5,306.4,29.28,29.6,1,0
C063,C012,PKG000148,ground,2.25,1354.9,48.01,48.6,1,0
C004,C040,PKG000149,overnight,0.5,1904.0,16.96,30.0,1,0
C096,C105,PKG000150,ground,1.06,597.5,28.2,34.9,1,0
C073,C042,PKG000151,ground,3.44,1102.1,41.31,44.0,1,0
C016,C006,PKG000152,ground,0.83,325.1,30.9,29.9,0,0
C009,C008,PKG000153,ground,0.49,83.9,13.66,25.5,1,0
C017,C023,PKG000154,ground,5.19,507.6,20.33,33.2,1,0
C107,C091,PKG000155,overnight,4.51,594.0,20.03,30.0,1,0
C046,C104,PKG000156,two_day,0.67,2475.1,47.37,48.0,1,0
C083,C054,PKG000157,ground,2.62,2301.0,57.88,65.8,1,0
C065,C055,PKG000158,two_day,0.24,1704.7,49.12,48.0,0,0
C059,C025,PKG000159,ground,2.17,1144.0,44.53,44.8,1,0
C014,C011,PKG000160,ground,1.95,516.5,31.7,33.4,1,0
C102,C101,PKG000161,ground,1.88,69.9,8.66,25.3,1,0
C029,C006,PKG000162,ground,1.54,595.9,28.71,34.8,1,0
C060,C049,PKG000163,ground,2.45,551.6,22.24,34.0,1,0
