node_id,kind,tier,region,subtype,capacity,lead_time_days,label
M001,material,4,Japan,titanium,2383,104,Titanium Co 001
M002,material,4,Europe,aluminium,2611,107,Aluminium Co 002
M003,material,4,Brazil,cfrp_composite,3220,81,Cfrp Composite Co 003
M004,material,4,Japan,fastener,1355,78,Fastener Co 004
M005,material,4,USA,nickel_superalloy,3934,175,Nickel Superalloy Co 005
M006,material,4,China,avionics_ic,1015,59,Avionics Ic Co 006
M007,material,4,Japan,steel_forging,331,67,Steel Forging Co 007
M008,material,4,Brazil,sealant,1088,101,Sealant Co 008
M009,material,4,USA,titanium,3687,106,Titanium Co 009
M010,material,4,Europe,aluminium,1315,79,Aluminium Co 010
M011,material,4,Europe,cfrp_composite,2119,105,Cfrp Composite Co 011
M012,material,4,Japan,fastener,3178,82,Fastener Co 012
M013,material,4,Canada,nickel_superalloy,1788,74,Nickel Superalloy Co 013
M014,material,4,Brazil,avionics_ic,3293,81,Avionics Ic Co 014
M015,material,4,Europe,steel_forging,603,61,Steel Forging Co 015
M016,material,4,USA,sealant,542,101,Sealant Co 016
M017,material,4,USA,titanium,2924,90,Titanium Co 017
M018,material,4,USA,aluminium,812,101,Aluminium Co 018
M019,material,4,Brazil,cfrp_composite,2089,105,Cfrp Composite Co 019
M020,material,4,Canada,fastener,2846,87,Fastener Co 020
M021,material,4,Japan,nickel_superalloy,1107,88,Nickel Superalloy Co 021
M022,material,4,Europe,avionics_ic,1345,49,Avionics Ic Co 022
M023,material,4,China,steel_forging,3846,58,Steel Forging Co 023
M024,material,4,China,sealant,533,66,Sealant Co 024
M025,material,4,Japan,titanium,1591,68,Titanium Co 025
M026,material,4,USA,aluminium,3652,80,Aluminium Co 026
M027,material,4,Europe,cfrp_composite,3104,81,Cfrp Composite Co 027
M028,material,4,USA,fastener,3882,107,Fastener Co 028
M029,material,4,USA,nickel_superalloy,3198,85,Nickel Superalloy Co 029
M030,material,4,Japan,avionics_ic,1907,67,Avionics Ic Co 030
M031,material,4,Japan,steel_forging,1898,110,Steel Forging Co 031
M032,material,4,China,sealant,3629,48,Sealant Co 032
M033,material,4,Europe,titanium,2942,95,Titanium Co 033
M034,material,4,Europe,aluminium,1362,75,Aluminium Co 034
M035,material,4,China,cfrp_composite,1960,91,Cfrp Composite Co 035
M036,material,4,USA,fastener,3455,77,Fastener Co 036
M037,material,4,USA,nickel_superalloy,2720,90,Nickel Superalloy Co 037
M038,material,4,China,avionics_ic,1841,128,Avionics Ic Co 038
M039,material,4,USA,steel_forging,559,65,Steel Forging Co 039
M040,material,4,Canada,sealant,2669,94,Sealant Co 040
M041,material,4,Europe,titanium,3190,122,Titanium Co 041
M042,material,4,Brazil,aluminium,358,110,Aluminium Co 042
M043,material,4,Japan,cfrp_composite,2710,125,Cfrp Composite Co 043
M044,material,4,USA,fastener,749,61,Fastener Co 044
M045,material,4,China,nickel_superalloy,3215,67,Nickel Superalloy Co 045
M046,material,4,China,avionics_ic,848,80,Avionics Ic Co 046
M047,material,4,Europe,steel_forging,1898,105,Steel Forging Co 047
M048,material,4,USA,sealant,1518,84,Sealant Co 048
M049,material,4,China,titanium,775,65,Titanium Co 049
M050,material,4,USA,aluminium,3842,97,Aluminium Co 050
M051,material,4,USA,cfrp_composite,446,137,Cfrp Composite Co 051
M052,material,4,USA,fastener,514,159,Fastener Co 052
M053,material,4,Brazil,nickel_superalloy,1876,66,Nickel Superalloy Co 053
M054,material,4,Canada,avionics_ic,3763,38,Avionics Ic Co 054
M055,material,4,Japan,steel_forging,3268,70,Steel Forging Co 055
M056,material,4,Brazil,sealant,1214,80,Sealant Co 056
M057,material,4,Europe,titanium,3429,86,Titanium Co 057
M058,material,4,Europe,aluminium,1867,115,Aluminium Co 058
M059,material,4,Brazil,cfrp_composite,237,86,Cfrp Composite Co 059
M060,material,4,USA,fastener,3605,65,Fastener Co 060
M061,material,4,USA,nickel_superalloy,1399,78,Nickel Superalloy Co 061
M062,material,4,Europe,avionics_ic,612,88,Avionics Ic Co 062
M063,material,4,Canada,steel_forging,2975,93,Steel Forging Co 063
M064,material,4,Japan,sealant,2962,113,Sealant Co 064
C001,component,3,China,turbine_blade,260,131,Turbine Blade Unit 001
C002,component,3,USA,fadec,418,252,Fadec Unit 002
C003,component,3,USA,skin_panel,159,180,Skin Panel Unit 003
C004,component,3,Europe,ducting,40,150,Ducting Unit 004
C005,component,3,Europe,bearing,135,128,Bearing Unit 005
C006,component,3,Brazil,wiring_harness,225,97,Wiring Harness Unit 006
C007,component,3,Brazil,fadec,114,172,Fadec Unit 007
C008,component,3,USA,actuator,392,147,Actuator Unit 008
C009,component,3,China,ducting,239,101,Ducting Unit 009
C010,component,3,USA,bearing,194,130,Bearing Unit 010
C011,component,3,Europe,turbine_blade,356,111,Turbine Blade Unit 011
C012,component,3,USA,fadec,298,138,Fadec Unit 012
C013,component,3,China,skin_panel,48,147,Skin Panel Unit 013
C014,component,3,USA,avionics_lru,288,65,Avionics Lru Unit 014
C015,component,3,USA,bearing,169,132,Bearing Unit 015
C016,component,3,Europe,turbine_blade,268,141,Turbine Blade Unit 016
C017,component,3,China,fadec,266,72,Fadec Unit 017
C018,component,3,China,skin_panel,128,113,Skin Panel Unit 018
C019,component,3,Europe,avionics_lru,410,85,Avionics Lru Unit 019
