from_id,to_id,block,number_of_flights,seats,delay_min
AAA,AGC,morning,5,795,9.1
AAA,AGC,midday,5,910,8.6
AAA,AGC,afternoon,8,1456,13.2
AAA,AGC,evening,4,408,8.8
AAB,AAJ,morning,6,834,12.8
AAB,AAJ,midday,6,1032,16.4
AAB,AAJ,afternoon,7,1022,58.3
AAB,AAJ,evening,8,1024,6.9
AAB,AAO,morning,5,570,15.7
AAB,AAO,midday,7,1330,14.5
AAB,AAO,afternoon,6,564,47.5
AAB,AAO,evening,6,666,9.0
AAB,AAQ,morning,4,388,15.6
AAB,AAQ,midday,6,678,14.5
AAB,AAQ,afternoon,8,1552,52.8
AAB,AAQ,evening,8,768,18.0
AAB,AAT,morning,6,1188,16.4
AAB,AAT,midday,6,828,16.3
AAB,AAT,afternoon,6,516,71.2
AAB,AAT,evening,5,625,10.4
AAB,ABA,morning,5,670,7.2
AAB,ABA,midday,6,864,12.5
AAB,ABA,afternoon,6,528,65.9
AAB,ABA,evening,7,1316,12.9
AAB,ABI,morning,5,385,6.5
AAB,ABI,midday,6,882,21.6
AAB,ABI,afternoon,6,762,55.5
AAB,ABI,evening,4,504,8.6
AAB,ABK,morning,7,686,13.7
AAB,ABK,midday,11,1540,11.4
AAB,ABK,afternoon,11,1375,59.5
AAB,ABK,evening,8,1248,15.0
AAB,ABL,morning,8,656,4.5
AAB,ABL,midday,5,520,12.6
AAB,ABL,afternoon,8,928,68.9
AAB,ABL,evening,6,468,13.0
AAB,ABO,morning,5,670,10.1
AAB,ABO,midday,5,995,11.1
AAB,ABO,afternoon,7,644,57.3
AAB,ABO,evening,5,770,13.1
AAB,ACE,morning,6,612,11.8
AAB,ACE,midday,5,985,14.3
AAB,ACE,afternoon,6,570,50.8
AAB,ACE,evening,7,882,18.2
AAB,ACF,morning,6,924,12.4
AAB,ACF,midday,6,558,14.4
AAB,ACF,afternoon,7,812,50.8
AAB,ACF,evening,5,880,19.5
AAB,ACJ,morning,5,900,19.0
AAB,ACJ,midday,4,640,16.5
AAB,ACJ,afternoon,6,522,59.1
AAB,ACJ,evening,6,684,15.8
AAB,ACK,morning,6,624,10.7
AAB,ACK,midday,5,465,7.8
AAB,ACK,afternoon,6,846,60.1
AAB,ACK,evening,8,880,15.4
AAB,ACM,morning,5,965,13.1
AAB,ACM,midday,5,835,11.9
AAB,ACM,afternoon,6,546,63.3
AAB,ACM,evening,7,1155,19.4
AAB,ACN,morning,5,800,17.4
AAB,ACN,midday,6,888,0.9
AAB,ACN,afternoon,8,992,57.8
AAB,ACN,evening,6,756,11.9
AAB,ACO,morning,5,720,4.1
AAB,ACO,midday,5,540,13.8
AAB,ACO,afternoon,6,984,61.1
AAB,ACO,evening,5,360,8.3
AAB,ACR,morning,6,900,12.4
AAB,ACR,midday,7,1008,8.7
AAB,ACR,afternoon,6,1068,59.8
AAB,ACR,evening,7,623,19.4
AAB,ADA,morning,7,1050,9.4
AAB,ADA,midday,6,762,15.3
AAB,ADA,afternoon,8,1136,53.4
AAB,ADA,evening,7,532,21.6
AAB,ADJ,morning,6,984,14.3
AAB,ADJ,midday,8,1480,13.5
AAB,ADJ,afternoon,7,1190,63.2
AAB,ADJ,evening,7,812,5.5
AAB,ADL,morning,5,910,15.4
AAB,ADL,midday,5,735,12.4
AAB,ADL,afternoon,7,1295,59.4
AAB,ADL,evening,6,1044,12.0
AAB,ADO,morning,5,660,10.0
AAB,ADO,midday,8,608,15.5
AAB,ADO,afternoon,7,875,57.7
AAB,ADO,evening,6,480,15.7
AAB,ADR,morning,4,724,11.8
AAB,ADR,midday,6,1038,14.0
AAB,ADR,afternoon,7,518,57.7
AAB,ADR,evening,6,492,22.6
AAB,ADY,morning,9,1431,6.4
AAB,ADY,midday,10,1630,18.9
AAB,ADY,afternoon,10,1450,63.8
AAB,ADY,evening,11,1089,8.7
AAB,AEC,morning,6,576,21.6
AAB,AEC,midday,5,455,16.6
AAB,AEC,afternoon,5,765,58.1
AAB,AEC,evening,6,918,13.0
AAB,AEG,morning,4,516,10.0
AAB,AEG,midday,3,486,11.2
AAB,AEG,afternoon,6,1032,60.9
AAB,AEG,evening,7,1106,18.9
AAB,AEJ,morning,6,1116,12.8
AAB,AEJ,midday,5,665,6.6
AAB,AEJ,afternoon,8,1512,69.2
AAB,AEJ,evening,6,1158,15.7
AAB,AEO,morning,6,804,12.1
AAB,AEO,midday,7,1309,17.0
AAB,AEO,afternoon,7,742,58.9
AAB,AEO,evening,6,1116,8.2
AAB,AEP,morning,5,415,9.8
AAB,AEP,midday,4,292,8.2
AAB,AEP,afternoon,7,1169,56.2
AAB,AEP,evening,7,1162,11.8
AAB,AEQ,morning,5,480,9.4
AAB,AEQ,midday,7,994,2.4
AAB,AEQ,afternoon,6,858,47.8
AAB,AEQ,evening,7,721,16.1
AAB,AEV,morning,6,948,9.3
AAB,AEV,midday,7,1239,13.8
AAB,AEV,afternoon,6,588,59.4
AAB,AEV,evening,6,738,19.4
AAB,AEZ,morning,7,721,10.6
AAB,AEZ,midday,10,1610,14.2
AAB,AEZ,afternoon,11,858,67.3
AAB,AEZ,evening,13,1976,19.6
AAB,AFC,morning,7,1197,8.1
AAB,AFC,midday,6,744,13.4
AAB,AFC,afternoon,5,520,54.6
AAB,AFC,evening,8,840,15.7
AAB,AFE,morning,5,570,10.8
AAB,AFE,midday,6,942,13.2
AAB,AFE,afternoon,7,553,61.5
AAB,AFE,evening,5,725,13.5
AAB,AFH,morning,5,970,21.7
AAB,AFH,midday,5,805,11.6
AAB,AFH,afternoon,7,952,62.8
AAB,AFH,evening,7,945,14.7
AAB,AFK,morning,5,995,14.8
AAB,AFK,midday,5,920,9.1
AAB,AFK,afternoon,7,525,56.2
AAB,AFK,evening,6,1170,16.8
AAB,AFL,morning,4,280,19.6
AAB,AFL,midday,6,1146,13.5
AAB,AFL,afternoon,7,630,51.0
AAB,AFL,evening,8,760,9.2
AAB,AFN,morning,6,480,4.9
AAB,AFN,midday,7,861,4.4
AAB,AFN,afternoon,5,610,59.9
AAB,AFN,evening,7,1232,16.4
AAB,AFO,morning,11,1441,15.2
AAB,AFO,midday,13,1248,3.4
AAB,AFO,afternoon,15,1290,59.5
AAB,AFO,evening,12,876,12.5
