node_id,kind,label,x,y,region,median_income,population,prime_rate,capacity_pkgs
H01,hub,Cascadia FC A,69.18,45.72,North,,,,50264
H02,hub,Cascadia FC B,75.1,63.82,South,,,,42562
H03,hub,Cascadia FC C,21.59,83.29,East,,,,56794
H04,hub,Cascadia FC D,68.28,70.02,West,,,,49007
S01,station,DS-01,38.37,88.41,West,,,,2237
S02,station,DS-02,62.95,79.05,West,,,,2339
S03,station,DS-03,44.91,25.45,South,,,,2445
S04,station,DS-04,54.91,10.74,North,,,,2314
S05,station,DS-05,79.49,61.85,East,,,,2639
S06,station,DS-06,73.23,36.91,South,,,,2868
S07,station,DS-07,92.36,85.38,West,,,,2854
S08,station,DS-08,75.05,22.52,North,,,,2671
S09,station,DS-09,47.0,8.94,North,,,,3055
S10,station,DS-10,18.89,66.47,East,,,,2765
S11,station,DS-11,72.03,92.08,West,,,,2279
S12,station,DS-12,34.32,38.34,South,,,,2964
S13,station,DS-13,47.26,22.05,North,,,,2774
S14,station,DS-14,16.69,47.81,South,,,,2834
S15,station,DS-15,25.42,65.28,East,,,,2765
S16,station,DS-16,44.34,79.94,West,,,,2753
S17,station,DS-17,68.02,33.11,South,,,,2290
S18,station,DS-18,79.9,77.43,West,,,,2759
S19,station,DS-19,39.87,30.95,South,,,,2994
S20,station,DS-20,66.42,17.58,North,,,,2503
S21,station,DS-21,22.99,5.66,North,,,,2802
S22,station,DS-22,75.82,64.84,East,,,,2230
S23,station,DS-23,68.46,75.27,West,,,,2547
S24,station,DS-24,46.3,56.19,East,,,,2636
Z001,zone,Zone 001,21.46,40.85,South,79554,7665,0.39,
Z002,zone,Zone 002,85.34,23.39,North,59066,4179,0.426,
Z003,zone,Zone 003,5.83,28.14,South,97585,1799,0.592,
Z004,zone,Zone 004,29.36,66.19,East,89065,7056,0.51,
Z005,zone,Zone 005,55.7,78.39,West,97612,1144,0.49,
Z006,zone,Zone 006,66.43,40.64,South,63681,7156,0.32,
Z007,zone,Zone 007,81.4,16.7,North,52969,1249,0.291,
Z008,zone,Zone 008,2.27,9.0,North,93941,2575,0.564,
Z009,zone,Zone 009,72.24,46.19,South,60717,5787,0.299,
Z010,zone,Zone 010,16.13,50.1,East,100885,8526,0.59,
Z011,zone,Zone 011,15.23,69.63,East,98168,4208,0.459,
Z012,zone,Zone 012,44.62,38.1,South,74526,1877,0.418,
Z013,zone,Zone 013,30.15,63.03,East,105494,2786,0.589,
Z014,zone,Zone 014,36.18,8.76,North,64450,8158,0.555,
Z015,zone,Zone 015,11.8,96.19,West,91006,6786,0.415,
Z016,zone,Zone 016,90.86,69.97,East,78243,1713,0.553,
Z017,zone,Zone 017,26.59,96.92,West,128194,4017,0.702,
Z018,zone,Zone 018,77.88,71.69,East,67364,3042,0.427,
Z019,zone,Zone 019,44.94,27.22,South,57369,2340,0.358,
Z020,zone,Zone 020,9.64,90.26,West,109271,7756,0.631,
Z021,zone,Zone 021,45.58,20.24,North,69795,5903,0.399,
Z022,zone,Zone 022,30.6,57.92,East,89758,2353,0.608,
Z023,zone,Zone 023,17.68,85.66,West,96486,6170,0.506,
Z024,zone,Zone 024,75.85,71.95,East,77357,4249,0.525,
Z025,zone,Zone 025,43.21,62.73,East,91071,1397,0.467,
Z026,zone,Zone 026,58.41,64.98,East,65673,4543,0.385,
Z027,zone,Zone 027,8.44,41.58,South,104376,2400,0.501,
Z028,zone,Zone 028,4.16,49.4,South,121130,2886,0.689,
Z029,zone,Zone 029,32.99,14.45,North,78731,8019,0.554,
Z030,zone,Zone 030,10.34,58.76,East,99216,6652,0.546,
Z031,zone,Zone 031,17.06,92.51,West,107605,1986,0.578,
Z032,zone,Zone 032,58.11,34.69,South,75728,7795,0.36,
Z033,zone,Zone 033,59.09,2.28,North,44380,5551,0.271,
Z034,zone,Zone 034,95.86,48.23,South,56104,7984,0.232,
Z035,zone,Zone 035,78.27,8.27,North,48265,6951,0.242,
Z036,zone,Zone 036,48.67,49.07,South,96045,3648,0.552,
Z037,zone,Zone 037,93.78,57.17,East,56817,5232,0.439,
Z038,zone,Zone 038,47.35,26.7,South,88399,5199,0.696,
Z039,zone,Zone 039,33.16,52.07,East,78445,6731,0.41,
Z040,zone,Zone 040,43.89,2.16,North,73110,2912,0.526,
Z041,zone,Zone 041,82.63,89.62,West,76792,3598,0.46,
Z042,zone,Zone 042,14.02,55.4,East,91507,2882,0.504,
Z043,zone,Zone 043,10.86,67.22,East,106118,3298,0.615,
Z044,zone,Zone 044,28.12,65.94,East,106071,2206,0.589,
Z045,zone,Zone 045,72.7,76.86,West,72342,1196,0.429,
Z046,zone,Zone 046,10.77,91.6,West,96650,8514,0.51,
Z047,zone,Zone 047,23.02,3.74,North,78993,1501,0.356,
Z048,zone,Zone 048,55.49,37.09,South,64154,8092,0.274,
Z049,zone,Zone 049,82.98,80.83,West,68017,924,0.447,
Z050,zone,Zone 050,31.71,95.29,West,101361,7196,0.542,
Z051,zone,Zone 051,29.09,51.51,East,74973,3560,0.393,
Z052,zone,Zone 052,25.6,93.6,West,90230,5093,0.509,
Z053,zone,Zone 053,16.46,4.49,North,87126,3185,0.549,
Z054,zone,Zone 054,43.51,99.24,West,92442,4873,0.531,
Z055,zone,Zone 055,89.17,74.86,East,43008,4557,0.234,
Z056,zone,Zone 056,89.08,89.34,West,77546,5190,0.533,
Z057,zone,Zone 057,51.89,31.59,South,74949,4085,0.545,
Z058,zone,Zone 058,77.2,66.17,East,63280,5246,0.413,
Z059,zone,Zone 059,37.37,9.45,North,61552,7586,0.438,
Z060,zone,Zone 060,74.68,26.25,South,66563,4419,0.481,
Z061,zone,Zone 061,93.68,24.1,North,51659,3827,0.401,
Z062,zone,Zone 062,12.28,83.11,West,129993,1967,0.743,
Z063,zone,Zone 063,15.33,17.93,North,91189,3813,0.555,
Z064,zone,Zone 064,59.94,87.46,West,88558,1917,0.536,
Z065,zone,Zone 065,19.64,31.03,South,87593,2378,0.419,
Z066,zone,Zone 066,77.74,97.18,West,86081,8613,0.537,
Z067,zone,Zone 067,50.07,14.39,North,73904,1624,0.334,
Z068,zone,Zone 068,1.39,22.97,North,107431,4804,0.535,
Z069,zone,Zone 069,13.18,67.77,East,98783,7657,0.641,
Z070,zone,Zone 070,12.18,50.63,East,94936,8620,0.59,
Z071,zone,Zone 071,69.43,58.11,East,67020,2088,0.5,
Z072,zone,Zone 072,19.98,80.41,West,110853,2224,0.589,
Z073,zone,Zone 073,71.54,73.9,East,88454,3918,0.419,
Z074,zone,Zone 074,13.11,12.38,North,82768,5390,0.455,
Z075,zone,Zone 075,92.76,39.76,South,49871,8674,0.32,
Z076,zone,Zone 076,30.09,48.86,South,91835,2582,0.521,
Z077,zone,Zone 077,66.29,95.56,West,81988,2231,0.548,
Z078,zone,Zone 078,28.64,92.48,West,111418,2950,0.585,
Z079,zone,Zone 079,2.49,55.52,East,85097,7981,0.508,
