from_id,to_id,period,exposure
F001,F208,before,4.34
F001,F062,before,4.81
F001,F043,before,4.23
F001,F079,before,2.3
F001,F063,before,3.73
F002,F090,before,3.08
F002,F200,before,0.96
F003,F181,before,3.07
F004,F151,before,6.87
F004,F208,before,5.84
F004,F062,before,2.83
F004,F043,before,5.3
F004,F079,before,3.9
F004,F036,before,10.51
F004,F027,before,1.62
F005,F151,before,12.31
F005,F208,before,0.81
F005,F062,before,19.92
F005,F043,before,6.42
F005,F079,before,9.72
F005,F200,before,12.13
F007,F108,before,1.77
F008,F057,before,4.52
F008,F130,before,3.57
F008,F187,before,2.34
F008,F166,before,10.45
F008,F041,before,3.36
F009,F200,before,127.39
F009,F156,before,51.89
F009,F010,before,10.76
F009,F107,before,49.8
F009,F217,before,112.92
F009,F212,before,113.97
F009,F038,before,81.48
F009,F070,before,89.17
F009,F093,before,90.44
F009,F104,before,20.44
F009,F075,before,40.98
F009,F171,before,85.86
F009,F068,before,117.1
F010,F015,before,57.49
F010,F217,before,34.99
F010,F063,before,28.56
F010,F027,before,9.51
F010,F138,before,11.83
F010,F136,before,20.36
F010,F093,before,26.02
F010,F171,before,14.79
F011,F151,before,2.58
F011,F208,before,1.38
F011,F062,before,8.02
F011,F043,before,10.32
F011,F079,before,17.39
F011,F134,before,10.51
F012,F151,before,2.84
F012,F208,before,2.28
F012,F062,before,9.16
F012,F009,before,0.57
F012,F063,before,12.84
F013,F009,before,3.19
F014,F101,before,3.51
F014,F010,before,4.96
F014,F063,before,10.82
F015,F108,before,5.89
F015,F036,before,16.12
F015,F127,before,4.43
F015,F062,before,25.13
F016,F083,before,21.55
F016,F021,before,46.65
F016,F161,before,1.39
F016,F008,before,19.73
F016,F085,before,29.17
F016,F164,before,1.49
F016,F210,before,9.32
F016,F196,before,1.61
F016,F119,before,0.76
F017,F108,before,2.01
F018,F195,before,3.76
F019,F151,before,2.64
F019,F208,before,5.24
F019,F062,before,2.44
F019,F043,before,1.01
F019,F079,before,3.64
F019,F145,before,10.15
F020,F063,before,3.01
F021,F072,before,2.21
F022,F184,before,6.68
F023,F151,before,7.17
F023,F208,before,2.78
F023,F043,before,8.76
F023,F177,before,0.59
F024,F062,before,4.79
F024,F043,before,12.62
F024,F200,before,11.07
F024,F063,before,9.07
F025,F010,before,1.37
F025,F190,before,3.29
F026,F209,before,7.41
F027,F108,before,36.15
F027,F151,before,61.35
