node_id,type,assets,leverage,region,label
F001,hedge_fund,6.71,10.07,LatAm,Hedge Fund 001
F002,bank,10.61,10.28,LatAm,Bank 002
F003,insurer,9.01,5.62,Europe,Insurer 003
F004,hedge_fund,9.6,15.97,Europe,Hedge Fund 004
F005,bank,23.26,10.09,Europe,Bank 005
F006,insurer,4.15,8.64,LatAm,Insurer 006
F007,hedge_fund,8.37,11.94,LatAm,Hedge Fund 007
F008,hedge_fund,9.48,5.14,LatAm,Hedge Fund 008
F009,bank,191.24,12.2,LatAm,Bank 009
F010,bank,107.44,8.01,Asia,Bank 010
F011,bank,9.21,12.34,Asia,Bank 011
F012,insurer,8.51,6.77,LatAm,Insurer 012
F013,hedge_fund,2.07,13.21,Europe,Hedge Fund 013
F014,insurer,6.48,6.7,Europe,Insurer 014
F015,bank,26.36,14.85,LatAm,Bank 015
F016,bank,58.74,15.23,Europe,Bank 016
F017,hedge_fund,4.0,14.42,NorthAm,Hedge Fund 017
F018,bank,11.01,9.48,Asia,Bank 018
F019,insurer,1.6,8.15,Europe,Insurer 019
F020,hedge_fund,6.67,8.93,LatAm,Hedge Fund 020
F021,hedge_fund,2.97,16.0,LatAm,Hedge Fund 021
F022,bank,12.32,8.92,Europe,Bank 022
F023,insurer,5.01,6.63,Asia,Insurer 023
F024,insurer,10.13,4.33,LatAm,Insurer 024
F025,hedge_fund,1.59,4.46,Asia,Hedge Fund 025
F026,bank,5.3,2.78,NorthAm,Bank 026
F027,bank,134.84,5.65,Asia,Bank 027
F028,bank,6.23,7.62,Asia,Bank 028
F029,ccp,9.86,2.71,Asia,CCP 029
F030,hedge_fund,40.31,25.62,NorthAm,Hedge Fund 030
F031,hedge_fund,105.41,20.64,Europe,Hedge Fund 031
F032,insurer,3.84,4.08,LatAm,Insurer 032
F033,bank,14.24,10.04,NorthAm,Bank 033
F034,bank,26.98,7.78,Europe,Bank 034
F035,bank,94.03,8.15,Europe,Bank 035
F036,bank,8.16,9.56,NorthAm,Bank 036
F037,bank,15.91,10.86,NorthAm,Bank 037
F038,bank,39.94,7.98,Europe,Bank 038
F039,bank,29.34,12.19,LatAm,Bank 039
F040,hedge_fund,5.5,7.15,NorthAm,Hedge Fund 040
F041,bank,17.59,9.02,Europe,Bank 041
F042,insurer,3.2,11.2,NorthAm,Insurer 042
F043,hedge_fund,6.23,15.34,Asia,Hedge Fund 043
F044,bank,15.61,13.3,Europe,Bank 044
F045,insurer,13.58,6.18,LatAm,Insurer 045
F046,hedge_fund,4.68,17.48,Asia,Hedge Fund 046
F047,bank,30.33,8.83,LatAm,Bank 047
F048,bank,49.36,8.49,Asia,Bank 048
F049,hedge_fund,8.87,9.32,Europe,Hedge Fund 049
F050,bank,27.23,10.29,LatAm,Bank 050
F051,bank,20.81,6.45,Europe,Bank 051
F052,bank,19.84,11.0,LatAm,Bank 052
F053,hedge_fund,4.03,20.51,LatAm,Hedge Fund 053
F054,hedge_fund,10.26,16.2,Asia,Hedge Fund 054
F055,hedge_fund,7.07,12.28,Asia,Hedge Fund 055
F056,hedge_fund,50.76,16.72,Europe,Hedge Fund 056
F057,bank,81.76,8.07,LatAm,Bank 057
F058,hedge_fund,10.92,19.61,Asia,Hedge Fund 058
F059,bank,9.98,3.51,LatAm,Bank 059
F060,bank,7.29,7.99,Europe,Bank 060
F061,hedge_fund,22.54,3.0,LatAm,Hedge Fund 061
F062,bank,25.13,4.51,Europe,Bank 062
F063,hedge_fund,11.89,38.0,NorthAm,Hedge Fund 063
F064,hedge_fund,1.61,19.37,NorthAm,Hedge Fund 064
F065,hedge_fund,17.78,9.68,Asia,Hedge Fund 065
F066,ccp,39.82,1.5,Europe,CCP 066
F067,hedge_fund,2.84,3.0,NorthAm,Hedge Fund 067
F068,bank,12.98,7.37,Europe,Bank 068
F069,bank,25.16,16.26,Asia,Bank 069
F070,bank,20.8,10.3,Europe,Bank 070
F071,bank,15.25,7.32,LatAm,Bank 071
F072,bank,18.08,10.4,LatAm,Bank 072
F073,insurer,8.79,2.88,Asia,Insurer 073
F074,bank,22.76,8.11,LatAm,Bank 074
F075,bank,74.6,9.3,Europe,Bank 075
F076,bank,1.97,8.74,NorthAm,Bank 076
F077,bank,16.03,11.37,NorthAm,Bank 077
F078,hedge_fund,9.04,16.07,LatAm,Hedge Fund 078
F079,hedge_fund,10.07,18.01,LatAm,Hedge Fund 079
F080,hedge_fund,5.52,9.87,Asia,Hedge Fund 080
