from_id,to_id,period,amount,acts,aid_type,cross_block
P001,O014,before,55.6,2,shelter,0
P001,P211,before,20.9,1,shelter,0
P002,P041,before,120.8,2,money,0
P002,P149,before,15.8,1,shelter,0
P002,P220,before,23.9,1,food,0
P003,P109,before,12.0,1,info,1
P003,P024,before,36.9,1,money,0
P004,P208,before,22.1,1,money,0
P006,P100,before,3.9,1,info,0
P006,P104,before,16.5,1,food,0
P007,O013,before,13.5,1,info,0
P007,P215,before,24.0,1,shelter,0
P009,P078,before,53.2,1,food,1
P010,P093,before,68.7,1,food,0
P011,P028,before,35.3,1,food,1
P011,P169,before,77.3,1,info,0
P011,P200,before,25.3,1,food,0
P011,P129,before,62.8,1,shelter,1
P012,O023,before,5.9,1,money,0
P012,P137,before,23.2,1,info,0
P013,P078,before,27.6,1,shelter,0
P014,P179,before,39.1,1,money,0
P015,P051,before,78.9,1,info,1
P015,P119,before,12.7,1,info,0
P015,P216,before,38.6,1,food,1
P016,P204,before,14.7,1,food,0
P016,P051,before,19.1,1,food,0
P016,P127,before,12.3,1,food,1
P016,P163,before,53.5,1,food,0
P018,P098,before,73.7,1,info,0
P018,O018,before,28.7,1,money,1
P018,P069,before,67.7,1,food,0
P018,P193,before,45.9,1,info,0
P019,O022,before,11.5,1,food,1
P020,P122,before,41.7,1,shelter,0
P020,P216,before,32.8,1,money,1
P021,P180,before,24.8,1,info,0
P022,P094,before,16.7,1,food,0
P024,P151,before,14.1,1,food,0
P024,P159,before,26.1,1,money,1
P024,P212,before,49.6,1,food,1
P028,P037,before,90.7,1,info,0
P028,P216,before,131.1,1,food,1
P029,P074,before,20.4,1,money,0
P031,P087,before,51.0,1,money,0
P033,O008,before,45.5,1,info,1
P035,P065,before,39.9,1,food,1
P036,O026,before,19.5,1,info,0
P037,P041,before,55.2,1,money,1
P038,P085,before,22.3,1,shelter,1
P040,P019,before,30.2,1,money,1
P041,P119,before,27.6,1,food,0
P041,P111,before,26.3,1,food,0
P041,P148,before,11.7,1,shelter,0
P044,P166,before,15.2,1,info,0
P045,P053,before,11.3,1,food,0
P045,P025,before,19.2,1,food,0
P046,P024,before,21.7,1,food,0
P046,P086,before,17.5,1,money,1
P046,P082,before,14.1,1,food,1
P048,P169,before,30.0,1,food,0
P048,P017,before,12.0,1,shelter,1
P048,P165,before,16.9,1,shelter,1
P049,P007,before,61.9,1,food,0
P050,P207,before,23.7,1,info,1
P051,P094,before,1.3,1,shelter,1
P051,P086,before,102.0,1,food,1
P054,O021,before,15.2,1,money,0
P054,P019,before,25.7,1,info,1
P054,P144,before,35.2,1,food,0
P055,P159,before,9.8,1,shelter,0
