node_id,ecosystem_area,maintainers,weekly_downloads,months_since_update,label
pkg001,test,3,154618,20.8,test-lib-001
pkg002,data,5,49915,9.9,data-lib-002
pkg003,test,3,8532,1.0,test-lib-003
pkg004,build,3,154733,10.8,build-lib-004
pkg005,web,1,5782,4.9,web-lib-005
pkg006,crypto,4,7846,4.2,crypto-lib-006
pkg007,build,2,25085,7.0,tiny-pad
pkg008,test,3,10705,7.4,test-lib-008
pkg009,web,3,19635,13.7,web-lib-009
pkg010,data,2,146524,1.3,coreutil-v1
pkg011,data,2,126686,10.5,coreutil-v2
pkg012,crypto,4,8559,9.0,crypto-lib-012
pkg013,build,3,316334,11.6,build-lib-013
pkg014,test,4,23719,4.5,test-lib-014
pkg015,crypto,1,85046,57.0,oldcrypto
pkg016,web,2,26542,9.6,web-lib-016
pkg017,data,6,19133,6.1,data-lib-017
pkg018,web,4,4099,0.7,web-lib-018
pkg019,test,4,3154,4.9,test-lib-019
pkg020,build,4,4454,12.0,build-lib-020
pkg021,build,2,2947,17.7,build-lib-021
pkg022,data,2,4384,6.9,data-lib-022
pkg023,crypto,2,73441,19.7,crypto-lib-023
pkg024,test,3,60616,2.9,test-lib-024
pkg025,test,6,557,9.2,test-lib-025
pkg026,web,4,4661,9.4,web-lib-026
pkg027,data,3,87691,10.5,data-lib-027
pkg028,web,2,30886,7.7,web-lib-028
pkg029,web,3,167314,8.8,web-lib-029
pkg030,build,4,6036,2.8,build-lib-030
pkg031,build,5,1467,16.6,build-lib-031
pkg032,crypto,5,1001,13.0,crypto-lib-032
pkg033,web,1,16876,8.6,web-lib-033
pkg034,data,3,10406,13.2,data-lib-034
pkg035,data,5,254237,16.9,data-lib-035
pkg036,web,4,103613,10.4,web-lib-036
pkg037,web,3,14427,25.2,web-lib-037
pkg038,data,7,1328,11.1,data-lib-038
pkg039,web,4,3404,3.3,web-lib-039
pkg040,build,6,13765,8.3,build-lib-040
pkg041,data,3,4105,13.6,data-lib-041
pkg042,test,4,7071,16.9,test-lib-042
pkg043,build,2,8501,7.8,build-lib-043
pkg044,web,4,7959,3.0,web-lib-044
pkg045,test,4,6526,5.7,test-lib-045
pkg046,test,3,9336,1.9,test-lib-046
pkg047,data,2,2981,11.9,data-lib-047
pkg048,web,2,14369,4.8,web-lib-048
pkg049,build,5,50182,3.7,build-lib-049
pkg050,web,5,1570,12.7,web-lib-050
pkg051,web,1,15007,19.4,web-lib-051
pkg052,web,4,56600,3.7,web-lib-052
pkg053,test,4,883,7.8,test-lib-053
pkg054,build,4,602,5.9,build-lib-054
pkg055,build,3,906,17.5,build-lib-055
pkg056,test,5,18676,6.4,test-lib-056
pkg057,data,3,5959,2.8,data-lib-057
pkg058,data,3,8055,6.7,data-lib-058
pkg059,web,7,39578,15.0,web-lib-059
pkg060,web,7,135,5.6,web-lib-060
pkg061,build,3,18321,4.1,build-lib-061
pkg062,data,2,216806,6.2,data-lib-062
pkg063,data,1,933,2.8,data-lib-063
pkg064,test,5,5295,5.9,test-lib-064
pkg065,build,2,2915,4.4,build-lib-065
pkg066,data,6,2324,28.2,data-lib-066
pkg067,data,1,5769,0.9,data-lib-067
pkg068,web,2,55675,3.2,web-lib-068
pkg069,web,4,337147,4.1,web-lib-069
pkg070,data,4,5680,2.9,data-lib-070
pkg071,web,4,204928,9.3,web-lib-071
pkg072,data,4,10293,3.7,data-lib-072
pkg073,test,3,294891,1.7,test-lib-073
pkg074,web,4,15354,7.3,web-lib-074
pkg075,web,3,21985,5.4,web-lib-075
pkg076,web,3,17449,3.8,web-lib-076
pkg077,web,4,1572987,17.2,web-lib-077
pkg078,build,5,37963,9.5,build-lib-078
pkg079,data,3,3135,8.7,data-lib-079
pkg080,test,1,45831,9.7,test-lib-080
pkg081,build,5,5450,9.3,build-lib-081
pkg082,data,7,8142,5.6,data-lib-082
pkg083,test,5,41609,3.7,test-lib-083
pkg084,web,5,10219,7.4,web-lib-084
pkg085,web,3,50615,5.5,web-lib-085
pkg086,web,4,9943,0.9,web-lib-086
pkg087,build,2,16661,2.6,build-lib-087
pkg088,data,3,35185,5.0,data-lib-088
pkg089,web,5,438,12.9,web-lib-089
pkg090,data,2,28249,7.4,data-lib-090
pkg091,web,2,1178,3.1,web-lib-091
pkg092,build,2,967,2.4,build-lib-092
pkg093,data,2,8856,14.9,data-lib-093
pkg094,data,2,11122,5.8,data-lib-094
pkg095,web,6,1870,0.1,web-lib-095
pkg096,build,2,36752,6.1,build-lib-096
pkg097,data,2,1135,11.0,data-lib-097
pkg098,web,3,5070,2.3,web-lib-098
pkg099,web,2,3814,7.0,web-lib-099
pkg100,crypto,2,9025,7.5,crypto-lib-100
pkg101,test,3,8861,2.5,test-lib-101
pkg102,build,10,1130,15.8,build-lib-102
pkg103,web,2,18073,7.6,web-lib-103
