from_id,to_id,capacity_mw,length_km
BUS0092,BUS0098,202,14.04
BUS0023,BUS0092,319,6.17
BUS0036,BUS0092,448,3.53
BUS0083,BUS0098,483,11.58
BUS0023,BUS0045,593,5.26
BUS0036,BUS0129,694,4.97
BUS0017,BUS0045,386,4.24
BUS0017,BUS0059,536,2.15
BUS0119,BUS0129,280,9.37
BUS0050,BUS0059,307,5.45
BUS0027,BUS0129,468,6.66
BUS0034,BUS0083,595,13.63
BUS0058,BUS0119,627,6.35
BUS0027,BUS0055,681,5.49
BUS0027,BUS0080,639,7.06
BUS0032,BUS0055,394,1.98
BUS0050,BUS0079,605,6.72
BUS0038,BUS0080,519,5.27
BUS0009,BUS0080,691,4.48
BUS0057,BUS0079,667,2.52
BUS0079,BUS0111,384,1.48
BUS0009,BUS0088,640,3.16
BUS0060,BUS0111,597,2.2
BUS0032,BUS0062,553,3.76
BUS0056,BUS0088,670,3.51
BUS0008,BUS0088,460,4.95
BUS0031,BUS0057,489,4.34
BUS0008,BUS0127,281,3.78
BUS0024,BUS0031,595,0.45
BUS0024,BUS0102,509,1.33
BUS0061,BUS0102,680,2.74
BUS0061,BUS0114,487,5.24
BUS0042,BUS0114,294,3.51
BUS0093,BUS0122,456,4.51
BUS0061,BUS0086,673,4.05
BUS0034,BUS0104,407,11.34
BUS0026,BUS0049,687,7.12
BUS0086,BUS0096,695,3.77
BUS0008,BUS0016,635,6.81
BUS0013,BUS0016,266,0.53
BUS0035,BUS0096,415,2.62
BUS0016,BUS0020,696,1.34
BUS0101,BUS0103,301,6.2
BUS0042,BUS0112,552,7.37
BUS0006,BUS0013,394,4.5
BUS0006,BUS0046,222,2.46
BUS0006,BUS0022,655,0.99
BUS0101,BUS0110,258,5.09
BUS0004,BUS0112,668,2.69
BUS0021,BUS0035,277,5.06
BUS0046,BUS0130,483,2.89
BUS0021,BUS0073,694,4.39
BUS0066,BUS0110,231,2.18
BUS0004,BUS0081,595,3.6
BUS0021,BUS0091,294,3.41
BUS0004,BUS0116,299,3.28
BUS0051,BUS0063,247,4.7
BUS0001,BUS0112,470,8.27
BUS0001,BUS0047,615,4.46
BUS0073,BUS0076,671,3.61
BUS0081,BUS0105,350,2.9
BUS0041,BUS0105,472,2.08
BUS0025,BUS0103,307,6.97
BUS0002,BUS0051,685,3.96
BUS0015,BUS0076,428,2.37
BUS0010,BUS0066,428,3.57
BUS0015,BUS0070,297,1.46
BUS0070,BUS0071,395,0.58
BUS0025,BUS0087,484,5.37
BUS0041,BUS0094,589,4.68
BUS0010,BUS0128,617,2.5
BUS0118,BUS0128,506,4.85
BUS0043,BUS0071,630,4.43
BUS0043,BUS0048,302,1.49
BUS0025,BUS0120,391,5.98
BUS0065,BUS0118,457,5.84
BUS0109,BUS0120,220,3.5
BUS0097,BUS0118,318,1.54
BUS0065,BUS0069,666,2.84
BUS0019,BUS0097,231,2.88
BUS0069,BUS0082,656,1.95
BUS0012,BUS0029,598,3.63
BUS0029,BUS0053,300,2.42
