node_id,kind,region,label,x,y,capacity_mw,voltage_kv
BUS0001,load,A,Load 0001,16.56,63.25,64,69
BUS0002,load,A,Load 0002,29.41,51.52,235,69
BUS0003,load,A,Load 0003,37.67,63.56,258,345
BUS0004,substation,A,Substation 0004,18.55,59.06,0,69
BUS0005,load,A,Load 0005,27.45,52.97,220,138
BUS0006,load,A,Load 0006,26.3,50.29,252,138
BUS0007,generator,A,Generator 0007,32.54,59.74,237,230
BUS0008,load,A,Load 0008,22.37,46.05,61,69
BUS0009,substation,A,Substation 0009,18.76,45.93,0,230
BUS0010,substation,A,Substation 0010,33.97,47.68,0,345
BUS0011,substation,A,Substation 0011,30.41,64.59,0,69
BUS0012,substation,A,Substation 0012,28.74,58.18,0,230
BUS0013,load,A,Load 0013,24.48,49.83,171,138
BUS0014,substation,A,Substation 0014,44.44,45.48,0,138
BUS0015,load,A,Load 0015,24.32,56.79,198,138
BUS0016,substation,A,Substation 0016,24.16,49.91,0,69
BUS0017,substation,A,Substation 0017,13.97,42.53,0,69
BUS0018,substation,A,Substation 0018,29.57,62.6,0,138
BUS0019,load,A,Load 0019,34.88,51.6,195,345
BUS0020,substation,A,Substation 0020,24.01,50.8,0,230
BUS0021,load,A,Load 0021,22.84,55.14,302,230
BUS0022,substation,A,Substation 0022,26.92,50.34,0,230
BUS0023,substation,A,Substation 0023,12.08,40.45,0,500
BUS0024,load,A,Load 0024,18.04,50.84,82,500
BUS0025,load,A,Load 0025,36.11,44.73,246,69
BUS0026,load,A,Load 0026,37.24,36.0,116,138
BUS0027,load,A,Load 0027,21.46,39.09,45,230
BUS0028,substation,A,Substation 0028,28.24,72.62,0,230
BUS0029,substation,A,Substation 0029,29.97,57.42,0,138
BUS0030,substation,A,Substation 0030,31.93,71.1,0,138
BUS0031,substation,A,Substation 0031,17.81,50.71,0,138
BUS0032,load,A,Load 0032,25.56,38.82,252,138
BUS0033,load,A,Load 0033,37.22,76.96,227,500
BUS0034,load,A,Load 0034,4.55,57.94,177,138
BUS0035,load,A,Load 0035,21.27,53.45,141,345
BUS0036,substation,A,Substation 0036,16.61,36.58,0,230
BUS0037,substation,A,Substation 0037,31.09,74.45,0,230
BUS0038,substation,A,Substation 0038,22.51,41.97,0,69
BUS0039,load,A,Load 0039,51.41,45.96,271,345
BUS0040,substation,A,Substation 0040,38.25,59.23,0,138
BUS0041,substation,A,Substation 0041,20.8,59.91,0,69
BUS0042,substation,A,Substation 0042,13.94,56.9,0,230
BUS0043,load,A,Load 0043,26.69,58.14,171,230
BUS0044,load,A,Load 0044,40.17,59.72,128,230
BUS0045,substation,A,Substation 0045,14.53,39.95,0,69
BUS0046,load,A,Load 0046,26.03,50.78,142,345
BUS0047,substation,A,Substation 0047,18.16,62.08,0,500
BUS0048,load,A,Load 0048,26.2,58.71,207,69
BUS0049,substation,A,Substation 0049,35.08,32.45,0,138
BUS0050,load,A,Load 0050,14.59,45.34,282,230
BUS0051,load,A,Load 0051,28.34,49.67,265,138
