sender_id,receiver_id,period,message_count
E001,E004,after,2
E001,E004,before,1
E001,E004,during,1
E001,E017,during,1
E001,E026,during,1
E001,E027,during,1
E001,E033,after,1
E001,E033,before,1
E001,E055,during,1
E001,E062,before,1
E001,E081,before,1
E001,E083,after,3
E001,E084,before,2
E001,E089,before,1
E001,E099,before,1
E001,E122,before,2
E001,E142,after,1
E001,E146,during,1
E001,E159,after,1
E001,E159,during,1
E001,E163,before,1
E001,E168,during,1
E001,E174,after,1
E001,E174,during,1
E001,E180,during,2
E001,E204,during,1
E001,E208,before,1
E001,E238,during,1
E001,E240,during,1
E002,E003,after,1
E002,E004,after,2
E002,E004,before,1
E002,E004,during,3
E002,E032,during,1
E002,E051,before,1
E002,E058,before,2
E002,E061,during,1
E002,E063,after,1
E002,E068,after,2
E002,E068,before,1
E002,E071,after,1
E002,E071,before,1
E002,E077,after,2
E002,E091,during,1
E002,E096,after,1
E002,E096,during,1
E002,E115,before,1
E002,E150,during,1
E002,E181,during,1
E002,E184,during,1
E002,E187,after,1
E002,E194,after,1
E002,E196,during,1
E002,E205,after,1
E002,E205,before,1
E002,E211,during,1
E002,E213,during,1
E002,E220,during,1
E002,E233,after,1
E002,E233,during,1
E002,E234,after,1
E002,E237,before,1
E002,E237,during,1
E002,E243,before,1
E002,E246,during,1
E003,E004,after,5
E003,E004,during,1
E003,E044,after,1
E003,E058,during,1
E003,E061,before,1
E003,E068,after,2
E003,E068,before,1
E003,E068,during,5
E003,E071,after,1
E003,E073,during,1
E003,E075,before,2
E003,E077,after,2
E003,E096,after,1
E003,E101,during,1
E003,E102,before,1
E003,E107,during,1
E003,E115,during,1
E003,E122,after,1
E003,E129,during,2
E003,E147,during,1
E003,E150,before,2
E003,E179,during,1
E003,E181,after,2
E003,E181,before,1
E003,E187,after,1
E003,E196,after,1
E003,E196,during,1
E003,E200,after,1
E003,E202,before,1
E003,E202,during,2
E003,E204,before,1
E003,E205,after,1
E003,E205,during,4
E003,E211,after,1
E003,E219,after,1
E003,E219,before,1
E003,E222,during,1
E003,E225,after,1
E003,E225,during,2
E003,E233,during,1
E003,E234,after,1
E003,E246,before,1
E004,E001,during,2
E004,E002,after,1
E004,E002,before,2
E004,E002,during,4
E004,E003,before,1
E004,E003,during,2
E004,E006,after,1
E004,E006,before,1
E004,E006,during,1
E004,E008,before,1
E004,E008,during,1
E004,E017,before,1
E004,E017,during,1
E004,E021,after,1
E004,E021,before,1
E004,E023,after,1
E004,E024,during,2
E004,E026,before,1
E004,E026,during,1
E004,E027,after,1
E004,E027,before,2
E004,E027,during,1
E004,E030,after,1
E004,E030,during,3
E004,E031,after,1
E004,E031,before,1
E004,E032,before,1
E004,E033,after,1
E004,E033,before,2
E004,E039,before,5
E004,E039,during,1
E004,E047,before,3
E004,E047,during,3
E004,E051,before,1
E004,E051,during,4
E004,E052,after,2
E004,E052,during,2
E004,E055,before,1
E004,E058,before,2
E004,E058,during,3
E004,E061,before,1
E004,E062,before,2
E004,E062,during,4
E004,E063,after,2
E004,E063,before,1
E004,E064,before,2
E004,E067,before,2
E004,E067,during,3
E004,E068,after,1
E004,E068,before,2
E004,E068,during,4
E004,E071,before,3
E004,E072,before,1
E004,E073,after,1
E004,E073,before,1
E004,E073,during,1
E004,E075,before,1
E004,E075,during,1
E004,E076,before,1
E004,E076,during,2
E004,E077,before,1
E004,E077,during,1
E004,E080,during,2
E004,E081,before,3
E004,E081,during,1
E004,E083,after,2
E004,E083,before,2
E004,E083,during,1
E004,E084,before,1
E004,E086,before,1
E004,E087,after,2
E004,E087,during,1
E004,E089,during,2
E004,E090,after,1
E004,E090,before,1
E004,E091,after,2
E004,E091,before,1
E004,E093,after,3
E004,E093,before,1
E004,E095,before,3
E004,E095,during,2
E004,E096,after,1
E004,E096,during,4
E004,E098,before,1
E004,E098,during,1
E004,E099,before,1
E004,E101,after,1
E004,E101,before,3
E004,E101,during,4
E004,E102,before,2
E004,E102,during,1
E004,E104,before,1
E004,E104,during,4
E004,E107,before,2
E004,E110,before,1
E004,E111,after,1
E004,E111,during,3
E004,E115,after,1
E004,E115,before,1
E004,E115,during,1
E004,E118,before,1
E004,E122,during,1
E004,E124,before,2
E004,E124,during,2
E004,E126,during,1
E004,E129,after,1
E004,E129,before,1
E004,E129,during,3
E004,E132,after,1
E004,E132,before,3
E004,E144,after,1
E004,E144,during,1
E004,E146,after,1
E004,E146,before,1
E004,E146,during,2
E004,E147,after,1
E004,E147,before,1
E004,E147,during,1
E004,E148,before,3
E004,E148,during,1
E004,E149,after,1
E004,E150,during,1
E004,E154,before,1
E004,E154,during,3
E004,E157,after,1
E004,E157,before,2
E004,E157,during,1
E004,E159,before,2
E004,E159,during,2
E004,E163,after,2
E004,E163,before,2
E004,E163,during,3
E004,E168,during,2
E004,E170,after,3
E004,E170,before,2
E004,E170,during,2
E004,E173,after,1
E004,E173,before,1
E004,E173,during,1
E004,E174,after,2
E004,E174,before,1
E004,E174,during,4
E004,E178,before,1
E004,E178,during,1
E004,E181,before,2
E004,E181,during,1
E004,E184,before,4
E004,E184,during,1
E004,E187,before,4
E004,E187,during,3
E004,E190,before,1
E004,E192,after,1
E004,E192,during,1
E004,E194,after,1
E004,E194,before,1
E004,E194,during,3
E004,E195,before,1
E004,E195,during,1
E004,E196,after,2
E004,E196,before,2
E004,E196,during,3
E004,E200,during,1
E004,E202,after,1
E004,E202,before,1
E004,E202,during,2
E004,E204,before,1
E004,E205,after,1
E004,E205,before,1
E004,E205,during,4
E004,E208,during,3
E004,E209,during,3
E004,E211,before,2
E004,E211,during,1
E004,E213,before,2
E004,E213,during,1
E004,E214,before,2
E004,E214,during,4
E004,E218,before,2
E004,E218,during,3
E004,E219,after,1
E004,E219,before,3
E004,E219,during,3
E004,E220,after,3
E004,E220,before,2
E004,E222,before,2
E004,E222,during,3
E004,E225,before,4
E004,E226,before,1
E004,E226,during,1
E004,E227,before,1
E004,E229,before,3
E004,E232,after,1
E004,E232,before,2
E004,E233,during,1
E004,E234,after,1
E004,E237,during,1
E004,E238,after,1
E004,E238,during,1
E004,E240,before,1
E004,E240,during,1
E004,E243,after,1
E004,E243,before,1
E004,E244,before,1
E004,E246,after,1
E004,E246,during,2
E004,E247,after,2
E004,E247,before,3
E004,E247,during,3
E004,E250,after,3
E004,E250,before,3
E004,E250,during,2
E005,E018,before,2
E005,E018,during,3
E005,E032,before,1
E005,E034,during,1
E005,E036,before,2
E005,E036,during,2
E005,E038,before,2
E005,E038,during,6
E005,E045,before,3
E005,E045,during,1
E005,E048,after,5
E005,E048,before,2
E005,E048,during,3
E005,E059,after,3
E005,E059,before,1
E005,E059,during,1
E005,E068,before,1
E005,E099,before,1
E005,E099,during,1
E005,E108,after,3
E005,E108,before,1
E005,E112,before,4
E005,E112,during,2
E005,E122,after,1
E005,E126,after,1
E005,E126,during,1
E005,E130,before,1
E005,E151,after,2
E005,E151,before,1
E005,E151,during,2
E005,E153,after,3
E005,E153,before,1
E005,E153,during,3
E005,E204,before,1
E005,E205,before,1
E005,E205,during,1
E005,E239,after,9
E005,E239,before,6
E005,E239,during,13
E005,E242,after,1
E005,E242,during,3
E006,E001,before,1
E006,E004,after,1
E006,E004,during,1
E006,E014,before,1
E006,E014,during,3
E006,E017,after,2
E006,E017,before,1
E006,E024,before,1
E006,E029,before,1
E006,E030,after,1
E006,E031,before,1
E006,E047,during,1
E006,E052,before,1
E006,E061,during,2
E006,E072,after,1
E006,E072,before,1
E006,E081,during,1
E006,E084,during,2
E006,E087,after,1
E006,E090,before,2
E006,E099,before,2
E006,E099,during,3
E006,E110,after,1
E006,E110,before,1
E006,E110,during,1
E006,E122,before,1
E006,E122,during,1
