node_id,kind,label,dept,level,tenure_months,location,manager_id,laid_off
E001,employee,Emp 001,Sales,ic,9,HQ,E227,0
E002,employee,Emp 002,Engineering,vp,173,HQ,,0
E003,employee,Emp 003,Engineering,director,44,APAC Office,E115,0
E004,employee,Emp 004,Engineering,manager,53,HQ,E002,0
E005,employee,Emp 005,HR,director,153,HQ,,0
E006,employee,Emp 006,Sales,director,45,HQ,E250,0
E007,employee,Emp 007,Finance,ic,12,Remote,E182,0
E008,employee,Emp 008,Engineering,ic,121,Remote,E211,1
E009,employee,Emp 009,Operations,manager,144,Remote,E210,0
E010,employee,Emp 010,Support,ic,174,HQ,E162,0
E011,employee,Emp 011,Product,ic,167,HQ,E103,1
E012,employee,Emp 012,Finance,ic,23,EU Office,E182,0
E013,employee,Emp 013,Support,manager,139,Remote,E121,0
E014,employee,Emp 014,Sales,ic,152,Remote,E076,0
E015,employee,Emp 015,Product,director,126,Remote,,0
E016,employee,Emp 016,Support,ic,147,EU Office,E162,0
E017,employee,Emp 017,Sales,ic,151,HQ,E149,0
E018,employee,Emp 018,HR,manager,81,HQ,E005,1
E019,employee,Emp 019,Operations,ic,9,Remote,E191,0
E020,employee,Emp 020,Support,ic,83,HQ,E013,0
E021,employee,Emp 021,Sales,ic,37,EU Office,E250,0
E022,employee,Emp 022,Finance,manager,22,Remote,E117,0
E023,employee,Emp 023,Engineering,ic,24,EU Office,E080,0
E024,employee,Emp 024,Sales,ic,126,EU Office,E170,1
E025,employee,Emp 025,Operations,manager,91,Remote,E210,1
E026,employee,Emp 026,Sales,vp,98,APAC Office,,1
E027,employee,Emp 027,Sales,ic,134,Remote,E250,0
E028,employee,Emp 028,Support,ic,99,EU Office,E060,0
E029,employee,Emp 029,Sales,ic,114,HQ,E062,1
E030,employee,Emp 030,Sales,ic,17,Remote,E062,0
E031,employee,Emp 031,Sales,ic,153,Remote,E227,0
E032,employee,Emp 032,Finance,ic,81,HQ,E182,1
E033,employee,Emp 033,Sales,ic,29,HQ,E086,0
E034,employee,Emp 034,HR,ic,146,APAC Office,E018,0
E035,employee,Emp 035,Support,ic,132,Remote,E066,0
E036,employee,Emp 036,HR,ic,11,HQ,E018,1
E037,employee,Emp 037,Operations,ic,36,HQ,E191,0
E038,employee,Emp 038,HR,manager,4,HQ,E005,1
E039,employee,Emp 039,Engineering,manager,50,HQ,E002,0
E040,employee,Emp 040,Marketing,manager,19,APAC Office,E050,0
E041,employee,Emp 041,Finance,ic,128,HQ,E182,0
E042,employee,Emp 042,Product,ic,95,HQ,E103,0
E043,employee,Emp 043,Product,director,176,Remote,E155,0
E044,employee,Emp 044,Engineering,ic,135,HQ,E039,0
E045,employee,Emp 045,HR,ic,110,HQ,E018,0
E046,employee,Emp 046,Finance,ic,92,Remote,E022,1
E047,employee,Emp 047,Sales,ic,11,Remote,E170,1
E048,employee,Emp 048,HR,director,14,APAC Office,E038,0
E049,employee,Emp 049,Marketing,ic,111,Remote,E123,0
E050,employee,Emp 050,Marketing,director,2,Remote,,1
E051,employee,Emp 051,Engineering,ic,9,EU Office,E214,0
E052,employee,Emp 052,Sales,ic,41,APAC Office,E149,0
E053,employee,Emp 053,Product,ic,159,Remote,E103,0
E054,employee,Emp 054,Marketing,ic,83,APAC Office,E125,0
E055,employee,Emp 055,Sales,ic,128,EU Office,E149,0
E056,employee,Emp 056,Finance,ic,75,EU Office,E022,1
E057,employee,Emp 057,Support,director,32,HQ,E066,0
E058,employee,Emp 058,Engineering,ic,68,Remote,E039,1
E059,employee,Emp 059,HR,director,18,HQ,E242,0
E060,employee,Emp 060,Support,manager,139,Remote,E121,0
E061,employee,Emp 061,Marketing,ic,34,Remote,E040,1
E062,employee,Emp 062,Sales,manager,68,APAC Office,E026,0
E063,employee,Emp 063,Engineering,ic,176,APAC Office,E129,0
E064,employee,Emp 064,Engineering,ic,107,HQ,E080,0
E065,employee,Emp 065,Operations,manager,83,Remote,E210,0
E066,employee,Emp 066,Support,manager,98,Remote,E121,0
E067,employee,Emp 067,Engineering,ic,141,HQ,E039,1
E068,employee,Emp 068,Engineering,ic,47,HQ,E181,0
E069,employee,Emp 069,Marketing,ic,115,HQ,E158,1
E070,employee,Emp 070,Marketing,manager,157,EU Office,E050,0
E071,employee,Emp 071,Engineering,ic,103,Remote,E039,0
E072,employee,Emp 072,Sales,ic,81,APAC Office,E250,0
E073,employee,Emp 073,Engineering,ic,27,Remote,E181,0
E074,employee,Emp 074,Support,ic,46,APAC Office,E066,0
E075,employee,Emp 075,Engineering,ic,170,HQ,E181,0
E076,employee,Emp 076,Sales,manager,98,EU Office,E026,0
E077,employee,Emp 077,Engineering,ic,55,HQ,E004,0
E078,employee,Emp 078,Marketing,ic,76,Remote,E125,0
E079,employee,Emp 079,Support,ic,104,EU Office,E066,0
E080,employee,Emp 080,Engineering,manager,97,APAC Office,E002,0
E081,employee,Emp 081,Sales,manager,126,EU Office,E026,0
E082,employee,Emp 082,Product,ic,47,HQ,E103,0
E083,employee,Emp 083,Sales,ic,117,HQ,E062,0
E084,employee,Emp 084,Sales,ic,80,HQ,E227,1
E085,employee,Emp 085,Product,ic,169,HQ,E207,0
E086,employee,Emp 086,Sales,manager,30,Remote,E026,1
E087,employee,Emp 087,Sales,ic,28,Remote,E232,0
E088,employee,Emp 088,Marketing,ic,84,EU Office,E158,0
E089,employee,Emp 089,Sales,director,92,EU Office,E195,0
E090,employee,Emp 090,Sales,ic,124,Remote,E086,0
E091,employee,Emp 091,Engineering,ic,73,EU Office,E039,0
E092,employee,Emp 092,Finance,ic,164,HQ,E022,0
E093,employee,Emp 093,Engineering,ic,86,HQ,E211,0
E094,employee,Emp 094,Marketing,ic,25,Remote,E125,1
E095,employee,Emp 095,Engineering,ic,23,EU Office,E115,1
E096,employee,Emp 096,Engineering,ic,175,HQ,E039,0
E097,employee,Emp 097,Product,ic,25,Remote,E207,0
E098,employee,Emp 098,Sales,ic,170,Remote,E076,1
E099,employee,Emp 099,Sales,ic,51,HQ,E195,1
E100,employee,Emp 100,Sales,ic,18,HQ,E149,1
E101,employee,Emp 101,Engineering,ic,56,EU Office,E214,0
E102,employee,Emp 102,Engineering,ic,111,Remote,E080,0
E103,employee,Emp 103,Product,manager,78,HQ,E015,0
E104,employee,Emp 104,Engineering,manager,141,EU Office,E002,0
E105,employee,Emp 105,Finance,ic,110,HQ,E022,0
E106,employee,Emp 106,Product,ic,73,EU Office,E207,0
E107,employee,Emp 107,Engineering,ic,114,HQ,E004,0
E108,employee,Emp 108,HR,ic,174,Remote,E151,0
E109,employee,Emp 109,Product,ic,75,HQ,E122,0
E110,employee,Emp 110,Sales,ic,29,HQ,E076,0
E111,employee,Emp 111,Engineering,ic,74,EU Office,E214,0
E112,employee,Emp 112,HR,ic,151,HQ,E242,1
E113,employee,Emp 113,Marketing,ic,40,HQ,E158,0
E114,employee,Emp 114,Marketing,ic,170,HQ,E167,0
E115,employee,Emp 115,Engineering,manager,106,Remote,E002,0
E116,employee,Emp 116,Operations,ic,109,EU Office,E221,0
E117,employee,Emp 117,Finance,director,58,APAC Office,,0
E118,employee,Emp 118,Sales,ic,165,HQ,E086,1
E119,employee,Emp 119,Operations,manager,8,HQ,E210,0
E120,employee,Emp 120,Product,director,55,HQ,E155,0
E121,employee,Emp 121,Support,vp,76,Remote,,0
E122,employee,Emp 122,Product,manager,86,APAC Office,E015,0
