node_id,kind,tier,region,subtype,capacity,lead_time_days,label
M001,material,4,India,radhard_wafer,1870,181,Radhard Wafer Co 001
M002,material,4,Europe,solar_cell,2739,42,Solar Cell Co 002
M003,material,4,China,propellant,500,83,Propellant Co 003
M004,material,4,India,composite_prepreg,3106,92,Composite Prepreg Co 004
M005,material,4,Europe,battery_cell,544,97,Battery Cell Co 005
M006,material,4,Other,optics_blank,2324,72,Optics Blank Co 006
M007,material,4,India,tungsten_target,1520,98,Tungsten Target Co 007
M008,material,4,China,space_capacitor,1859,75,Space Capacitor Co 008
M009,material,4,USA,radhard_wafer,3972,55,Radhard Wafer Co 009
M010,material,4,Europe,solar_cell,3442,59,Solar Cell Co 010
M011,material,4,Europe,propellant,3451,83,Propellant Co 011
M012,material,4,Other,composite_prepreg,1269,95,Composite Prepreg Co 012
M013,material,4,Japan,battery_cell,679,83,Battery Cell Co 013
M014,material,4,China,optics_blank,2316,93,Optics Blank Co 014
M015,material,4,Europe,tungsten_target,1754,90,Tungsten Target Co 015
M016,material,4,USA,space_capacitor,1744,65,Space Capacitor Co 016
M017,material,4,Europe,radhard_wafer,1470,71,Radhard Wafer Co 017
M018,material,4,Japan,solar_cell,286,53,Solar Cell Co 018
M019,material,4,China,propellant,2847,69,Propellant Co 019
M020,material,4,Japan,composite_prepreg,1955,80,Composite Prepreg Co 020
M021,material,4,India,battery_cell,3764,89,Battery Cell Co 021
M022,material,4,Europe,optics_blank,778,94,Optics Blank Co 022
M023,material,4,Other,tungsten_target,831,70,Tungsten Target Co 023
M024,material,4,China,space_capacitor,1647,78,Space Capacitor Co 024
M025,material,4,India,radhard_wafer,2507,48,Radhard Wafer Co 025
M026,material,4,USA,solar_cell,1574,50,Solar Cell Co 026
M027,material,4,Europe,propellant,1487,88,Propellant Co 027
M028,material,4,USA,composite_prepreg,3855,60,Composite Prepreg Co 028
M029,material,4,USA,battery_cell,1938,108,Battery Cell Co 029
M030,material,4,India,optics_blank,1210,72,Optics Blank Co 030
M031,material,4,Other,tungsten_target,1192,59,Tungsten Target Co 031
M032,material,4,Other,space_capacitor,2924,75,Space Capacitor Co 032
M033,material,4,USA,radhard_wafer,501,72,Radhard Wafer Co 033
M034,material,4,Europe,solar_cell,566,98,Solar Cell Co 034
M035,material,4,Europe,propellant,2875,89,Propellant Co 035
M036,material,4,USA,composite_prepreg,968,85,Composite Prepreg Co 036
M037,material,4,USA,battery_cell,2278,48,Battery Cell Co 037
M038,material,4,Europe,optics_blank,871,81,Optics Blank Co 038
