from_id,to_id,annual_volume,value_musd,lead_time_days
M001,F016,153,5.504,126
M001,F001,152,5.652,126
M001,F002,65,7.744,126
M001,F004,71,2.806,126
M001,F007,79,11.114,126
M001,F011,145,21.92,126
M001,F013,129,23.151,126
M001,F014,112,3.032,126
M001,F019,80,5.746,126
M001,F020,100,17.178,126
M001,F024,68,10.131,126
M001,F029,117,5.529,126
M001,F030,140,13.97,126
M001,F034,157,15.541,126
M001,F035,88,7.121,126
M001,F040,157,13.126,126
M001,F043,139,5.628,126
F016,P002,285,20.342,175
F016,P005,219,7.999,175
F016,P008,214,33.937,175
F016,P010,42,3.25,175
F016,P014,286,24.421,175
F016,P016,259,31.418,175
F016,P017,257,43.249,175
F016,P018,324,26.775,175
F016,P020,105,7.632,175
F016,P023,228,25.278,175
F016,P024,261,24.506,175
F016,P025,232,25.219,175
F016,P028,298,21.252,175
F016,P030,354,28.523,175
F016,P036,242,8.504,175
F016,P037,235,31.889,175
F016,P038,209,17.191,175
F016,P043,335,36.859,175
F016,P045,218,30.713,175
F016,P046,275,41.879,175
F016,P050,226,38.059,175
F016,P052,212,26.931,175
F016,P055,287,8.154,175
F016,P056,298,24.674,175
F016,P057,350,58.738,175
F001,D094,63,8.119,89
F001,D061,22,2.421,89
F002,D002,43,6.723,89
F004,D054,52,1.086,105
F004,D031,59,4.302,105
F007,D085,46,5.079,95
F007,D086,24,1.097,95
F011,D050,74,7.36,103
F013,D057,36,6.27,100
F014,D081,33,3.798,70
F014,D085,87,6.953,70
F019,D008,76,7.378,84
F019,D009,37,6.554,84
F020,D075,49,3.881,100
F020,D064,28,1.09,100
F024,D086,75,11.553,127
F029,D037,69,11.033,133
F030,D006,21,2.169,61
F034,D052,60,7.616,123
F034,D049,31,2.489,123
F035,D010,60,6.214,133
F035,D064,52,2.823,133
F040,D010,60,4.504,96
F043,D025,26,4.461,90
P017,D003,257,45.208,133
P037,D005,223,35.552,133
P024,D011,174,15.481,133
P016,D012,197,35.256,133
P038,D013,88,11.698,129
P036,D015,278,7.567,133
P046,D016,264,10.243,98
P002,D017,263,11.814,133
P005,D018,281,31.132,133
P050,D019,177,5.327,133
P018,D020,148,7.444,117
P016,D021,292,10.245,133
P010,D022,235,35.909,141
P037,D023,265,45.299,120
P056,D024,255,27.364,133
P057,D026,277,48.61,133
P046,D027,186,17.303,133
P018,D028,159,13.14,133
P045,D032,97,14.044,133
P016,D033,284,33.499,133
P023,D034,114,6.034,133
P050,D042,128,13.123,123
P052,D043,294,16.998,89
P024,D045,113,3.405,133
P014,D046,205,34.028,133
P043,D048,217,11.349,133
P052,D051,215,34.026,89
P010,D055,156,5.381,141
P025,D059,176,30.151,133
P023,D060,249,26.513,133
P038,D063,150,18.677,133
P014,D065,175,9.902,133
P055,D066,117,19.874,133
P050,D069,103,10.261,133
P002,D070,191,17.165,133
P008,D071,186,17.944,122
P057,D073,94,10.798,133
P045,D078,220,6.189,133
P002,D080,183,29.917,133
P045,D089,93,14.095,133
P046,D091,251,22.215,133
P016,D093,268,32.42,133
P028,D096,225,28.687,133
D063,E004,263,39.434,28
D091,E004,204,20.588,11
D065,E014,226,12.312,39
D048,E015,313,12.828,30
D018,E017,187,26.098,27
D019,E018,152,5.733,32
D080,E018,93,4.158,45
D018,E022,159,16.648,27
D021,E022,124,17.569,33
D017,E023,119,9.19,32
D063,E023,327,14.253,28
D027,E026,152,10.539,11
D015,E028,300,39.841,28
D012,E033,223,32.369,19
D016,E033,257,38.656,17
D033,E034,338,19.78,26
D018,E034,175,8.438,27
D019,E035,218,18.035,32
D020,E039,119,7.574,24
D089,E039,166,6.796,20
D032,E040,298,23.567,45
D080,E044,140,19.895,45
D089,E045,184,22.61,20
D005,E048,354,63.654,17
D051,E050,209,34.564,20
D070,E051,216,7.125,7
D042,E051,301,29.002,61
D034,E055,228,19.421,22
D046,E059,319,49.081,39
D093,E063,136,19.976,31
D013,E063,83,14.871,33
D078,E065,362,25.447,33
D059,E065,103,6.478,37
D071,E066,266,45.276,21
D024,E068,398,26.828,18
D017,E070,126,3.688,32
D019,E070,273,23.058,32
D071,E074,291,14.756,21
D011,E074,311,46.625,21
D096,E075,150,24.919,28
D015,E076,399,22.999,28
D022,E076,336,21.569,25
D093,E077,250,22.198,31
D096,E079,207,12.521,28
D066,E080,256,39.327,18
D051,E080,188,10.169,20
D003,E081,183,4.792,19
D046,E081,397,21.152,39
D042,E082,320,26.636,61
D065,E082,90,12.558,39
D026,E085,140,7.179,18
D046,E088,199,19.245,39
D073,E089,311,55.133,30
D043,E089,294,25.253,22
D027,E090,84,11.489,11
D020,E090,143,20.125,24
D028,E091,104,5.165,30
D013,E091,128,12.059,33
D022,E092,125,20.652,25
D043,E093,150,9.579,22
D070,E093,100,4.161,7
D005,E095,380,32.045,17
M002,F003,151,23.476,37
M010,F003,50,1.281,53
M001,F003,100,14.526,126
M014,F003,68,10.59,68
M017,F003,10,0.281,58
M030,F003,22,3.493,49
M002,F005,104,12.379,37
M010,F005,57,2.31,53
M065,F005,78,12.501,43
M011,F005,38,3.967,38
M002,F006,158,23.902,37
M010,F006,97,6.408,53
M001,F006,118,11.854,126
M048,F006,48,3.994,112
M037,F006,67,11.129,84
M002,F008,134,7.97,37
M010,F008,56,5.807,53
M001,F008,91,13.399,126
M066,F008,16,1.221,76
M003,F008,78,9.525,43
M052,F008,54,9.604,52
M002,F009,96,3.361,37
M010,F009,85,5.563,53
M042,F009,27,3.867,52
M069,F009,20,2.34,68
M044,F009,30,3.761,55
M028,F009,75,1.793,28
M002,F010,139,7.676,37
M010,F010,58,5.759,53
M001,F010,80,6.058,126
M059,F010,70,9.797,62
M005,F010,8,0.49,72
M060,F010,44,6.132,77
M052,F010,69,11.158,52
M002,F012,75,7.876,37
M010,F012,49,2.906,53
M001,F012,66,11.442,126
M051,F012,52,7.23,45
M033,F012,74,7.117,60
M002,F015,103,9.468,37
M010,F015,57,9.239,53
M006,F015,48,2.043,52
M027,F015,24,3.947,75
M002,F017,156,26.131,37
M010,F017,104,5.604,53
M001,F017,45,1.765,126
M069,F017,7,1.067,68
M070,F017,14,1.58,51
M007,F017,11,1.33,71
M002,F018,132,21.272,37
M010,F018,69,9.249,53
M015,F018,17,2.507,71
M049,F018,63,2.808,42
M026,F018,24,1.426,42
M002,F021,135,9.832,37
M010,F021,105,16.488,53
M001,F021,109,7.546,126
M018,F021,27,2.997,29
M052,F021,23,2.5,52
M050,F021,26,3.107,21
M033,F021,38,4.551,60
M002,F022,113,4.702,37
M010,F022,85,10.983,53
M001,F022,90,8.234,126
M033,F022,79,7.154,60
M030,F022,21,2.916,49
M002,F023,132,20.164,37
M010,F023,51,7.225,53
M036,F023,74,7.739,63
M008,F023,41,4.769,54
M045,F023,79,2.488,41
M002,F025,128,13.121,37
M010,F025,76,7.521,53
M066,F025,21,0.74,76
M034,F025,49,4.366,88
M065,F025,5,0.715,43
M037,F025,45,1.131,84
M002,F026,128,14.233,37
M010,F026,39,1.824,53
M030,F026,61,3.471,49
M016,F026,23,2.301,58
M046,F026,72,10.15,65
M025,F026,41,7.372,56
M002,F027,141,7.872,37
M010,F027,61,3.786,53
M070,F027,79,8.238,51
M053,F027,30,4.728,57
M002,F028,116,19.635,37
M010,F028,64,9.808,53
M033,F028,78,12.868,60
M065,F028,48,3.027,43
M020,F028,64,4.566,42
M002,F031,116,12.728,37
M010,F031,79,9.628,53
M026,F031,37,5.775,42
