node_id,kind,tier,region,subtype,capacity,lead_time_days,label
M001,material,4,China,specialty_gas,3934,126,Specialty Gas Co 001
M002,material,4,USA,silicon_wafer,1015,37,Silicon Wafer Co 002
M003,material,4,China,photoresist,331,43,Photoresist Co 003
M004,material,4,Taiwan,rare_earth,1088,68,Rare Earth Co 004
M005,material,4,Taiwan,sputter_target,3687,72,Sputter Target Co 005
M006,material,4,Europe,cmp_slurry,1315,52,Cmp Slurry Co 006
M007,material,4,China,lead_frame,2119,71,Lead Frame Co 007
M008,material,4,China,bonding_wire,3178,54,Bonding Wire Co 008
M009,material,4,Taiwan,specialty_gas,1788,48,Specialty Gas Co 009
M010,material,4,USA,silicon_wafer,3293,53,Silicon Wafer Co 010
M011,material,4,South Korea,photoresist,603,38,Photoresist Co 011
M012,material,4,Europe,rare_earth,542,68,Rare Earth Co 012
M013,material,4,Japan,sputter_target,2924,60,Sputter Target Co 013
M014,material,4,China,cmp_slurry,812,68,Cmp Slurry Co 014
M015,material,4,USA,lead_frame,2089,71,Lead Frame Co 015
M016,material,4,Taiwan,bonding_wire,2846,58,Bonding Wire Co 016
M017,material,4,USA,specialty_gas,1107,58,Specialty Gas Co 017
M018,material,4,Taiwan,silicon_wafer,1345,29,Silicon Wafer Co 018
M019,material,4,China,photoresist,3846,36,Photoresist Co 019
M020,material,4,Japan,rare_earth,533,42,Rare Earth Co 020
M021,material,4,China,sputter_target,1591,43,Sputter Target Co 021
M022,material,4,South Korea,cmp_slurry,3652,53,Cmp Slurry Co 022
M023,material,4,Europe,lead_frame,3104,53,Lead Frame Co 023
M024,material,4,China,bonding_wire,3882,73,Bonding Wire Co 024
M025,material,4,China,specialty_gas,3198,56,Specialty Gas Co 025
M026,material,4,Taiwan,silicon_wafer,1907,42,Silicon Wafer Co 026
M027,material,4,USA,photoresist,1898,75,Photoresist Co 027
M028,material,4,Taiwan,rare_earth,3629,28,Rare Earth Co 028
M029,material,4,Japan,sputter_target,2942,64,Sputter Target Co 029
M030,material,4,Europe,cmp_slurry,1362,49,Cmp Slurry Co 030
M031,material,4,China,lead_frame,1960,61,Lead Frame Co 031
M032,material,4,Europe,bonding_wire,3455,50,Bonding Wire Co 032
M033,material,4,South Korea,specialty_gas,2720,60,Specialty Gas Co 033
M034,material,4,South Korea,silicon_wafer,1841,88,Silicon Wafer Co 034
M035,material,4,USA,photoresist,559,41,Photoresist Co 035
M036,material,4,Taiwan,rare_earth,2669,63,Rare Earth Co 036
M037,material,4,Taiwan,sputter_target,3190,84,Sputter Target Co 037
M038,material,4,USA,cmp_slurry,358,75,Cmp Slurry Co 038
M039,material,4,Taiwan,lead_frame,2710,86,Lead Frame Co 039
M040,material,4,Japan,bonding_wire,749,38,Bonding Wire Co 040
M041,material,4,USA,specialty_gas,3215,43,Specialty Gas Co 041
M042,material,4,China,silicon_wafer,848,52,Silicon Wafer Co 042
M043,material,4,Japan,photoresist,1898,71,Photoresist Co 043
M044,material,4,South Korea,rare_earth,1518,55,Rare Earth Co 044
M045,material,4,China,sputter_target,775,41,Sputter Target Co 045
M046,material,4,China,cmp_slurry,3842,65,Cmp Slurry Co 046
M047,material,4,South Korea,lead_frame,446,95,Lead Frame Co 047
M048,material,4,South Korea,bonding_wire,514,112,Bonding Wire Co 048
M049,material,4,Japan,specialty_gas,1876,42,Specialty Gas Co 049
M050,material,4,Taiwan,silicon_wafer,3763,21,Silicon Wafer Co 050
M051,material,4,Taiwan,photoresist,3268,45,Photoresist Co 051
M052,material,4,Taiwan,rare_earth,1214,52,Rare Earth Co 052
M053,material,4,China,sputter_target,3429,57,Sputter Target Co 053
M054,material,4,Japan,cmp_slurry,1867,79,Cmp Slurry Co 054
