exporter_id,importer_id,period,tonnes,price_usd_per_t
C004,C001,before,78,889
C004,C001,during,78,880
C004,C007,before,72,974
C004,C010,before,62,830
C004,C012,during,86,917
C004,C014,after,58,866
C004,C016,after,54,882
C004,C016,before,53,853
C004,C017,after,59,984
C004,C017,before,125,920
C004,C017,during,60,876
C005,C004,before,4943,969
C005,C009,during,3872,933
C005,C013,after,7912,987
C005,C015,during,5499,970
C005,C016,during,5193,901
C005,C017,before,6079,950
C005,C019,after,4057,1210
C005,C021,after,3667,1163
C005,C024,after,3723,1115
C005,C024,before,6267,1145
C005,C025,after,5251,1107
C005,C027,during,6269,1113
C005,C039,before,4250,1203
C005,C042,during,8741,1034
C005,C046,after,5650,1199
C005,C048,after,4250,1187
C005,C048,before,6075,1128
C005,C049,during,3351,1099
C005,C050,during,7768,1052
C005,C051,after,3331,1158
C005,C051,before,10917,1194
C005,C055,after,6360,1153
C005,C056,after,4119,1169
C005,C057,before,7636,1173
C005,C057,during,7948,1124
C005,C058,during,6243,1053
C005,C059,after,4560,1087
C005,C061,after,5960,1172
C005,C063,before,3307,1226
C005,C064,before,6949,1086
C005,C068,before,7051,1191
C005,C073,after,3797,1111
C005,C073,before,4030,1065
C005,C074,after,7243,1041
C005,C082,before,2899,1064
C005,C084,after,6281,1147
C005,C088,before,8791,1150
C005,C091,after,5779,1184
C005,C091,during,5554,1165
C005,C094,before,4966,1160
C005,C096,during,9615,1224
C005,C097,after,6824,1157
C005,C099,before,4762,1034
C005,C100,during,7201,1047
C005,C102,after,7485,1171
C005,C103,before,5314,1145
C005,C107,during,8395,1138
C005,C115,during,9421,1031
C005,C116,before,5563,1061
C005,C122,before,6076,1118
C005,C123,before,5617,1185
C005,C126,after,4474,1100
C005,C127,during,5031,1063
C005,C128,before,11446,1107
C005,C138,during,6419,1118
C005,C139,during,4558,1070
C005,C140,after,5907,1185
C006,C001,after,59,915
C006,C001,before,67,832
C006,C004,after,108,971
C006,C010,before,68,871
C006,C010,during,80,963
C006,C012,after,64,913
C006,C012,during,57,851
C006,C014,after,59,919
C006,C016,after,70,891
C006,C017,during,63,968
C008,C001,after,92,876
C008,C003,after,56,988
C008,C004,during,68,886
C008,C005,after,75,979
C008,C005,during,56,855
C008,C009,after,68,886
C008,C009,before,60,857
C008,C010,after,84,845
C008,C010,during,121,852
C008,C012,after,125,893
C008,C013,during,65,886
C008,C014,before,55,957
C008,C015,before,61,897
C008,C015,during,69,836
C008,C017,after,65,924
C010,C001,during,50,829
C010,C008,after,58,863
C010,C009,before,57,912
C010,C012,before,84,965
C010,C012,during,55,837
C010,C014,after,62,954
C010,C016,during,52,951
C012,C001,after,56,838
C012,C001,during,82,929
C012,C004,before,60,897
C012,C009,after,67,874
C012,C010,after,66,940
C012,C015,before,57,835
C012,C017,during,50,932
C013,C018,after,918,1087
C013,C018,before,1228,918
C013,C018,during,856,1015
C013,C044,after,961,1343
C013,C044,before,522,1217
C013,C044,during,696,1202
C013,C080,after,654,1252
C013,C080,before,1069,1192
C013,C080,during,809,1160
C013,C131,after,779,1403
C013,C131,before,611,1135
C013,C131,during,1446,1243
C014,C003,after,64,910
C014,C004,before,62,905
C014,C005,before,51,870
C014,C005,during,75,928
C014,C008,before,58,959
C014,C012,after,76,964
C014,C012,before,74,953
C014,C012,during,51,854
C015,C001,after,60,845
C015,C001,before,53,911
C015,C003,before,50,906
C015,C005,after,50,960
C015,C005,before,54,967
C015,C008,before,59,949
C015,C012,after,98,974
C015,C012,before,79,914
C015,C014,after,78,850
C015,C014,during,80,852
C016,C001,after,112,942
C016,C004,after,89,895
C016,C004,before,83,910
C016,C004,during,58,864
C016,C006,during,56,914
C016,C007,after,71,929
C016,C009,after,52,934
C016,C012,after,90,954
C016,C012,before,112,898
C016,C014,after,54,873
C017,C023,after,993,1369
C017,C023,before,1262,1132
C017,C023,during,780,1198
C017,C030,after,1494,1380
C017,C030,before,1229,1194
C017,C030,during,1096,1145
C017,C085,after,859,1328
C017,C085,before,761,1068
C017,C085,during,596,1206
C017,C137,after,864,1352
C017,C137,before,953,1128
C017,C137,during,1460,1250
C021,C020,after,52,979
C021,C022,before,63,906
C021,C034,after,53,962
C022,C019,during,53,964
C022,C020,before,82,919
C022,C025,before,56,934
C022,C027,after,87,860
C022,C027,before,51,898
C022,C027,during,63,935
C022,C033,during,67,958
C022,C034,after,15512,1129
C022,C034,before,5774,956
C022,C034,during,4657,981
C025,C021,before,50,858
C025,C021,during,56,986
C025,C022,before,94,900
C025,C027,after,53,841
C025,C027,before,57,957
C025,C033,after,82,926
C025,C034,after,14588,1025
C025,C034,before,8728,956
C025,C034,during,7988,954
C025,C037,after,68,929
C028,C022,during,52,837
C028,C025,during,51,848
C029,C060,after,495,1311
C029,C060,before,590,1120
C029,C060,during,512,1301
C029,C095,after,769,1276
C029,C095,before,1220,1082
C029,C095,during,1094,1309
C029,C119,after,723,1360
C029,C119,before,814,1108
C029,C119,during,569,1183
C029,C120,after,1305,1362
C029,C120,before,732,1059
C029,C120,during,983,1150
C030,C020,during,55,978
C030,C022,after,75,933
C030,C022,before,55,842
C030,C022,during,100,882
C030,C025,after,65,829
C030,C027,during,55,910
C030,C034,after,58,911
C030,C034,before,54,857
C030,C037,before,71,850
C031,C022,before,103,979
C031,C034,before,92,973
C031,C034,during,54,878
C035,C019,before,51,923
C035,C020,before,73,935
C035,C020,during,119,910
C035,C026,before,50,869
C035,C027,after,71,835
C035,C029,after,91,849
C035,C029,before,53,863
C035,C033,after,58,874
C035,C034,after,13350,1072
C035,C034,before,4287,974
C035,C034,during,6827,942
C040,C003,after,51,1114
C040,C003,before,59,1143
C040,C007,before,55,1063
C040,C015,before,52,1053
C040,C031,before,72,1223
C040,C033,before,66,1199
C040,C039,after,243,846
