node_id,kind,label,region,gdp_per_capita,production,consumption
C001,country,NOR-001,North America,54442,7016.0,52860.0
C002,country,NOR-002,North America,60165,2576.0,8333.0
C003,country,NOR-003,North America,52850,15555.0,26499.0
C004,country,NOR-004,North America,44022,57950.0,54177.0
C005,country,NOR-005,North America,52294,76112.0,40977.0
C006,country,NOR-006,North America,43966,33045.0,11350.0
C007,country,NOR-007,North America,59606,20849.0,22780.0
C008,country,NOR-008,North America,45571,84524.0,23410.0
C009,country,NOR-009,North America,47845,14953.0,43437.0
C010,country,NOR-010,North America,54988,34683.0,39646.0
C011,country,NOR-011,North America,70974,14086.0,16966.0
C012,country,NOR-012,North America,44376,43372.0,74316.0
C013,country,NOR-013,North America,50674,8741.0,12810.0
C014,country,NOR-014,North America,57555,49890.0,43864.0
C015,country,NOR-015,North America,45710,28435.0,29882.0
C016,country,NOR-016,North America,53668,57444.0,32900.0
C017,country,NOR-017,North America,57810,23726.0,34899.0
C018,country,NOR-018,North America,57381,4434.0,20177.0
C019,country,SOU-019,South America,25266,10908.0,21002.0
C020,country,SOU-020,South America,42954,8498.0,64309.0
C021,country,SOU-021,South America,14354,15239.0,31147.0
C022,country,SOU-022,South America,34776,48163.0,54941.0
C023,country,SOU-023,South America,26361,13245.0,58231.0
C024,country,SOU-024,South America,27778,5414.0,9702.0
C025,country,SOU-025,South America,21224,38058.0,30582.0
C026,country,SOU-026,South America,35714,13767.0,31029.0
C027,country,SOU-027,South America,35130,15673.0,40583.0
C028,country,SOU-028,South America,23542,14774.0,19081.0
C029,country,SOU-029,South America,18737,37634.0,17633.0
C030,country,SOU-030,South America,29612,37377.0,40210.0
C031,country,SOU-031,South America,35488,19765.0,18380.0
C032,country,SOU-032,South America,28782,3442.0,7314.0
C033,country,SOU-033,South America,17595,7354.0,38553.0
C034,country,SOU-034,South America,21350,14531.0,86622.0
C035,country,SOU-035,South America,26293,49576.0,11611.0
C036,country,SOU-036,South America,27651,7746.0,19828.0
C037,country,SOU-037,South America,37062,3294.0,39774.0
C038,country,SOU-038,South America,31639,11458.0,7321.0
C039,country,EUR-039,Europe,49949,12303.0,33170.0
C040,country,EUR-040,Europe,49496,513112.0,21689.0
C041,country,EUR-041,Europe,40088,26828.0,32794.0
C042,country,EUR-042,Europe,61532,55195.0,37093.0
C043,country,EUR-043,Europe,62469,5957.0,15127.0
C044,country,EUR-044,Europe,40960,14346.0,7793.0
C045,country,EUR-045,Europe,55016,17250.0,7160.0
C046,country,EUR-046,Europe,40159,31097.0,57200.0
C047,country,EUR-047,Europe,67270,2172836.0,39064.0
C048,country,EUR-048,Europe,40394,2111.0,34233.0
C049,country,EUR-049,Europe,41983,13948.0,15508.0
C050,country,EUR-050,Europe,48032,71152.0,30988.0
C051,country,EUR-051,Europe,47872,7050.0,5960.0
C052,country,EUR-052,Europe,44923,20761.0,132077.0
C053,country,EUR-053,Europe,50472,64927.0,17165.0
C054,country,EUR-054,Europe,38635,7619.0,14007.0
C055,country,EUR-055,Europe,68456,8924.0,57219.0
C056,country,EUR-056,Europe,41173,61373.0,38042.0
C057,country,EUR-057,Europe,47890,21061.0,14923.0
C058,country,EUR-058,Europe,53314,13353.0,8928.0
C059,country,EUR-059,Europe,37798,26631.0,111433.0
C060,country,EUR-060,Europe,50739,19332.0,34796.0
C061,country,EUR-061,Europe,61054,28038.0,18586.0
C062,country,EUR-062,Europe,59256,35300.0,107171.0
C063,country,EUR-063,Europe,50949,5728.0,7853.0
C064,country,EUR-064,Europe,64158,586732.0,22889.0
C065,country,EUR-065,Europe,45851,109929.0,9933.0
C066,country,EUR-066,Europe,41247,44697.0,18861.0
C067,country,EUR-067,Europe,49253,18402.0,36454.0
C068,country,EUR-068,Europe,61967,24334.0,48028.0
C069,country,AFR-069,Africa,2048,20877.0,12595.0
C070,country,AFR-070,Africa,9530,8384.0,19916.0
C071,country,AFR-071,Africa,28743,5120.0,27655.0
C072,country,AFR-072,Africa,16142,15361.0,66336.0
C073,country,AFR-073,Africa,25343,95907.0,23411.0
C074,country,AFR-074,Africa,14236,17219.0,33465.0
C075,country,AFR-075,Africa,22089,6682.0,29186.0
C076,country,AFR-076,Africa,22554,1404956.0,145679.0
C077,country,AFR-077,Africa,12820,16057.0,7208.0
C078,country,AFR-078,Africa,15183,31169.0,79640.0
C079,country,AFR-079,Africa,13938,10726.0,5000.0
