from_id,to_id,mode,line,travel_time_min,frequency_per_hr,capacity
N003,N007,metro,M1,3.5,12.0,2544
N007,N025,metro,M1,2.0,10.0,2577
N025,N047,metro,M1,3.0,15.0,1205
N047,N073,metro,M1,2.5,19.0,2531
N073,N101,metro,M1,3.8,12.0,2962
N101,N129,metro,M1,1.5,13.0,2584
N003,N010,metro,M2,3.0,11.0,2998
N010,N029,metro,M2,2.9,21.0,2928
N029,N051,metro,M2,2.9,13.0,2210
N051,N078,metro,M2,2.5,13.0,2974
N078,N106,metro,M2,3.1,16.0,2596
N106,N133,metro,M2,2.1,20.0,2241
N003,N013,metro,M3,2.5,15.0,2713
N013,N032,metro,M3,3.8,12.0,2229
N032,N056,metro,M3,2.2,17.0,2789
N056,N082,metro,M3,3.0,10.0,2815
N082,N110,metro,M3,3.5,17.0,2581
N110,N137,metro,M3,3.4,11.0,1809
N003,N016,metro,M4,3.5,20.0,1625
N016,N036,metro,M4,2.2,12.0,2215
N036,N060,metro,M4,3.1,15.0,2533
N060,N087,metro,M4,3.2,22.0,2529
N087,N115,metro,M4,2.0,19.0,1496
N115,N141,metro,M4,3.2,15.0,1637
N003,N019,metro,M5,3.1,22.0,2987
N019,N040,metro,M5,3.2,20.0,2945
N040,N065,metro,M5,2.5,11.0,1435
N065,N091,metro,M5,2.9,12.0,1926
N091,N120,metro,M5,1.7,16.0,1546
N120,N145,metro,M5,2.6,21.0,2169
N003,N022,metro,M6,2.6,21.0,2282
N022,N043,metro,M6,2.8,13.0,1696
N043,N068,metro,M6,2.6,11.0,2124
N068,N096,metro,M6,3.1,15.0,1925
N096,N124,metro,M6,2.8,21.0,1660
N124,N149,metro,M6,3.9,10.0,2615
N025,N026,metro,Ring,1.4,18.0,1489
N027,N028,metro,Ring,2.1,12.0,2305
N028,N029,metro,Ring,1.7,21.0,1330
N029,N030,metro,Ring,1.7,13.0,2744
N030,N031,metro,Ring,2.6,22.0,1378
N031,N032,metro,Ring,2.0,18.0,2284
N032,N033,metro,Ring,2.2,11.0,1486
N033,N034,metro,Ring,2.0,23.0,2955
N034,N035,metro,Ring,1.4,16.0,1537
N035,N036,metro,Ring,2.2,17.0,1283
N036,N037,metro,Ring,2.5,21.0,2317
N037,N038,metro,Ring,1.1,14.0,2976
N038,N039,metro,Ring,2.3,13.0,2410
N039,N040,metro,Ring,2.5,17.0,2743
N040,N041,metro,Ring,2.2,15.0,2929
N041,N042,metro,Ring,2.2,22.0,2593
N042,N043,metro,Ring,1.0,20.0,1655
N043,N044,metro,Ring,2.9,17.0,1806
N044,N045,metro,Ring,1.4,21.0,1214
N046,N025,metro,Ring,2.6,20.0,1482
N106,N107,metro,OuterArc,1.7,23.0,1839
N107,N079,metro,OuterArc,2.6,18.0,1327
N079,N108,metro,OuterArc,4.7,23.0,2275
N108,N080,metro,OuterArc,2.6,15.0,1375
N080,N081,metro,OuterArc,1.3,13.0,2281
N081,N109,metro,OuterArc,1.6,15.0,2064
N109,N110,metro,OuterArc,4.8,22.0,1649
N110,N111,metro,OuterArc,1.3,20.0,1623
N111,N083,metro,OuterArc,2.6,18.0,2882
N083,N112,metro,OuterArc,4.3,21.0,2019
N112,N084,metro,OuterArc,2.8,13.0,1776
N084,N113,metro,OuterArc,2.8,17.0,2053
N113,N085,metro,OuterArc,2.4,10.0,2672
N085,N114,metro,OuterArc,2.8,22.0,2714
N114,N086,metro,OuterArc,2.8,15.0,2761
N086,N087,metro,OuterArc,2.8,10.0,2169
N087,N115,metro,OuterArc,2.1,13.0,1601
N115,N116,metro,OuterArc,1.7,20.0,1736
N116,N089,metro,OuterArc,3.6,13.0,1937
N089,N117,metro,OuterArc,2.5,20.0,2631
N117,N090,metro,OuterArc,3.3,13.0,1812
N090,N118,metro,OuterArc,2.7,23.0,1394
N118,N119,metro,OuterArc,1.7,18.0,2870
