node_id,kind,region,x,y,daily_packages,label
G01,gateway,Midwest,-85.76,38.25,130710,Louisville KY Gateway
G02,gateway,Midwest,-87.63,41.88,212874,Chicago IL Gateway
G03,gateway,South,-96.8,32.78,198548,Dallas TX Gateway
G04,gateway,Southeast,-84.39,33.75,172665,Atlanta GA Gateway
G05,gateway,West,-117.65,34.06,171961,Ontario CA Gateway
H001,hub,Northeast,-71.06,42.36,71515,Boston MA Hub
H002,hub,Northeast,-76.15,43.05,25156,Syracuse NY Hub
H003,hub,Northeast,-73.76,42.65,61842,Albany NY Hub
H004,hub,Northeast,-78.88,42.89,32088,Buffalo NY Hub
H005,hub,Northeast,-72.69,41.76,25650,Hartford CT Hub
H006,hub,Mid-Atlantic,-74.01,40.71,51588,New York NY Hub
H007,hub,Mid-Atlantic,-75.17,39.95,78537,Philadelphia PA Hub
H008,hub,Mid-Atlantic,-79.99,40.44,64145,Pittsburgh PA Hub
H009,hub,Mid-Atlantic,-76.61,39.29,65668,Baltimore MD Hub
H010,hub,Mid-Atlantic,-77.44,37.54,63048,Richmond VA Hub
H011,hub,Southeast,-80.84,35.23,67163,Charlotte NC Hub
H012,hub,Southeast,-86.78,36.16,50793,Nashville TN Hub
H013,hub,Southeast,-81.38,28.54,27686,Orlando FL Hub
H014,hub,Southeast,-80.19,25.76,70384,Miami FL Hub
H015,hub,Southeast,-90.05,35.15,47023,Memphis TN Hub
H016,hub,Midwest,-86.16,39.77,50021,Indianapolis IN Hub
H017,hub,Midwest,-82.99,39.96,42247,Columbus OH Hub
H018,hub,Midwest,-83.05,42.33,30952,Detroit MI Hub
H019,hub,Midwest,-93.27,44.98,75605,Minneapolis MN Hub
H020,hub,Midwest,-90.2,38.63,66894,St Louis MO Hub
H021,hub,Midwest,-94.58,39.1,58631,Kansas City MO Hub
H022,hub,South,-95.37,29.76,44144,Houston TX Hub
H023,hub,South,-98.49,29.42,69365,San Antonio TX Hub
H024,hub,South,-97.74,30.27,52725,Austin TX Hub
H025,hub,South,-90.07,29.95,46604,New Orleans LA Hub
H026,hub,South,-97.52,35.47,47027,Oklahoma City OK Hub
H027,hub,Mountain,-104.99,39.74,33634,Denver CO Hub
H028,hub,Mountain,-111.89,40.76,25528,Salt Lake City UT Hub
H029,hub,Mountain,-112.07,33.45,53275,Phoenix AZ Hub
H030,hub,Mountain,-106.65,35.08,73273,Albuquerque NM Hub
H031,hub,West,-118.24,34.05,23829,Los Angeles CA Hub
H032,hub,West,-122.42,37.77,71497,San Francisco CA Hub
H033,hub,West,-122.33,47.61,69657,Seattle WA Hub
H034,hub,West,-122.68,45.52,36605,Portland OR Hub
H035,hub,West,-115.14,36.17,57899,Las Vegas NV Hub
H036,hub,West,-121.49,38.58,29913,Sacramento CA Hub
C001,center,Northeast,-70.51,42.054,7185,Cambridge MA Center
C002,center,Northeast,-71.253,42.29,7199,Worcester MA Center
C003,center,Northeast,-70.896,42.6,2959,Providence RI Center
C004,center,Northeast,-75.956,43.236,8418,Ithaca NY Center
C005,center,Northeast,-76.381,42.867,7085,Utica NY Center
C006,center,Northeast,-75.873,42.684,7467,Binghamton NY Center
C007,center,Northeast,-74.138,42.599,2921,Schenectady NY Center
C008,center,Northeast,-73.467,42.279,8552,Troy NY Center
C009,center,Northeast,-74.059,42.894,4778,Saratoga Springs NY Center
C010,center,Northeast,-78.827,42.994,8235,Niagara Falls NY Center
C011,center,Northeast,-78.779,43.282,3662,Rochester NY Center
C012,center,Northeast,-78.85,43.196,7476,Jamestown NY Center
C013,center,Northeast,-73.346,42.044,7401,New Haven CT Center
C014,center,Northeast,-72.902,41.616,5292,Springfield MA Center
C015,center,Northeast,-72.017,41.636,5765,Waterbury CT Center
C016,center,Mid-Atlantic,-73.574,40.32,7913,Newark NJ Center
C017,center,Mid-Atlantic,-73.937,40.559,5739,Yonkers NY Center
C018,center,Mid-Atlantic,-73.69,40.974,7461,Jersey City NJ Center
C019,center,Mid-Atlantic,-75.378,39.793,3779,Camden NJ Center
C020,center,Mid-Atlantic,-75.256,40.336,8944,Wilmington DE Center
C021,center,Mid-Atlantic,-75.584,39.44,7900,Allentown PA Center
C022,center,Mid-Atlantic,-79.926,40.664,4757,Greensburg PA Center
C023,center,Mid-Atlantic,-79.919,40.248,6464,Washington PA Center
C024,center,Mid-Atlantic,-80.129,40.722,4634,Altoona PA Center
C025,center,Mid-Atlantic,-76.773,38.992,7605,Annapolis MD Center
C026,center,Mid-Atlantic,-77.148,39.118,6725,Towson MD Center
C027,center,Mid-Atlantic,-76.604,39.079,4964,Frederick MD Center
C028,center,Mid-Atlantic,-77.239,37.756,5217,Petersburg VA Center
C029,center,Mid-Atlantic,-77.63,37.496,4846,Charlottesville VA Center
C030,center,Mid-Atlantic,-78.199,37.504,8697,Fredericksburg VA Center
C031,center,Southeast,-81.289,34.635,2157,Gastonia NC Center
C032,center,Southeast,-81.247,35.41,4930,Concord NC Center
C033,center,Southeast,-81.0,35.815,3494,Rock Hill SC Center
C034,center,Southeast,-87.2,36.492,7026,Murfreesboro TN Center
C035,center,Southeast,-86.933,35.732,3541,Franklin TN Center
C036,center,Southeast,-87.557,36.538,6912,Clarksville TN Center
C037,center,Southeast,-81.647,28.647,3794,Kissimmee FL Center
C038,center,Southeast,-81.348,27.889,5195,Sanford FL Center
C039,center,Southeast,-81.37,28.645,6895,Lakeland FL Center
C040,center,Southeast,-80.298,26.481,6215,Fort Lauderdale FL Center
C041,center,Southeast,-80.091,25.841,2133,Hialeah FL Center
C042,center,Southeast,-79.814,26.372,6454,West Palm Beach FL Center
C043,center,Southeast,-90.585,35.808,2583,Southaven MS Center
C044,center,Southeast,-90.467,34.862,8922,Jackson TN Center
C045,center,Southeast,-89.764,34.53,5857,West Memphis AR Center
C046,center,Midwest,-86.822,39.67,4636,Carmel IN Center
C047,center,Midwest,-85.783,39.911,5117,Bloomington IN Center
C048,center,Midwest,-84.849,40.669,4808,Lafayette IN Center
C049,center,Midwest,-83.949,39.515,8533,Dublin OH Center
C050,center,Midwest,-83.356,40.08,5587,Newark OH Center
C051,center,Midwest,-83.053,39.685,5405,Lancaster OH Center
C052,center,Midwest,-82.979,42.81,5571,Ann Arbor MI Center
C053,center,Midwest,-83.804,41.864,2551,Warren MI Center
C054,center,Midwest,-83.074,42.111,6977,Dearborn MI Center
C055,center,Midwest,-92.828,45.039,6952,St Paul MN Center
C056,center,Midwest,-93.803,44.755,3273,Bloomington MN Center
C057,center,Midwest,-92.312,44.654,1780,Rochester MN Center
C058,center,Midwest,-89.823,38.26,8724,St Charles MO Center
